 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              15.584             281.998              13.236             281.316              95.828               0.877               6.730
              21.640             286.259              17.066             285.578              96.042               1.989               4.737
               0.000             268.902               2.472             260.906              55.853               8.081              -5.537
               0.134             264.941              -0.089             256.773              52.282               4.065               0.633
               0.081             269.487               2.774             260.765              51.484               2.168               0.270
               5.574             271.684               4.896             269.217              84.041               0.610               0.692
              23.589             272.803               5.960             272.083              94.968              -1.977               1.688
              11.884             276.862               8.935             275.651              92.261               3.463              -0.867
               0.000             267.199               1.423             260.324              58.947               5.464              -3.189
               0.000             267.721               1.725             260.400              56.707               2.956              -0.409
               0.082             267.079               1.375             260.562              60.928               1.454              -3.429
               1.563             265.725               0.753             262.788              79.857              -2.674              -1.856
               7.097             272.215               5.505             271.367              94.260              -4.311              -2.306
               0.700             276.721               8.839             275.533              92.668               1.854               1.723
               0.000             268.784               2.382             261.021              55.071               7.483              -3.916
               0.000             271.970               4.304             262.128              47.421               2.285               2.249
               0.021             272.981               5.265             266.012              60.000              -0.834               1.790
               0.000             272.061               4.949             267.796              74.102               5.442              -3.944
               0.090             263.281              -1.077             255.956              55.962               2.125              -6.041
              23.243             267.590               1.791             261.395              66.639              -2.618               1.300
              30.187             276.879               8.959             275.719              92.609              -1.776               1.576
               0.000             274.486               6.735             270.793              77.015               7.403              -2.130
               0.000             272.613               5.240             267.592              69.854               2.426              -0.140
              37.897             276.700               8.773             275.315              91.058              -6.574               3.803
               1.182             275.746               7.729             272.519              80.059               6.614              -1.464
               0.000             273.073               5.675             269.030              74.539               8.315              -5.007
               0.992             274.657               7.010             271.972              82.736               4.674              -3.032
               5.003             273.905               6.576             271.928              87.003               3.110              -2.287
               0.000             274.477               6.756             271.010              78.043               8.528              -5.140
               0.041             273.326               5.805             268.912              72.568               7.603              -5.307
               0.629             272.370               5.131             267.899              72.528               4.964              -3.891
               0.244             268.640               2.505             263.524              68.150               8.184              -6.374
               0.006             267.044               1.455             261.948              68.029               7.786              -6.989
               0.000             266.932               1.498             263.382              76.201               4.397              -3.697
               0.000             270.995               4.327             267.979              80.128               2.754              -0.057
               0.053             267.009               1.218             258.863              53.126               7.837              -4.313
               0.038             263.823              -0.776             255.813              52.788               5.347              -3.913
              12.614             266.721               1.434             263.912              81.561              -1.127              -1.640
               1.351             267.490               2.009             265.377              85.634               3.917              -2.284
               0.241             263.936              -0.462             260.281              75.084               2.773              -4.290
               0.172             259.839              -3.039             256.240              74.959               4.231              -2.692
               0.137             260.104              -2.895             256.081              72.318               2.473              -3.345
               1.814             260.714              -2.503             256.948              74.039              -0.619               0.395
               0.043             262.266              -1.468             259.538              80.852               0.545              -4.733
               0.740             257.949              -4.186             254.798              77.313               2.237              -2.629
               3.850             264.060              -0.272             261.962              85.056              -1.478              -0.392
               1.692             266.634               1.503             265.308              90.731              -0.883              -2.419
               0.092             258.806              -3.671             255.375              75.627               1.985              -7.134
               3.310             254.701              -6.169             251.238              74.759              -1.059              -3.385
              27.145             266.930               1.696             265.544              90.165              -2.068              -6.096
               1.897             265.408               0.644             263.690              87.762               2.270              -1.340
               0.803             268.728               2.978             267.767              93.183               0.652               3.470
               3.976             274.008               6.875             273.376              95.817               2.815              -0.682
               3.069             272.073               5.325             270.725              90.826              -2.664              -0.496
              40.773             275.209               7.828             274.833              97.643              -1.834              -1.706
              15.502             275.475               7.978             274.824              95.778              -3.442              -5.163
              21.857             276.243               8.414             274.777              90.729              -4.482              -2.362
               0.164             274.467               7.108             273.184              91.638               3.120              -0.400
               0.000             272.977               5.789             270.043              82.258               2.674              -1.869
               0.000             276.984               8.153             270.794              64.552              -0.498               2.054
               0.228             278.223               9.632             275.050              81.697               0.362               0.504
               0.169             279.067              10.142             275.373              77.900              -2.996               1.039
               2.779             279.192              10.749             277.853              91.793              -4.216               4.085
               6.284             285.132              15.968             284.294              95.081              -2.196               6.352
               5.440             284.748              15.580             283.768              94.338              -0.010               2.687
               0.222             280.873              11.222             275.393              70.175               1.415              -2.750
               0.000             278.889               9.489             272.288              63.560               0.900              -1.982
               0.000             279.452               9.887             272.817              63.247               0.900              -0.748
               2.146             280.777              11.720             278.153              84.068               0.333               4.803
               8.407             277.986               9.400             274.552              80.172               4.610              -2.709
               0.000             271.521               4.000             261.533              46.848               7.677              -3.663
               0.000             276.025               7.324             268.756              59.394               0.684               3.071
               1.217             282.253              12.897             279.364              83.533               3.356               5.119
               0.007             273.755               5.441             262.889              46.150               7.214              -4.853
