 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             291.151              19.265             283.437              63.089               0.672               0.998
               0.095             287.839              17.563             284.046              80.588               0.855               1.801
               0.000             286.843              16.758             283.541              82.077               1.524               2.324
               0.000             285.330              14.671             279.045              68.564               2.227               0.440
               0.085             286.113              14.700             277.446              58.070               1.246               0.100
               0.000             288.388              16.005             277.776              50.320               0.416               0.515
               0.000             288.819              16.741             279.673              55.976               0.730               0.949
               0.114             287.065              16.666             282.549              77.406               0.960               1.368
               0.025             286.842              16.446             282.384              77.012               1.931               1.859
               0.000             287.174              16.245             280.822              69.176               1.647               0.784
               0.000             289.083              17.264             280.647              60.289               0.891               0.611
               0.000             290.595              18.697             282.695              62.112               1.760               1.216
               0.000             290.818              19.150             283.595              65.350               2.146               0.994
               0.000             288.616              17.909             283.644              75.294               1.277               1.463
               0.000             288.257              17.801             284.017              78.465               0.523               1.460
               0.000             287.915              17.689             284.312              81.452               0.643               1.747
               0.013             286.787              16.897             284.001              85.154               1.016               2.427
               0.310             286.643              16.727             283.895              84.490               1.690               2.205
               0.000             287.030              17.011             283.828              83.435               0.561               1.171
               0.000             288.401              17.981             284.272              79.181               0.737               0.744
               0.000             288.802              18.327             284.504              78.865               0.681               1.062
               0.000             287.682              17.462             284.022              81.231               0.690               2.112
               0.061             287.156              16.759             282.778              77.607               1.678               2.116
               0.003             286.539              16.065             281.566              75.081               3.472               1.233
               0.000             286.402              14.986             277.797              59.027               2.989              -0.182
               0.000             288.627              16.734             279.448              58.154               0.825               0.901
               0.000             292.141              18.211             277.584              40.578               0.767              -0.121
               0.116             296.759              20.717             277.385              29.591               0.871              -1.015
               0.000             298.990              21.941             276.826              25.586              -0.000              -0.706
               0.000             299.034              22.382             278.876              28.687               0.841               1.257
               0.004             292.518              20.410             283.923              62.101               0.561               1.798
