 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             265.021               0.209             260.797              72.929              -2.951               0.136
               0.062             264.868               0.163             261.519              77.284               1.799               2.267
               0.101             269.214               3.018             265.501              75.759               0.682               3.470
               0.566             272.167               4.891             266.930              68.094               3.616               4.839
               0.459             272.464               5.298             268.834              76.977              -4.049               1.303
               0.066             270.730               4.207             268.230              83.447               1.542               0.723
               1.989             270.225               3.848             267.714              83.218               0.613               1.477
               3.568             271.479               4.871             269.972              89.839               1.765               5.351
               2.006             273.003               5.949             271.219              88.158               3.893               3.340
               3.003             272.877               5.713             270.130              82.074               6.439               3.538
              37.202             276.861               8.982             275.892              93.780              11.540               8.478
               3.075             273.975               6.531             271.414              83.279               8.644               4.530
               0.000             271.449               4.515             267.148              73.815              -1.065               0.236
               8.152             273.018               5.516             267.939              69.480               4.380               7.889
               5.169             273.464               6.057             270.134              78.922               3.891               7.607
               0.000             273.126               5.802             269.639              78.242              -1.556               0.379
               0.000             271.707               4.758             268.008              76.735              -2.377               1.589
               0.194             272.546               5.230             267.873              71.446               1.245               1.056
               0.090             271.383               4.125             263.598              57.212              -2.253              -3.452
               0.131             272.840               5.030             264.527              54.037              -4.867               0.971
               0.000             272.855               5.166             265.655              59.453               2.184               2.622
               0.000             272.595               5.002             265.584              59.992               1.075              -0.968
               0.000             271.003               3.820             262.866              54.589               0.372               0.805
               0.097             271.755               4.367             264.108              56.910               4.327               3.165
               4.422             270.129               3.717             266.933              79.762               0.777              -3.305
               0.000             267.612               1.745             261.382              62.656              -2.220              -3.045
               0.000             269.376               2.640             259.843              47.915               2.798              -2.186
               0.251             268.562               2.092             258.625              46.097              -3.157              -2.536
               0.000             266.657               0.845             255.820              42.269              -1.025              -0.826
               0.700             267.139               1.202             257.351              46.287               1.925               3.294
               2.249             268.597               2.644             265.272              78.372               0.462               2.127
               0.136             269.476               3.225             265.957              77.400               3.519               1.253
               2.544             268.380               2.522             265.217              79.904              -0.517              -0.293
               0.000             266.323               1.117             262.980              77.670              -3.523              -0.385
               0.000             271.049               4.214             266.488              72.636              -2.429              -3.400
               0.000             273.251               5.600             267.155              66.243              -1.767              -2.262
               0.038             275.245               6.984             269.230              66.452               0.284              -3.901
               0.000             275.643               6.909             267.100              54.131               5.121              -0.138
               0.000             276.443               7.437             267.635              53.595               2.715               1.864
               0.025             277.108               7.561             265.611              43.194               6.331               5.123
               0.064             277.379               8.160             269.163              56.108               5.501               4.750
               0.029             277.971               8.338             267.940              49.161               6.824               6.056
               2.386             279.425               8.708             263.969              32.297               5.791               8.723
              20.379             278.672               9.553             273.257              69.790               8.097              14.026
              12.620             276.324               8.109             272.699              78.547               7.403               9.029
               0.394             272.193               4.782             265.672              62.423               4.742               5.513
               1.779             273.259               5.660             267.821              68.497               5.821               7.849
               0.092             271.955               4.600             264.979              61.494               4.576               3.853
               2.878             274.607               6.447             268.165              62.970               5.414               7.566
               4.141             274.423               6.756             271.097              79.517               4.727               2.252
               7.945             273.556               6.126             270.198              79.036               3.780               4.450
               7.607             273.962               6.347             270.128              76.401               6.646               7.744
               4.732             271.547               4.613             267.521              75.200               7.417               6.058
               1.449             270.800               4.098             266.945              75.443               8.517               6.381
               0.057             272.365               4.980             266.459              65.979               4.202               3.752
               0.058             276.624               7.735             269.045              59.255               2.252               5.620
               1.672             276.415               7.462             267.871              55.058               5.683               4.465
               0.056             273.584               5.823             267.607              66.013               1.679              -0.160
               0.881             275.805               7.239             269.099              61.703               6.489               5.246
               4.997             274.929               6.799             269.321              67.739               5.915               3.623
               0.110             272.012               4.548             264.434              57.322               1.351              -1.183
               0.277             275.130               6.891             269.268              66.001               5.172               0.800
               0.079             276.794               8.270             271.902              72.614               0.547              -0.411
               0.000             279.272               9.732             272.379              62.613              -1.487              -1.102
               0.000             280.944              10.959             273.785              62.549              -4.854               1.424
               0.222             281.990              11.641             274.308              60.230              -1.309               0.878
               0.000             282.538              11.863             273.811              56.138              -2.324              -0.386
               0.000             280.187              10.140             271.487              55.990              -4.318               1.276
               0.181             279.457               9.313             268.738              47.865              -1.339               2.626
               0.091             282.244              11.164             270.720              45.539               0.069               1.905
               0.000             282.154              10.934             269.469              41.848              -0.018               1.631
               0.000             283.118              11.588             270.158              41.449              -2.831               0.209
               0.029             281.901              11.163             271.732              50.970               0.552              -0.512
               2.027             280.380              10.430             272.665              59.752               3.101               5.102
               0.854             276.523               7.619             268.736              57.740               6.972               5.236
