 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             275.833               7.358             269.464              65.093               0.591              -0.783
               0.000             277.009               8.300             271.338              68.628              -0.756              -1.354
               0.000             279.652              10.192             273.623              67.424              -0.626              -1.148
               2.618             281.800              11.899             275.938              69.305              -0.395              -1.391
               2.144             281.401              12.144             278.349              82.195              -0.401              -2.092
               1.124             281.543              12.381             279.010              85.033               0.073              -0.401
              11.385             281.280              12.346             279.475              89.242              -0.756              -1.678
              23.332             280.987              12.496             280.748              98.636              -1.900               1.487
               4.382             279.433              10.817             277.566              88.424              -1.217               0.589
               2.139             279.346              10.799             277.653              89.800              -1.208              -0.190
              30.862             278.915              10.363             276.899              87.217              -1.537               4.588
               0.591             281.639              12.705             280.013              90.662              -0.032               2.593
               0.077             281.426              12.076             277.923              80.151               0.466              -0.954
              32.668             283.463              14.199             281.636              89.520              -2.053               4.150
              14.025             277.729               9.527             275.993              89.829              -1.584               3.185
               0.000             275.595               7.967             274.135              92.218              -0.394              -2.743
               0.777             273.918               6.749             272.915              93.453              -0.283              -1.202
               3.434             276.631               8.835             275.792              94.782              -0.668              -0.253
               0.090             273.938               6.728             272.695              92.064               0.023              -1.798
               0.131             274.129               6.783             272.392              88.725              -0.300              -0.633
               0.000             275.652               7.937             273.992              89.648              -0.856              -1.602
               0.000             277.759               9.353             275.130              83.914               0.041              -1.058
               0.000             277.066               8.815             274.335              83.519              -0.181              -1.546
               0.097             276.981               8.822             274.613              85.769              -0.252              -0.963
               0.210             276.683               8.527             273.922              83.504               1.786              -1.068
               0.000             275.166               7.049             270.051              70.781               1.012              -3.142
               0.000             276.227               7.627             269.954              64.845               0.315              -0.809
               0.251             276.929               8.310             271.842              70.769               1.439              -2.155
               0.000             274.993               6.772             268.744              65.129               0.358              -1.383
               4.318             276.779               8.083             270.875              66.959              -1.827               0.606
               4.517             278.714              10.424             277.594              93.356              -1.463              -1.143
               0.028             279.953              10.866             276.398              78.986              -0.044               0.398
               0.309             279.248              10.392             275.967              80.928               0.586               0.525
               0.000             276.221               7.793             271.010              70.513               0.762              -1.971
               0.000             278.026               8.883             271.507              64.073               0.476              -0.997
               0.000             279.423              10.341             275.256              75.938               1.121              -0.840
               0.038             282.213              12.479             277.751              75.038               1.186              -1.564
               0.000             283.346              13.399             278.931              75.225               0.541              -0.038
               0.000             283.217              13.408             279.237              77.564               0.140              -0.309
               0.025             283.967              14.135             280.380              79.678               0.131               0.668
               0.064             283.644              14.178             281.275              85.967              -0.239               0.492
               0.029             285.487              15.874             283.351              87.630              -0.403              -0.062
               5.410             280.488              11.788             278.964              91.508              -0.940              -0.475
              25.757             276.102               8.528             275.821              98.149              -1.899               3.156
               7.933             276.832               8.944             275.706              93.297               0.044               3.682
               2.338             277.786               9.364             275.028              83.626               0.371               1.156
               6.660             275.502               8.092             275.337              99.091              -1.444               1.321
               0.092             275.353               7.727             273.788              90.158              -0.702              -0.420
              12.814             275.342               7.969             275.192              99.063              -1.855               0.611
              10.297             277.430               9.609             277.330              99.431              -0.755               1.323
              15.397             275.869               8.389             275.815              99.551              -1.632               1.271
              12.359             275.103               7.781             274.936              98.878              -0.647               4.271
               5.920             275.234               7.851             274.884              97.786              -0.229               2.975
               1.449             274.886               7.596             274.598              98.139              -0.115               3.168
               0.057             277.467               9.356             276.037              90.822              -1.154              -0.155
               0.166             276.897               9.109             276.403              96.943              -0.977              -1.474
               5.225             277.454               9.556             277.014              97.229              -0.630               1.044
               0.000             275.155               7.771             274.693              97.084               0.060              -1.113
               5.331             276.055               8.534             275.984              99.586              -1.457               1.478
               8.615             275.413               7.979             275.028              97.481               0.648               2.337
               0.110             273.473               6.343             272.021              90.275              -0.489              -1.194
               2.221             275.724               8.260             275.548              98.978              -0.952              -1.860
               0.079             275.864               8.396             275.831              99.926              -0.280              -1.885
               0.000             276.866               9.180             276.836              99.972              -0.475              -1.935
               0.000             278.256              10.288             278.223              99.955              -0.646              -1.711
               0.222             278.998              10.886             278.941              99.816              -0.782              -1.789
               0.016             278.952              10.853             278.940              99.927              -0.621              -2.014
               0.000             279.007              10.885             278.932              99.583              -0.453              -1.632
               0.029             279.574              11.309             279.309              98.459              -0.509              -0.677
               0.091             278.642              10.571             278.472              99.109              -0.274              -0.994
               0.006             277.764               9.866             277.628              99.176              -0.692              -1.963
               0.000             278.431              10.398             278.283              99.058              -0.367              -1.019
               0.029             279.612              11.253             278.951              96.165              -0.056               1.151
               9.295             278.497              10.401             278.110              97.635              -1.327               0.313
               5.066             277.039               9.075             275.715              92.373               0.159               2.848
               1.791             277.416               9.375             276.103              92.595              -0.239              -1.815
               2.092             278.562              10.183             276.879              89.963              -0.192               0.951
               0.000             277.329               9.379             276.483              94.786              -0.178              -0.903
               0.117             276.509               8.817             276.073              97.266              -0.623              -1.199
               0.121             277.061               9.269             276.738              97.944              -1.059              -0.200
