 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             276.466               6.635             258.795              26.742              -0.725              -6.539
               0.000             275.290               5.710             254.345              19.855              -1.402              -7.606
               0.101             278.285               7.665             258.947              23.517              -0.831              -5.286
               0.134             281.433               9.694             262.246              24.594              -0.885              -0.016
               0.621             281.550              10.506             268.765              41.633              -1.033               1.792
               0.951             281.152              12.079             278.716              85.400              -0.812               3.842
               0.045             281.358              12.057             277.996              80.984              -0.738              -0.407
               0.004             281.878              11.653             274.862              62.410              -0.358              -1.156
               0.818             281.902              11.933             276.175              68.306              -0.314               1.659
               0.087             281.174              11.161             274.264              63.246               0.032              -4.701
               0.838             281.603              11.058             272.397              53.491              -0.379               1.835
               0.051             282.272              11.949             275.067              62.357              -0.001               3.846
               0.000             282.496              11.050             269.009              39.213               0.743              -4.146
               0.160             280.924               9.837             266.565              35.879              -0.827              -0.010
               0.741             281.706              11.396             273.827              59.485              -0.633               8.060
               9.819             280.884              12.104             279.465              91.265              -0.729               4.186
              13.013             281.692              12.543             279.282              85.953              -0.756               2.365
               8.553             281.061              11.532             276.471              74.118              -0.196               5.683
               1.170             279.508               9.865             272.218              61.572               0.929              -1.232
               0.131             278.801               8.764             267.603              45.146              -0.099              -6.145
               0.055             279.566               9.346             268.741              46.742              -0.604              -3.911
               0.000             281.728              10.901             271.010              47.836               0.359              -0.846
               0.000             279.550               9.133             266.983              41.394              -0.585              -4.054
               0.097             278.934               8.503             264.550              35.441              -1.291              -1.795
               3.450             279.668              10.339             274.248              70.981              -0.112               4.674
               0.810             278.002               8.699             270.267              59.172               2.209               2.210
               0.000             276.188               6.830             263.322              39.072               0.202              -2.837
               2.303             275.530               6.763             266.276              51.683              -0.675               3.349
               0.051             275.087               6.304             264.161              45.832               1.631              -0.935
               0.052             274.756               5.577             257.676              26.920              -0.963               1.707
               5.597             276.542               7.443             267.231              51.575              -1.995               4.900
               4.672             278.211               9.622             275.055              81.689              -0.290               5.072
               0.654             277.896               8.959             272.334              69.107               0.436               3.982
               0.000             278.862               9.181             270.412              55.584              -1.319              -4.301
               0.000             277.456               7.648             264.292              38.784              -0.710              -6.926
               0.000             278.368               8.136             264.085              35.532              -1.089              -9.189
               0.038             279.713               9.070             265.668              36.874              -0.054              -4.565
               0.000             282.182              11.048             270.202              43.944              -0.193              -3.081
               0.000             284.217              12.486             271.784              43.829              -0.283              -2.525
               0.025             284.483              12.556             271.407              41.530              -0.831              -3.154
               0.064             284.675              12.826             272.367              44.014              -0.556              -3.048
               0.029             286.385              13.683             271.807              37.458              -0.652              -0.866
               0.010             287.050              14.237             272.760              38.696              -0.570               0.322
               0.000             287.336              14.510             273.265              39.727              -0.708               3.299
               0.000             286.613              13.987             272.837              39.774               0.031               5.831
               0.000             283.833              12.397             272.711              47.501              -0.083               1.992
               0.000             283.486              11.949             271.034              43.536               0.496               2.341
               0.092             283.205              11.487             268.941              38.112               0.832              -1.016
               0.070             284.224              11.990             268.498              34.165              -0.433              -1.452
               0.145             284.891              12.406             268.973              33.369               0.195               4.213
               0.000             284.103              12.806             274.107              51.630               0.821               3.614
               7.931             283.283              12.842             276.192              64.839               0.097               7.840
               0.000             281.484              11.141             272.926              57.403               1.656               5.613
               0.045             281.456              10.686             270.531              47.310               1.078               5.668
               0.057             281.693              10.456             267.769              38.213               0.818              -1.518
               0.058             283.842              11.479             266.340              29.216              -1.281              -4.026
               0.041             286.235              13.067             268.172              28.854              -0.017              -0.185
               0.000             284.256              12.053             268.770              34.959               2.080              -2.728
               0.000             285.008              12.324             267.891              30.406               0.162              -0.013
               1.184             284.343              12.393             270.830              40.317              -0.516               6.603
               4.754             282.051              11.911             275.198              65.236               0.124               4.073
               0.169             282.528              10.916             267.771              35.837               0.975              -2.876
               0.079             284.208              11.894             268.081              32.520               0.051              -3.867
               0.000             286.061              13.281             270.272              34.511              -1.015              -4.810
               0.000             288.748              14.835             270.663              29.447              -1.253              -5.977
               0.222             289.865              15.836             272.836              32.339              -1.098              -4.499
               0.000             291.522              16.762             272.763              28.958               0.012              -0.953
               0.000             292.038              17.150             273.205              29.146               0.102               2.162
               0.019             290.980              15.989             269.876              24.162              -1.022              -0.865
               0.091             289.431              14.859             267.958              23.195              -1.669              -2.953
               0.000             289.271              14.655             267.010              21.856              -0.798              -2.799
               0.099             290.290              15.223             267.070              20.363              -0.825               0.804
               0.029             289.182              15.830             274.882              39.087               0.245               1.709
               0.007             287.903              15.164             274.920              43.330              -0.566               3.378
               0.000             286.680              13.766             270.948              35.365               1.320               5.881
               0.009             283.338              11.525             268.770              37.009               0.913               4.136
               2.114             283.179              12.125             273.381              51.674              -0.072               3.098
               6.945             282.017              11.799             274.767              63.309              -0.530               4.342
              18.477             280.243              11.300             277.569              84.227              -1.148               4.804
              11.569             280.069              11.036             276.838              81.030              -0.482               4.353
               0.626             283.132              12.806             276.745              66.507              -0.275               3.828
               0.000             285.436              13.950             276.008              54.191              -0.086               0.366
               0.005             287.342              14.737             274.441              43.235               0.192              -2.828
               0.050             289.125              15.237             271.790              31.391               0.990              -0.023
               0.000             288.947              15.262             272.235              33.526               0.132               3.784
               3.941             286.621              14.470             273.777              47.641              -0.446               8.388
               6.906             284.048              14.117             279.975              78.011              -0.612               7.563
               1.572             282.789              11.889             273.261              52.717               1.887               6.016
               0.000             284.339              12.996             274.417              51.909               0.113               3.403
               0.037             285.365              13.328             272.814              44.045               0.984              -0.385
               0.000             285.856              12.894             268.478              30.289              -0.169              -3.179
               0.000             286.680              13.253             267.739              26.930               0.213              -2.563
               0.000             286.298              13.033             267.605              27.556              -0.187              -4.394
               0.000             286.890              13.288             266.881              25.209               0.104              -2.796
               0.000             290.690              15.812             269.702              24.450              -0.608              -1.640
               0.000             291.975              16.626             270.059              23.552              -0.161               4.461
               0.033             291.624              16.391             269.639              23.648               0.177               5.022
               0.000             291.815              16.383             269.258              21.997              -0.961              -0.246
               0.000             291.929              17.131             273.160              29.850               1.158               4.850
               0.073             288.117              14.160             268.032              25.922               4.540              -2.400
               0.000             285.084              11.805             262.558              20.007               2.119              -2.265
               0.127             288.905              14.769             269.403              26.947               1.313              -2.856
               0.000             290.516              15.721             269.749              24.814              -0.554              -0.340
               0.017             293.807              17.738             270.745              21.781              -0.196               1.562
               0.000             295.049              18.346             269.867              19.261              -0.139               3.977
               0.095             295.378              18.369             268.765              17.323              -0.048               5.468
               0.000             293.132              16.988             268.174              18.718               0.809               8.147
               0.000             288.260              14.111             266.685              23.760               1.268               5.781
               0.085             288.098              13.501             262.309              16.257               0.872               0.018
               0.000             291.232              15.418             263.641              15.030              -0.226              -1.080
               0.000             294.030              17.051             264.226              13.109              -0.056               2.112
               0.114             294.486              17.234             263.362              11.984               0.005               4.975
               0.025             294.077              17.065             264.128              12.942               0.832               5.446
               0.000             293.588              16.875             264.703              14.254               1.196               3.819
               0.000             294.059              17.302             266.508              15.492               1.103               1.037
               0.000             296.501              18.938             268.523              15.581               2.111               0.950
               0.000             295.263              19.181             273.544              25.827               2.345               2.825
               0.000             295.335              18.346             268.851              17.380               0.726               2.240
               0.000             297.249              19.282             267.828              14.215               0.424               1.272
               0.000             296.587              18.933             267.905              15.022               0.253               4.364
               0.013             294.185              17.712             268.514              18.825               1.297               6.176
               0.000             291.042              16.140             269.938              25.506               1.121               4.846
               0.000             292.975              18.005             274.545              31.060               0.658               1.215
               0.000             296.745              19.633             272.061              20.220              -0.317               0.566
               0.000             297.193              19.722             270.766              18.279               0.726               5.344
               0.000             296.010              18.616             267.890              15.653               2.871               6.263
               0.061             292.875              16.963             268.718              20.357               3.564               6.252
               9.183             289.078              15.450             272.529              34.855               6.038               5.831
               0.115             287.113              14.074             271.358              35.370               1.807              -0.252
               0.000             289.385              14.973             269.002              25.193               1.350              -1.610
               0.000             291.695              16.279             268.964              21.727              -0.124              -2.512
               0.116             295.197              18.351             269.429              18.326              -1.734              -3.842
               0.000             296.279              18.595             266.601              13.844              -2.144              -3.284
               0.000             300.026              20.793             267.287              11.601              -0.969               0.699
               0.004             299.846              21.140             270.444              14.983              -0.552               4.941
               0.160             298.099              20.209             270.974              17.096              -0.755               5.238
               0.025             297.131              20.085             273.315              21.747              -0.918               4.510
               0.000             297.326              19.936             272.031              19.298              -0.150               4.356
               0.000             297.509              20.650             275.365              24.183               0.911               4.665
               2.225             297.238              21.524             279.681              33.290               0.779               5.277
               0.110             295.712              21.372             281.904              43.134               0.184               6.032
               0.001             299.928              23.512             280.858              31.719               0.348               3.487
               0.000             301.815              23.387             276.162              20.674               0.838               4.145
               0.000             300.677              21.627             270.495              14.384               0.696               5.561
               0.696             299.134              21.519             274.911              21.552              -1.819               1.461
               0.000             299.408              22.365             278.121              26.351              -0.875               1.998
               0.572             300.183              23.056             279.109              26.970              -0.006               5.582
               0.000             298.646              22.143             278.909              29.203              -0.012               8.331
               0.070             297.689              21.209             277.168              27.688               0.180               6.854
               0.001             298.341              20.901             274.065              21.255               0.389               4.777
               0.090             299.740              21.502             272.826              18.165              -0.634               1.884
               0.032             300.073              21.649             272.570              17.508              -0.748              -1.444
               0.000             299.749              21.936             274.738              21.282              -1.020               2.609
               0.183             300.033              22.388             276.256              23.023              -1.004               3.892
               0.086             300.407              22.523             276.201              21.977               0.223               3.322
               0.000             302.109              23.726             277.138              21.422               0.276               4.346
               0.029             303.538              24.656             277.742              20.431               0.362               6.867
               0.000             300.623              23.289             278.814              26.170              -0.079               8.776
               1.442             298.378              21.215             274.915              23.529              -0.482              -1.178
               0.133             296.421              18.516             265.122              12.301              -1.523              -5.023
               0.154             299.545              20.511             267.041              11.860              -2.468              -3.619
               0.000             303.959              23.617             271.522              12.632              -1.650               0.498
               0.046             306.376              26.072             276.716              16.433              -0.437               3.418
               0.002             307.537              26.287             275.003              13.325               1.250               3.416
               0.023             306.566              26.109             276.389              15.910               3.029               3.104
               0.019             303.976              23.346             269.163              11.019               2.286               5.114
               0.000             301.608              21.493             264.910               9.287               1.985               5.535
               0.000             298.499              19.799             265.703              11.687               1.582               7.646
               0.000             294.840              18.074             268.617              18.004               2.836               4.744
               0.000             296.953              18.913             266.144              12.739               0.721              -0.557
               0.000             299.999              20.886             268.031              12.399               0.200               4.057
               0.000             301.488              21.719             267.667              11.293               0.358               4.812
               0.119             302.142              21.969             266.826              10.104               0.269               4.297
               0.223             303.283              22.840             268.463              10.791               0.045               3.285
               0.164             304.468              23.687             269.630              11.062              -0.087               3.782
               0.000             305.151              24.366             271.545              12.197               0.315               4.790
               0.000             306.802              25.241             271.098              10.821               1.104               3.109
               0.015             308.128              25.698             269.220               8.716               2.453               1.429
               0.000             308.416              26.300             272.006              10.533               2.106               2.318
               0.031             308.643              26.350             271.784              10.054               1.956               2.248
               0.000             308.182              27.099             276.760              14.873               0.537               4.315
               0.000             305.229              24.592             272.673              13.116               1.693               6.285
               0.000             301.477              21.722             267.944              11.357               1.008               6.912
               0.025             299.097              20.106             265.462              11.030               0.211               5.993
               0.019             300.100              21.022             268.337              12.884              -0.133               4.909
               0.000             301.308              21.832             269.481              12.842               0.400               4.979
               0.027             301.285              21.831             269.292              12.942               0.735               4.438
               0.052             303.198              22.511             266.554               9.168               0.483               3.904
               0.000             305.030              23.676             267.470               8.935               1.085               3.859
               0.000             307.159              24.998             268.265               8.477               1.310               2.394
               0.062             307.259              25.000             267.695               8.171               2.288               1.969
               0.174             305.609              24.187             268.798               9.601               2.215               2.615
               0.000             306.066              25.232             273.436              13.349               0.761               2.739
               0.312             306.870              26.669             277.895              17.523               0.550               5.330
               0.000             305.802              26.794             280.657              22.370               0.225               5.193
               0.064             305.955              26.253             278.402              18.972              -0.277               4.859
               0.000             307.582              26.994             277.807              16.475              -0.068               5.170
               0.022             308.552              28.847             282.027              21.376               0.311               3.933
