 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             278.857               9.284             270.883              58.531              -3.375               3.655
               0.000             280.329               9.300             264.449              32.339              -9.887               9.177
               0.000             283.793              11.515             266.422              30.588              -5.489               4.777
               0.134             286.199              12.468             262.482              19.134              -0.304              -0.429
               4.919             283.862              12.480             270.694              48.734              -4.667               3.646
               1.524             283.082              13.857             281.221              89.197              -1.887               1.284
               0.045             285.006              14.615             280.078              72.382              -0.753               0.303
               1.948             283.792              13.640             278.914              72.769              -2.583               2.293
               4.166             283.558              13.945             280.356              82.736               0.120               0.059
               0.000             285.706              15.193             280.676              72.300               1.319              -0.657
               3.009             285.400              15.037             280.745              74.085               1.537              -0.827
               1.347             284.803              15.269             282.492              87.654               4.259              -3.012
               0.000             284.176              13.497             277.341              63.963              -0.209               0.955
               7.072             283.752              13.398             277.717              68.605              -5.268               3.889
               8.625             282.245              13.190             280.529              90.126              -3.092               2.080
               1.287             283.907              14.394             281.461              85.773              -1.250               0.590
               2.202             283.465              13.636             279.689              78.047               0.836              -0.735
               1.166             282.530              12.538             277.149              70.836               0.850              -0.388
               0.090             281.774              11.736             275.578              66.064               2.010              -1.337
               0.131             281.989              11.755             275.089              62.811              -1.837               2.580
               0.000             283.558              13.002             276.686              63.726              -2.416               2.150
               0.000             284.877              13.704             276.575              57.547               2.257              -1.480
               0.000             283.706              12.967             276.207              60.722              -1.019               0.800
               0.000             283.809              13.303             277.430              65.808              -0.332              -0.212
               2.802             282.090              12.036             276.025              67.372               4.210              -3.099
               0.000             279.924               9.835             270.749              52.984               3.768              -2.923
               0.000             278.805               8.781             267.757              45.533               1.594              -0.604
               2.087             279.202               9.444             270.813              56.183               3.685              -2.990
               0.000             277.602               8.062             267.286              48.425               2.384              -1.199
               0.440             278.217               8.407             267.331              46.264              -3.139               2.679
               5.381             280.370              11.365             277.473              83.332              -5.859               4.568
               4.931             281.945              12.116             276.889              71.665              -1.091               1.729
               7.426             280.615              11.015             275.196              69.912               0.618              -1.190
               0.000             278.917              10.058             275.238              78.763               0.648              -1.624
               0.000             280.128              10.280             272.728              60.620              -1.893               2.464
               0.000             282.313              11.621             273.366              54.477              -1.252               2.351
               0.038             284.268              13.219             275.907              57.225               0.750              -0.041
               0.000             284.979              14.175             278.342              64.741               0.085               0.581
               0.000             284.811              14.082             278.323              65.493              -0.846               1.136
               0.025             285.022              14.537             279.586              70.717              -0.445               0.857
               0.064             285.949              14.657             278.041              59.553              -0.274               0.505
               0.029             287.588              15.485             277.640              51.950              -0.132              -0.354
               0.010             288.355              15.987             277.527              50.446              -2.037               1.391
               1.630             287.024              15.077             276.961              52.477              -0.818              -0.360
               4.628             284.098              14.330             280.449              81.360              -2.511               1.876
               0.000             285.130              14.411             278.889              66.814               3.534              -2.900
               0.000             284.166              13.306             276.559              60.411               2.181              -1.389
               0.092             283.502              13.057             277.106              65.729               2.257              -1.333
               0.502             283.795              13.410             277.885              68.165               1.807              -1.704
               3.925             283.719              13.910             279.921              79.337               2.196              -1.786
               2.329             282.900              13.345             279.787              81.684               0.877              -0.512
              15.275             282.822              13.480             280.275              85.925               0.862              -0.417
               1.816             282.133              12.171             276.596              69.630               3.466              -1.210
               4.041             282.362              12.773             278.500              78.857               3.096              -2.255
               0.057             284.162              13.203             276.148              58.471               0.744              -0.122
               0.058             287.163              15.716             279.531              60.919              -2.817               2.779
               2.201             285.173              14.675             279.645              70.972               3.041              -2.642
               0.000             284.436              13.862             278.220              66.998               4.431              -3.444
               0.935             285.133              14.332             278.508              65.344               2.585              -1.808
               9.230             284.117              13.849             278.501              71.708               2.434              -2.431
               0.326             282.199              11.882             274.951              62.096               6.083              -5.331
               0.169             283.271              12.427             274.765              56.493               1.641              -0.566
               0.079             285.723              15.085             280.116              70.168               2.107              -1.216
               0.128             287.257              16.301             281.342              68.956               0.919              -1.072
               0.000             289.561              18.071             282.869              65.791              -0.480               1.301
               0.222             292.224              20.087             284.329              61.449              -0.322               0.631
               0.000             292.233              20.376             284.994              64.685               0.528               0.125
               0.000             292.866              20.458             284.277              59.115               0.315               0.053
               0.019             292.246              19.831             283.423              58.271               1.054              -1.046
               0.091             291.588              19.382             283.230              59.812               1.145              -1.722
               0.000             290.826              19.181             283.946              65.653               0.793              -0.889
               3.771             291.673              19.145             282.433              56.090               0.769              -1.257
               0.353             288.518              17.383             282.531              68.908               2.189              -1.787
               2.491             288.528              17.648             283.324              72.635               0.563              -0.692
               1.718             284.797              14.212             278.709              68.123               3.121              -1.747
              10.906             282.846              13.243             279.140              80.478               2.634              -2.515
               2.308             285.047              14.188             278.310              63.986               2.411              -1.755
               9.580             283.369              13.359             278.607              74.028               0.761              -0.809
               0.873             284.275              13.185             275.865              56.461               1.398              -0.425
               1.309             285.428              13.903             276.110              53.467               2.854              -1.295
               0.000             285.921              14.717             278.073              60.976               1.036              -0.290
               0.000             287.850              15.711             277.807              52.269               0.677              -1.002
               0.005             287.857              16.125             279.309              58.469               2.391              -2.459
               0.050             288.836              17.004             280.490              59.539               2.591              -2.355
               0.000             288.908              16.817             279.656              56.026               2.305              -1.565
              11.188             287.262              16.259             280.519              68.219              -2.839               2.128
               6.906             286.197              15.575             280.686              71.761              -2.106               2.516
               1.032             285.320              14.396             278.296              63.788               2.374              -1.122
               0.000             287.229              16.036             280.419              65.128               4.805              -4.105
               0.037             287.013              15.567             279.148              60.483               3.785              -3.281
               0.000             287.317              15.510             278.254              55.688               3.062              -2.153
               0.000             287.352              15.241             276.926              51.032               4.399              -3.939
               0.000             287.486              15.176             276.318              48.392               2.848              -2.372
               0.000             290.156              17.277             278.811              48.491               0.006              -0.025
               0.000             293.487              19.434             279.880              42.231              -0.479               0.546
               0.000             291.858              18.198             278.490              43.052               3.289              -3.039
               0.033             289.803              17.473             280.176              54.906               3.094              -2.874
               0.000             289.885              17.415             279.885              53.224               3.055              -2.961
               0.000             290.023              17.458             279.656              52.295               5.773              -5.027
               0.000             285.172              13.857             275.957              56.172               9.319              -8.458
               0.000             285.381              13.985             276.215              55.561               6.735              -6.014
               0.127             289.835              17.881             281.739              60.018               5.024              -4.493
               0.000             291.454              18.814             281.668              54.369               3.588              -2.635
               0.017             292.057              19.128             281.498              52.023               2.777              -2.005
               0.000             293.432              19.874             281.350              47.409               2.929              -2.417
               0.095             294.292              19.783             279.257              39.088               2.720              -1.964
               0.000             289.061              16.894             279.170              55.335               5.118              -3.279
               0.000             286.385              14.426             275.341              49.892               6.174              -5.130
               0.085             285.363              13.322             272.962              43.945               3.406              -2.720
               0.000             288.982              15.660             274.594              38.796               0.935              -0.713
