 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             285.802              16.106             283.599              86.757              -0.979              -3.459
               0.000             287.626              17.671             285.098              85.238              -3.322              -0.832
               0.000             288.660              18.213             284.987              79.111              -0.652              -1.433
               0.350             289.081              19.496             287.630              91.680              -0.689               1.824
              12.080             288.776              19.068             286.987              89.836               3.364               7.532
               2.474             289.082              18.606             285.374              79.158               8.797               0.729
               0.000             288.038              18.251             286.036              88.218               4.080              -2.042
               0.004             286.956              17.539             285.765              93.027               1.636              -1.104
               0.926             287.933              18.386             286.529              91.744               3.787              -3.294
               0.000             287.323              17.772             285.828              91.222               2.115              -5.120
               0.190             287.064              17.623             285.842              92.741               3.356              -3.986
               0.051             288.709              19.260             287.586              93.529               3.891              -4.498
               0.185             287.660              18.068             286.110              90.862               2.405              -5.901
               0.000             286.947              17.389             285.391              90.738               3.067               0.224
               6.573             289.026              18.981             286.435              85.180               4.954               3.549
               6.903             288.970              18.091             284.124              73.343               3.124               2.751
               2.289             288.239              17.136             282.489              68.844               3.868              -2.538
               0.194             287.756              17.422             284.203              79.586               5.595              -5.012
               0.090             287.110              16.952             283.900              81.345               5.965              -6.030
               0.131             287.723              17.748             285.162              85.037              -0.711              -3.936
               0.000             287.879              17.814             285.091              83.851               0.137              -0.760
               0.000             288.056              17.948             285.196              83.398               4.992              -1.423
               1.649             287.699              17.833             285.434              86.690               3.119              -0.148
              11.221             285.864              16.512             284.667              92.839              -3.695               1.079
               0.000             286.535              16.473             283.422              81.903               5.189              -7.346
               0.000             286.534              16.278             282.835              78.695               7.756              -6.319
               0.000             286.219              15.889             282.169              76.751               0.505              -6.412
               0.359             286.265              15.991             282.419              77.815               7.008              -6.039
               0.000             285.118              15.119             281.698              79.863               6.760              -4.836
               0.991             286.396              15.760             281.372              72.037               5.442               2.513
               1.385             287.769              16.619             281.694              67.137               7.585               4.468
               0.028             286.898              16.532             282.971              77.611               7.171              -0.951
               0.438             286.060              15.447             280.973              71.553               4.436              -1.651
               1.587             285.401              14.318             278.120              61.224               3.570              -5.101
               0.000             286.924              16.351             282.340              74.308               1.276              -6.685
               0.000             286.845              17.131             284.840              88.094               4.499              -7.298
               0.038             286.745              17.130             285.005              89.577               3.351              -4.879
               0.000             286.283              16.761             284.686              90.506               0.449              -4.492
               0.055             285.912              16.514             284.605              92.111               2.175              -5.025
               0.154             285.038              15.751             283.823              92.670               0.070              -4.906
               0.172             285.683              16.380             284.588              93.428               1.795              -5.010
               0.029             286.635              17.226             285.428              92.825               0.553              -3.660
               0.010             285.917              16.592             284.808              93.375               0.508               0.626
               1.360             287.000              17.558             285.752              92.649               2.074               3.229
               2.781             287.402              17.950             286.187              92.844               3.483              -0.615
               0.000             286.825              16.732             283.718              81.900               3.825              -5.302
               2.373             286.463              16.514             283.682              83.661               4.830              -3.232
               0.092             287.267              17.192             284.324              82.885               2.518              -4.862
               0.070             287.279              17.214             284.385              83.063               2.632              -5.499
               0.469             287.126              17.636             285.771              92.017               3.717              -5.002
               0.000             286.814              17.435             285.718              93.505               3.785              -1.600
               1.559             287.501              17.907             285.926              90.706               5.270              -0.698
               0.000             287.000              16.976             284.154              83.301               5.232              -3.272
               0.045             286.643              16.699             283.935              84.029               4.391              -4.231
               0.057             287.084              17.134             284.464              84.612               0.681              -3.611
               0.058             287.647              17.737             285.249              85.958              -0.429              -2.285
               0.041             287.876              18.086             285.845              88.034               4.010              -4.184
               0.000             286.631              16.614             283.639              82.810               4.604              -8.277
               0.000             286.453              16.493             283.639              83.437               4.142              -7.202
               3.647             286.085              16.528             284.352              89.622               6.767              -4.550
               0.326             285.848              15.598             281.872              77.260               8.854              -6.788
               0.169             287.067              17.042             284.212              83.376               2.875              -6.436
               0.079             287.176              17.718             285.919              92.551               2.701              -6.281
               0.000             286.819              17.418             285.662              93.144               3.221              -6.333
               0.000             287.951              18.440             286.650              92.299               1.961              -4.013
               0.222             288.310              18.742             286.882              91.644               0.374              -2.335
               0.016             287.921              18.392             286.554              92.013               3.124              -1.773
               0.000             287.741              18.276             286.530              92.865               2.366               0.557
               0.137             287.684              18.244             286.530              93.232              -1.278               0.941
               0.091             286.619              17.242             285.497              93.336              -0.696               0.036
               0.006             286.826              17.377             285.546              92.372               1.057              -0.628
               1.287             287.915              17.912             285.273              84.824               4.088               0.224
               0.029             287.979              17.961             285.294              84.665               2.789              -2.033
               0.007             286.896              17.484             285.726              93.049               2.463              -1.464
               0.000             287.141              16.969             283.884              81.170               5.554              -4.477
               0.009             286.338              16.364             283.452              83.001               6.961              -2.899
               0.019             287.211              17.012             283.908              80.846               5.322              -5.032
               2.161             285.665              16.058             283.654              88.059               5.801              -2.396
               3.033             286.415              15.649             280.936              69.914               6.065              -2.113
               0.337             287.287              16.667             282.700              74.319               5.829              -3.213
               0.518             287.952              17.857             285.100              83.476               1.848              -0.297
               0.000             287.686              17.330             284.050              79.144               0.226              -1.480
               0.005             287.646              17.603             284.880              83.907               2.532              -3.689
               0.050             287.922              18.164             285.973              88.547               4.471              -4.300
               0.754             287.830              18.124             286.011              89.261               5.192              -1.209
               1.727             288.371              18.707             286.718              90.258               5.264               4.919
               2.262             288.658              18.227             284.942              79.339               7.587               3.433
               0.276             287.578              16.892             282.905              73.858               5.521              -3.040
               0.000             287.214              16.993             283.849              80.503               4.017              -6.291
               0.037             287.013              16.770             283.523              79.803               4.067              -7.891
               0.389             286.919              17.208             284.933              88.243               5.342              -7.126
               0.470             286.641              17.066             284.980              90.102               5.755              -7.543
               0.487             286.923              17.333             285.273              90.189               4.747              -7.219
               0.928             286.476              16.982             285.020              91.233               2.354              -5.348
               0.379             287.033              17.537             285.674              91.817               2.571              -3.978
               0.000             286.600              17.129             285.219              91.771               4.187              -5.647
               0.033             286.436              17.012             285.151              92.359               3.759              -4.172
               0.115             287.408              17.704             285.529              88.888               5.354              -4.708
               0.000             287.140              17.426             285.192              88.452               6.176              -7.484
               0.000             287.188              16.681             282.939              75.922               8.534             -10.126
               0.000             286.905              17.120             284.712              87.022               7.005             -10.918
               0.127             287.405              17.792             285.779              90.330               6.036              -9.553
               0.000             287.547              18.015             286.144              91.697               2.214              -6.259
               0.125             287.448              17.982             286.204              92.656               3.009              -5.855
               0.000             287.276              17.787             285.943              92.167               2.656              -3.666
               0.203             287.636              18.150             286.346              92.479               3.293              -3.344
               0.256             287.444              17.976             286.193              92.616               4.356              -5.878
               0.000             287.143              16.731             283.165              77.353               4.315              -7.892
               0.085             287.199              16.675             282.917              75.672               4.644              -8.354
               0.000             287.310              17.131             284.093              81.320               4.224              -6.740
               0.000             287.256              17.297             284.652              84.703               4.121              -5.307
               0.114             287.158              17.597             285.620              90.898               5.030              -5.641
               0.673             286.889              17.501             285.766              93.419               4.140              -3.983
               0.000             287.237              17.784             286.002              92.699               3.639              -4.317
               1.152             288.614              18.722             286.409              87.094               2.741              -2.688
               0.896             288.384              18.685             286.632              89.768               2.578              -1.393
               0.000             288.818              19.275             287.475              92.210               3.364              -3.301
               0.000             287.444              18.024             286.324              93.372               4.735              -4.792
               0.047             287.523              18.002             286.136              91.871               6.728              -6.852
               0.000             287.220              17.724             285.861              91.999               5.728              -6.410
               0.229             287.928              18.457             286.706              92.904               5.617              -3.924
               0.094             287.635              17.864             285.590              88.084               6.532              -4.510
               0.000             287.843              17.990             285.639              87.036               4.852              -5.531
               0.000             287.034              17.305             285.029              88.087               2.144              -4.640
               0.045             287.005              17.431             285.419              90.537               3.943              -5.739
               0.104             287.299              17.872             286.141              93.153               5.510              -6.053
               0.061             288.078              18.489             286.566              91.209               6.702              -5.106
               0.003             287.929              18.350             286.439              91.261               7.197              -4.351
               0.000             287.988              17.462             283.934              77.034               7.485              -7.239
               0.000             288.244              18.328             285.906              86.458               3.979              -7.065
               0.129             287.055              17.548             285.642              91.672               1.548              -5.589
               0.224             287.650              18.175             286.396              92.662               3.044              -5.678
               0.000             287.404              18.020             286.361              93.906               4.022              -3.776
               0.000             287.979              18.538             286.849              93.366               3.308              -3.028
               0.091             288.260              18.743             286.963              92.382               3.085              -3.395
               0.160             287.614              17.927             285.805              89.353               3.477              -3.494
               0.025             288.029              18.280             286.120              88.771               3.602              -3.407
               0.000             287.943              18.244             286.155              89.455               1.085              -3.123
               0.000             288.095              18.498             286.577              91.097              -0.060              -2.795
               0.000             288.183              18.666             286.867              92.337               3.233               1.113
               0.326             289.133              19.615             287.853              92.619               2.912               0.494
               0.649             288.107              18.528             286.632              91.375               3.202              -2.745
               0.703             288.190              18.636             286.791              91.799               3.498              -4.910
               0.137             288.364              18.906             287.219              93.298               4.836              -5.032
               0.480             288.657              19.060             287.172              91.372               5.437              -4.181
               0.169             288.713              19.041             287.051              90.328               3.035              -1.568
               0.248             288.707              19.087             287.174              91.079               3.051              -3.016
               0.000             288.459              18.692             286.549              88.805               3.143              -6.109
               0.070             288.181              18.283             285.905              86.657               4.322              -4.736
               0.001             288.185              18.234             285.757              85.880               4.659              -2.561
               0.090             288.349              18.534             286.306              88.025               3.620              -1.599
               0.140             288.745              19.021             286.960              89.594               2.711               0.218
               0.912             288.757              19.005             286.914              89.188               2.084              -0.011
               0.000             288.916              19.204             287.166              89.836               1.827              -1.539
               0.194             288.688              19.101             287.235              91.532               4.289              -2.242
               0.507             288.999              19.441             287.630              92.039               5.572              -3.635
               0.569             289.280              19.729             287.920              92.189               3.982              -4.183
