 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              11.923             274.349               7.004             273.006              91.015               2.594              -4.187
               0.000             264.071              -0.466             258.938              66.925               4.155              -4.397
               0.000             266.168               0.875             261.004              67.142               3.110              -0.123
               1.970             269.636               3.450             267.169              83.868              -0.222               2.023
               7.760             271.839               5.168             270.601              91.500              -2.298              -1.904
               4.008             269.309               3.373             268.232              92.455              -1.469              -3.406
               4.473             269.413               3.450             268.345              92.648              -0.719              -4.527
               0.004             263.393              -0.741             260.700              81.574               1.775              -2.958
               0.062             261.222              -2.078             259.354              86.705               0.806               2.700
               0.000             264.760               0.255             263.492              91.027              -1.142              -1.202
               0.622             264.579               0.050             262.273              83.678              -2.802              -3.344
               0.000             269.428               3.406             267.910              89.544              -1.834              -1.993
               1.805             273.941               6.796             273.109              94.627              -0.728               0.816
               0.160             267.002               1.506             262.853              73.512               5.682              -3.889
               0.000             264.237              -0.302             259.927              72.172              -0.222              -0.304
               0.207             271.798               5.052             269.843              87.460              -0.266               2.985
               0.021             276.317               8.638             275.734              96.282               0.386               2.705
               0.086             275.967               7.923             272.577              81.126              -2.537              -2.523
               6.894             276.235               8.284             274.104              86.587              -2.375               1.639
              12.227             280.028              11.561             279.268              95.303              -0.876              -1.257
               5.131             273.863               6.468             271.379              83.945               4.208              -4.843
               2.781             272.470               5.393             269.404              80.961               1.866               1.414
              48.089             273.199               6.243             272.344              94.401              -1.588               3.652
               0.745             270.739               4.188             268.013              82.160               5.472              -1.756
               0.000             267.941               2.187             264.465              77.364               2.029              -0.689
               2.754             271.401               4.743             269.381              86.375              -1.892              -0.119
               5.096             272.883               5.985             271.926              93.462               0.328               0.479
               0.251             270.640               4.091             267.751              80.753               5.073              -1.974
               0.051             269.501               3.221             265.780              76.254               1.478              -2.225
               0.689             271.264               4.534             268.375              81.014              -1.958              -1.483
               0.000             270.308               3.852             267.198              80.387               2.646              -3.291
               0.028             266.875               1.369             262.116              69.751               1.673              -2.474
               0.006             269.052               3.059             266.776              84.568              -1.433               1.682
               4.395             274.245               6.922             272.824              90.826               0.384               1.559
               0.000             272.792               5.576             269.177              78.878              -0.361              -2.994
               0.000             268.048               1.751             257.668              44.969              -2.834              -3.869
               7.490             270.588               3.790             265.044              67.077              -2.512               0.326
               9.050             272.799               5.852             271.380              90.475               0.178              -4.118
               0.271             267.545               2.106             266.058              89.634              -0.872               1.010
               0.025             264.717               0.056             261.272              76.530               1.041              -5.347
               0.064             266.918               1.589             264.464              83.303              -0.332               2.109
               0.029             269.526               3.387             267.232              84.607              -0.484               2.239
               0.010             275.050               7.431             273.054              87.617               1.200               0.966
               0.000             273.118               5.958             270.762              85.032              -1.781              -1.423
