 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               4.730             268.279               2.550             266.245              85.961               2.784              -4.924
               0.000             263.852              -0.463             260.968              79.886               3.508              -2.760
               4.205             267.277               1.843             264.850              84.142               0.145               2.096
               1.603             272.433               5.496             270.423              86.688              -1.711               1.867
               6.777             273.573               6.461             272.402              92.094              -1.698              -1.679
               1.329             271.098               4.630             269.866              91.486              -1.058              -2.880
               0.693             271.788               5.083             270.184              89.273               1.018              -3.177
               0.004             268.628               2.593             264.428              74.003               1.136              -3.060
               0.000             270.730               3.884             265.230              66.986               0.676               1.853
               1.275             273.784               5.943             267.965              65.339              -2.016              -0.067
               0.514             274.392               6.914             272.328              86.397              -2.515              -0.782
               0.000             277.100               8.657             273.462              77.779              -2.853               1.621
               0.000             276.738               8.506             273.728              81.526               2.037              -0.143
               0.000             266.502               0.884             258.096              52.035               3.420              -5.456
               0.000             269.378               2.738             261.087              53.469              -1.205               1.773
               4.959             278.345               9.967             276.507              88.671              -0.054               2.793
               0.345             287.153              17.604             285.548              91.094               0.149               3.254
              17.582             288.163              18.584             286.678              91.407              -2.308               1.913
              28.818             289.688              20.064             288.108              91.228              -0.759               2.759
              20.003             284.614              15.294             283.141              91.240              -0.145              -2.526
               0.000             277.113               8.328             271.424              67.140               5.084              -4.669
               0.000             277.244               8.290             270.532              63.047               0.041               2.556
               0.029             279.769              10.583             275.485              75.354               3.153               1.834
               0.000             269.911               3.453             265.767              73.605               2.997              -3.286
               9.390             272.574               5.390             269.055              77.575              -1.680               1.927
              12.863             272.534               5.669             271.214              91.039              -3.597               0.013
               0.000             273.063               5.886             270.420              83.658               2.789              -2.641
               0.251             270.804               4.048             266.421              72.761               1.273              -2.841
               0.300             272.173               5.114             268.728              78.027              -2.259              -0.987
               1.013             274.389               6.950             272.499              87.865              -0.880               0.123
               0.000             268.597               2.564             264.419              73.504               2.161              -4.300
               0.913             269.750               3.337             265.327              73.267              -1.536               0.136
               6.497             275.849               7.751             272.360              78.201              -0.868               2.388
               2.851             278.323              10.027             276.882              90.888              -1.235              -1.056
               0.000             275.987               7.834             272.385              77.612              -1.213              -2.245
               0.161             276.407               8.305             273.761              83.016              -2.473              -2.645
              12.782             273.565               6.435             272.254              91.272              -1.650              -1.353
               1.274             273.697               6.487             272.104              89.483               2.541              -2.280
               0.000             273.209               6.019             270.803              84.782               0.678               1.272
               0.025             266.499               1.243             263.246              78.405               0.431              -4.170
               0.064             271.293               4.378             266.707              72.404              -1.026               2.532
               0.029             278.174               9.287             273.353              72.724               0.369               2.412
               0.010             282.370              12.858             279.068              80.571               1.107               1.876
               0.000             281.328              12.040             278.037              81.149              -0.872              -0.791
               0.000             286.582              15.892             281.352              71.610              -0.455               3.899
               0.000             286.536              15.836             281.338              71.322               1.983               2.732
               0.000             272.650               5.425             269.008              76.755              -0.302              -7.764
               6.572             270.549               4.140             268.511              86.565              -0.802              -3.296
               1.582             271.427               4.840             269.932              90.126               0.547              -1.907
               0.037             272.141               5.178             269.211              81.915              -1.230               0.331
               2.869             278.338               9.720             275.356              81.700              -1.481               3.074
               0.695             285.603              15.863             283.076              85.620              -0.466               1.784
               5.056             290.133              20.003             287.278              84.567              -0.677               4.461
              15.813             291.151              21.016             288.089              84.662               0.336               0.816
              16.041             281.396              12.600             280.271              92.940              -0.914              -3.543
               1.030             276.960               8.474             272.816              75.247               4.775              -5.837
               0.041             277.899               8.887             271.846              66.909               1.036              -1.516
               0.207             280.584              10.931             274.867              68.420              -2.066               2.702
               3.862             285.922              15.869             282.391              80.820               1.635               2.873
               0.000             284.788              14.420             279.706              72.114              -0.791              -0.634
               3.717             285.434              15.528             282.323              82.322              -3.743               2.972
               9.457             288.630              18.240             284.806              79.900               1.594               2.281
               0.079             279.762              10.235             273.820              66.395               4.467              -3.663
               0.000             280.069              10.125             272.012              57.746               1.660               0.475
               0.000             284.076              13.104             275.738              57.822               1.561               1.117
               0.222             285.654              14.792             279.138              66.027               2.782              -0.202
               0.000             284.694              13.710             277.072              60.294              -0.514              -0.539
               0.007             285.968              15.643             281.548              76.247               0.059               2.859
               0.137             283.355              13.171             278.094              70.396              -0.626              -4.916
               0.091             281.502              11.682             275.729              69.617               1.935               0.754
               0.000             284.779              13.942             277.555              63.364               1.343               2.604
               0.000             287.103              16.673             282.649              76.988               1.847               5.537
               0.029             287.268              15.914             279.918              62.689              -0.700              -2.490
               3.409             282.083              12.301             277.261              73.369              -1.113              -1.222
               9.710             281.070              12.311             279.858              92.537              -2.933               0.533
               0.452             285.510              15.938             283.502              88.400              -2.729               3.127
               2.935             292.156              21.941             289.042              83.611              -2.343               6.311
               4.936             293.994              24.013             291.073              85.247              -0.695               4.321
              20.961             293.478              23.374             290.509              84.313              -0.042              -0.190
               2.281             291.725              21.606             288.861              84.827              -2.574               0.582
               7.052             291.507              21.312             288.539              83.929               0.145               2.964
               0.945             285.319              14.946             280.456              73.667               5.772              -1.492
               0.005             282.240              12.059             275.747              65.305               4.512              -3.914
               0.050             281.055              10.979             273.696              61.047               1.931              -0.376
               0.000             286.220              15.695             281.121              73.456              -1.144               3.840
               0.000             289.965              19.715             286.719              82.907               0.956               2.954
               0.000             292.462              22.277             289.360              83.878               0.012               5.517
              30.992             294.367              23.981             290.674              80.850               0.293               7.755
              29.057             293.698              23.689             290.920              85.175              -0.743               5.675
               3.277             292.912              22.538             289.335              81.631              -1.567               1.024
               2.128             293.778              23.631             290.654              83.664               0.506               4.700
               2.846             289.196              18.408             284.546              74.922              -0.738              -2.942
               0.000             285.892              16.193             283.633              86.884              -2.830              -0.564
               0.000             284.148              14.444             281.054              82.741               1.238              -1.985
               0.000             284.401              13.877             278.427              67.833              -0.210               1.199
               0.000             288.842              17.709             282.796              69.521              -0.076               2.918
               0.141             289.249              18.269             283.892              72.320              -0.559               3.966
               0.547             294.791              24.754             291.663              84.013               1.476               4.722
               0.000             288.656              17.557             282.877              69.686              -0.657              -2.781
               5.225             289.391              18.835             285.428              78.352              -4.558               1.902
              10.463             294.686              24.254             290.735              80.202               0.094               5.976
               0.127             288.546              17.430             282.023              69.244               1.977               2.182
               0.000             288.805              17.168             281.296              62.244              -0.606              -2.547
               0.017             289.386              17.574             281.618              61.039              -0.439               0.717
               0.000             292.057              20.005             284.427              62.237              -1.387               1.109
               0.095             293.011              21.251             286.320              66.385              -1.323               1.890
               6.844             294.178              23.192             289.047              74.835              -2.494               2.796
              10.436             293.533              22.945             289.572              79.135              -2.427               3.285
               5.658             294.129              23.851             290.656              82.101              -1.679               3.422
               6.022             294.318              24.405             291.582              85.671              -2.253               2.269
               0.394             292.717              22.521             289.595              83.671              -2.767              -1.996
               4.067             291.580              21.756             289.436              88.374              -1.857              -2.767
               2.833             291.405              21.439             288.891              86.715               0.918              -2.507
               0.000             293.448              22.476             288.522              75.059               0.140               0.733
               0.000             293.942              22.871             288.784              73.992              -0.295               3.658
               0.000             291.923              21.103             287.498              76.557              -0.062              -2.326
               0.721             287.123              16.202             281.408              69.194               0.022              -1.698
               0.247             286.140              15.795             281.593              76.333              -2.237              -1.993
               9.659             287.577              17.270             283.921              79.722              -2.850              -0.026
               0.000             290.712              20.128             286.742              78.944              -1.064               0.491
               3.469             292.303              21.749             288.506              79.693              -2.171               1.530
               8.950             294.206              24.158             291.220              84.396              -1.135               4.114
              39.914             296.655              27.109             293.980              86.427              -2.131               2.938
              48.350             290.823              20.809             288.288              86.173               2.815              -3.135
               0.000             287.779              17.639             284.670              82.599               1.417              -1.543
               0.000             289.987              19.512             286.245              79.942              -0.139               3.858
               0.061             292.492              22.168             289.000              82.295               0.039               6.263
               0.003             295.187              25.013             291.587              82.339              -0.576               5.997
               0.000             296.050              25.954             292.444              82.253              -1.980               4.926
               2.286             298.119              28.347             294.532              82.443              -1.791               4.807
              54.021             294.938              25.395             292.767              88.711              -0.172              -1.302
               1.196             287.181              17.211             284.306              84.435               0.264              -3.582
               0.000             289.420              18.283             283.743              70.391              -0.019              -0.972
               0.000             292.198              20.562             285.625              67.195               0.411               2.122
               0.004             293.377              21.880             287.296              69.421               0.074               2.179
               0.160             294.958              23.224             288.354              67.353              -0.843               1.797
               0.025             296.248              24.845             290.194              70.279              -0.794               2.350
               0.000             295.482              24.251             289.848              72.111              -0.390               3.376
               0.000             295.423              25.165             291.670              81.340               0.231               4.506
               0.065             296.816              26.952             293.460              83.430               0.411               4.891
              11.774             296.962              27.193             293.808              84.072               0.320               3.673
              12.151             295.936              25.686             292.190              80.961               0.115               1.205
               2.971             294.971              24.436             290.884              79.018               0.776              -2.339
               0.000             292.669              21.350             287.018              71.095              -0.556              -3.921
               0.156             289.892              18.362             283.109              65.786              -1.469              -1.968
               0.000             291.705              19.963             284.832              65.499              -0.780               1.101
               1.004             294.488              24.152             290.796              81.282               1.719               4.144
               2.166             298.271              28.147             293.952              79.422              -0.031               3.558
              14.218             296.822              26.863             293.369              82.602              -0.611               3.236
              19.333             296.482              26.899             293.882              86.341              -2.445               2.470
               0.090             296.349              26.446             293.101              83.658              -1.397               0.523
               5.432             296.433              26.297             292.813              81.492              -2.381              -1.302
              16.464             296.820              26.926             293.589              83.173              -0.016              -1.797
               0.831             295.588              25.542             292.340              83.187               0.643              -1.428
               0.086             297.188              26.740             292.817              77.985              -0.125               1.721
              16.275             298.148              28.446             294.809              82.969              -0.284               2.637
               2.081             297.320              27.913             294.668              86.642              -0.158               4.234
               0.110             299.763              30.660             296.640              84.866              -0.163               6.486
               0.038             300.792              31.586             297.107              82.247              -0.912               5.810
               0.241             301.078              31.160             296.001              76.919              -0.211               4.579
               0.478             297.772              26.722             292.260              72.446               0.858              -2.187
               0.000             291.990              20.628             286.019              70.226              -1.585              -2.971
               0.046             294.540              22.361             286.701              62.839              -0.159              -0.122
               0.002             296.045              23.682             287.885              61.599              -0.216               1.250
               0.023             296.152              24.328             289.107              66.495               0.157               3.222
               0.019             296.398              25.073             290.238              70.918               0.026               3.990
               0.000             297.014              25.676             290.713              70.513               0.471               3.967
               0.000             296.812              26.027             291.619              75.429               0.055               4.618
               0.000             297.597              27.328             293.184              79.051              -0.250               5.556
               0.000             299.680              29.912             295.493              80.145               0.002               6.070
               0.000             301.163              31.725             296.867              80.009               0.556               6.060
               0.000             302.003              32.360             296.959              77.215               0.448               4.306
               0.119             302.048              31.931             296.278              74.112               0.221               3.674
               0.223             300.376              29.551             294.110              71.611               0.356               4.072
               1.784             299.710              29.235             294.423              74.921               0.320               2.202
               6.646             300.057              29.641             294.934              74.908              -2.338               0.936
               3.292             298.638              28.749             294.789              80.782              -2.628               0.742
               0.015             299.589              29.130             294.497              75.193              -1.060               2.332
               0.000             300.018              29.484             294.542              74.119               0.291               2.710
               0.031             301.276              30.747             295.106              72.523               1.943               2.404
               0.000             303.346              31.948             295.292              64.513               0.823               2.286
               0.000             302.049              31.183             294.956              69.327               1.461               4.546
               0.000             299.680              29.137             293.984              74.466               0.609               5.217
               0.025             300.668              30.305             294.855              74.476               0.540               4.893
               0.019             301.085              30.780             295.288              74.290               0.822               3.862
               0.636             301.237              31.070             295.725              74.998               0.951               3.337
               8.559             301.222              31.008             295.913              74.707               0.477               2.786
               7.072             300.487              30.634             296.049              78.277              -0.761               1.721
               0.202             301.398              31.394             296.307              75.849              -0.891               2.396
               0.417             302.479              32.418             296.640              73.797               0.006               3.011
               4.490             302.415              31.741             295.831              70.062              -0.659               1.059
               0.174             300.999              29.450             293.488              65.968              -1.673              -0.552
               0.000             301.402              29.914             293.813              65.998              -0.720               1.641
               0.852             301.362              30.830             295.181              72.391              -0.570               3.356
               1.777             300.950              31.131             296.129              77.784              -0.480               3.593
               6.976             300.659              30.708             295.746              77.339              -0.265               3.722
               3.818             302.386              31.814             295.894              70.740              -0.424               1.697
               2.182             301.818              31.236             295.733              71.455              -1.616              -0.170
               0.476             300.741              30.304             295.322              73.865              -2.887              -1.466
               0.009             299.048              28.269             293.481              73.413              -2.342              -1.400
               0.000             300.346              29.718             294.768              73.036              -1.961              -0.846
               0.000             299.997              29.255             294.324              72.647              -1.151              -0.301
               0.000             300.836              29.760             294.288              69.354              -2.009               0.691
               0.237             302.424              31.008             294.799              65.421              -2.620               1.534
               1.835             301.732              31.428             295.983              73.372              -3.540               1.144
               1.446             299.233              29.561             295.434              81.556              -4.170              -1.072
               4.873             295.335              26.056             293.559              90.733              -3.143              -1.486
              17.417             295.801              26.841             294.428              93.003              -0.737               2.470
               2.471             300.505              31.145             296.595              81.701               0.406               3.681
               0.061             302.156              32.201             296.393              74.974               0.714               4.310
               0.000             302.570              31.954             295.540              70.222               0.912               5.101
              23.157             301.885              31.808             296.237              74.615               0.751               4.415
              27.475             301.399              31.845             297.008              78.833               0.971               2.247
