 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               9.936             273.435               6.312             271.971              90.117               2.792              -3.824
               0.000             263.095              -1.054             258.501              69.605               4.766              -4.617
               0.101             265.324               0.308             259.864              65.134               3.863              -0.147
               2.834             268.042               2.352             265.644              83.618               0.272               2.010
               5.384             270.073               3.887             268.790              91.016              -2.438              -1.816
               3.781             267.980               2.413             266.597              90.244              -1.433              -3.248
               5.553             268.389               2.731             267.310              92.499              -0.902              -4.635
               0.004             262.518              -1.314             259.609              80.136               2.322              -3.445
               0.062             261.183              -2.126             258.910              83.924               1.666               3.168
               0.000             263.862              -0.348             262.448              89.972              -0.840              -1.453
               0.082             263.236              -0.824             260.908              83.327              -2.763              -3.168
               0.051             268.975               3.097             267.537              90.005              -2.243              -1.491
               1.589             274.098               6.877             273.071              93.276              -0.892               1.776
               0.484             266.979               1.512             263.130              75.043               5.977              -3.684
               0.000             262.784              -1.207             258.847              73.876              -0.161              -0.334
               0.000             271.360               4.778             269.784              89.452               0.277               3.958
               0.000             276.356               8.643             275.650              95.469               1.159               3.799
               0.000             274.358               6.639             270.206              76.821              -2.406              -2.594
               7.866             275.844               8.032             273.964              87.962              -2.669               2.200
               8.231             278.965              10.654             278.045              94.154              -0.871              -0.840
               5.347             272.886               5.835             270.953              86.992               4.677              -5.205
               3.537             272.306               5.295             269.405              81.843               2.485               1.367
              47.549             272.988               6.096             272.215              94.878              -2.118               4.767
               2.689             270.598               4.134             268.241              84.449               5.769              -0.961
               0.000             267.340               1.713             263.114              72.442               3.048              -1.058
               1.458             270.713               4.208             268.359              84.117              -1.808               0.023
               3.908             272.602               5.750             271.486              92.392              -0.002               0.611
               0.251             270.460               3.999             267.844              82.503               5.614              -1.937
               0.051             268.790               2.775             265.545              78.379               2.220              -2.326
               0.581             269.826               3.588             267.504              84.193              -1.834              -1.499
               0.000             269.245               3.154             266.605              82.387               2.957              -3.508
               0.028             265.711               0.648             261.530              72.400               2.476              -2.786
               0.006             267.701               2.089             264.991              81.537              -1.396               1.765
               0.615             273.956               6.673             272.293              89.373               0.691               2.275
               0.000             271.854               4.971             268.849              81.855              -0.066              -3.349
               0.000             265.321               0.226             257.976              58.602              -2.098              -3.977
               4.358             269.229               3.052             265.561              77.171              -2.321               0.739
               4.946             272.291               5.430             270.566              88.358              -0.055              -4.414
               0.379             268.279               2.568             266.407              87.040              -1.010               0.547
               0.036             263.225              -0.890             259.992              77.561               1.470              -5.590
               0.064             266.629               1.324             263.361              78.069              -0.269               2.024
               0.029             269.690               3.489             267.242              83.966              -0.433               2.915
               0.010             274.527               7.012             272.314              86.344               2.196               1.585
               0.000             272.930               5.561             268.772              74.001              -1.660              -1.840
               0.000             277.379               9.111             275.045              85.376              -1.282               2.034
               0.000             286.700              17.053             284.731              88.986               1.493               4.345
               0.000             273.783               6.024             268.599              68.591               0.888              -8.055
               0.092             268.353               2.311             262.979              67.893              -5.115              -5.561
               2.122             269.623               3.391             266.699              81.079              -0.890              -3.479
               0.037             271.962               5.035             268.936              81.244              -0.604               0.145
               1.141             272.681               5.602             270.039              83.450              -1.735               3.163
              15.707             278.501              10.168             276.997              90.901               2.266               5.767
              20.500             279.523              11.084             278.483              93.598              -2.032               2.011
              16.029             287.956              18.327             286.122              90.529               1.872               4.573
              11.505             281.014              12.160             279.387              90.033              -0.830              -4.658
              45.742             274.155               6.863             272.824              91.114              -1.302              -9.827
               0.041             270.110               3.771             267.566              83.386               2.566              -6.906
               0.000             269.998               3.724             267.774              85.037              -0.855              -1.104
               3.732             271.735               5.159             270.949              94.656              -2.264               0.299
               1.055             275.429               7.912             274.598              94.677               1.429               0.819
               0.326             273.715               6.476             271.786              88.564              -2.218              -0.592
              17.881             280.169              11.312             277.696              86.040              -3.086               4.581
               0.619             280.270              11.219             277.280              81.653               3.237               3.073
               0.000             277.358               8.791             273.214              75.988               4.100               1.432
               0.000             278.787               9.657             273.477              70.330               2.426               2.182
               0.222             280.185              11.113             276.905              80.675               2.215               0.786
               0.000             277.358               8.874             273.882              78.552               1.570              -3.399
               0.000             279.429              10.565             276.392              81.794              -1.127               3.235
               1.217             280.277              11.042             276.345              77.053               0.994              -3.035
