 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             280.880              10.288             269.842              47.476               1.589              -1.051
               0.000             278.735               8.052             260.764              26.464               0.040              -2.796
               0.000             281.433              10.140             266.576              34.970              -0.347              -1.457
               0.134             285.308              12.934             271.056              37.712              -0.863              -0.528
               0.081             285.456              13.729             275.017              49.984              -2.766               1.104
               0.314             284.379              14.459             280.769              79.275              -1.817               1.606
               0.000             286.163              15.343             280.319              68.320              -0.850              -0.087
               0.004             285.237              14.410             278.750              65.246               0.233              -0.639
               0.000             285.120              14.418             279.030              67.095               0.065              -0.405
               0.519             284.065              13.843             279.053              72.394              -0.055               0.184
               0.082             283.814              13.136             276.565              62.436               0.314              -0.292
               0.000             285.936              14.459             277.214              56.333              -0.066               0.451
               0.000             285.277              14.110             276.908              59.252               1.870              -1.045
               0.052             284.635              12.581             271.034              39.957              -0.715              -0.955
               0.417             285.089              13.786             276.018              56.040              -0.857               0.051
              14.463             284.157              14.837             282.522              90.195              -1.199               0.747
              28.921             284.809              15.338             282.772              88.828              -2.533               2.243
               4.157             285.233              14.887             280.426              73.899               0.455               0.807
               1.710             284.422              13.774             277.916              65.540               2.232               0.364
               0.131             281.840              11.390             273.523              57.100               1.746              -1.870
               0.000             282.074              11.593             273.722              57.773               0.094              -1.095
               0.000             284.603              13.482             276.112              57.336               0.067               0.635
               0.000             283.347              12.458             274.615              55.948               0.161              -0.109
               4.093             282.395              11.594             272.734              52.574              -0.113              -0.397
              11.982             282.480              13.113             279.614              84.161               0.197               1.291
               0.810             282.495              12.392             276.704              68.289               0.531               1.852
               0.000             279.579               9.565             270.263              52.306               0.964              -0.424
               1.007             279.288               9.244             269.106              49.136              -0.566               0.519
               3.399             280.790              10.598             272.330              56.543               2.756               1.073
               0.041             277.545               7.723             264.586              39.272               0.358              -1.148
               0.629             277.925               8.404             268.563              52.028              -1.507              -1.432
               1.075             281.765              11.857             276.158              68.962              -1.441               0.862
               0.114             282.755              12.131             274.689              58.404               0.347               1.328
               0.000             283.440              12.508             274.698              55.545              -0.247              -1.516
               0.000             282.729              11.984             273.973              55.691               0.838              -2.268
               0.000             282.446              11.435             271.604              48.321               0.938              -2.907
               0.038             282.041              10.833             269.263              41.343               0.706              -1.774
               0.000             283.486              11.987             271.376              44.288              -0.136              -1.074
               0.000             285.615              13.542             273.384              44.587              -0.061              -1.067
               0.025             286.296              14.187             274.596              47.014              -0.209              -1.796
               0.064             287.738              15.015             274.615              42.959               0.152              -1.879
               0.029             288.416              15.389             274.641              40.966              -0.018              -1.525
               0.010             289.019              15.913             275.425              41.977              -0.048              -1.390
               0.000             289.477              16.019             274.699              38.673              -0.276              -1.189
               0.000             290.426              16.520             274.827              35.930               0.069              -0.302
               0.000             288.107              15.924             278.279              52.423               0.759              -0.832
               0.000             287.244              16.028             280.394              64.809               0.621               0.063
               0.092             286.056              13.811             273.637              43.635               1.299              -0.376
               0.070             286.638              13.877             271.778              37.665               0.130              -1.911
               0.037             288.305              14.843             272.189              34.126               0.027               0.173
               0.000             287.275              14.866             275.371              46.051               0.155               0.794
               0.263             288.205              15.493             275.994              44.862              -0.712               0.824
               0.000             285.562              14.018             275.891              53.684               1.495               1.987
               0.045             284.643              12.837             272.690              44.646               0.537               1.774
               0.057             285.092              13.188             273.069              45.104               0.685              -0.350
               0.058             286.920              13.864             270.675              34.185              -0.536              -2.421
               0.041             290.133              15.789             271.636              29.175              -0.615              -0.802
               0.000             287.295              14.115             270.928              33.974               1.881               0.619
               0.000             287.985              14.619             271.950              34.203               0.046              -0.066
               3.647             287.828              14.750             273.042              37.895              -0.715               0.771
               4.754             285.262              14.308             277.879              63.041              -0.766               1.686
               0.169             284.810              12.995             272.850              45.345               1.181               0.867
               0.079             286.973              13.885             270.957              33.934               1.178              -0.978
               0.000             288.124              14.689             271.274              33.761               0.698              -2.871
               0.000             289.319              15.092             269.706              27.471               0.822              -2.659
               0.222             291.865              17.222             273.745              31.472               0.425              -2.121
               0.000             293.514              18.191             274.320              28.771               0.488              -0.096
               0.000             294.671              19.099             275.567              29.286               0.559               0.296
               0.019             294.113              18.757             275.437              30.045              -0.025               0.465
               0.091             292.767              17.496             272.628              27.102              -0.619              -1.801
               0.000             293.350              17.539             270.957              23.059               0.079              -0.948
               0.000             293.970              18.181             272.674              25.191               0.137               1.185
               0.029             291.136              17.793             278.555              45.095               0.607               1.282
               0.007             291.255              17.299             276.113              37.885              -0.097              -0.340
               0.000             290.656              16.520             273.929              33.748               0.576               2.089
               0.000             286.940              14.284             273.550              40.751               2.168               0.936
               0.019             286.351              14.210             274.883              46.689               0.896               0.692
               1.362             285.626              14.132             276.023              54.825               0.586               0.434
              21.285             283.611              14.029             280.704              83.539              -2.411               2.036
               8.221             284.381              14.358             280.118              77.303              -0.736               2.265
               0.000             286.718              14.951             277.342              54.320               0.248               1.116
               0.000             288.561              15.790             276.406              45.222               0.996              -0.816
               0.005             289.756              16.444             276.142              41.578               0.887              -1.453
               0.050             291.156              16.847             274.288              33.235               0.744              -0.465
               0.000             292.314              17.414             273.824              29.886              -0.153               0.558
               1.706             290.840              16.977             275.297              37.798              -1.175               1.210
              10.038             287.908              16.930             282.040              70.058              -2.954               1.287
               8.268             287.750              15.915             278.862              56.600              -0.948               2.348
               0.000             287.706              15.041             275.193              43.729               0.786               0.108
               0.037             288.748              15.628             275.143              40.834               1.872              -0.157
               0.000             290.169              16.091             273.213              32.797               1.388              -0.642
               0.000             290.985              15.975             269.654              23.946               1.193              -0.136
               0.000             290.455              15.761             270.230              25.884               1.489              -1.567
               0.000             290.507              15.824             270.470              26.217               1.308              -1.475
               0.000             292.908              17.478             272.204              25.786               0.344              -1.180
               0.000             295.740              19.220             272.976              22.935               0.155               0.412
               0.033             295.296              19.024             273.308              24.101              -0.087               1.834
               0.000             294.291              18.626             274.343              27.364               0.116               0.900
               0.000             292.874              18.423             277.046              36.514               0.713               1.448
               0.000             291.156              16.981             274.521              34.891               3.062               2.796
               0.000             287.998              13.931             266.577              23.686               2.998              -1.009
               0.127             291.710              16.633             271.244              25.822               1.018               0.176
               0.000             292.883              17.472             271.976              25.916               0.836              -2.329
               0.017             296.096              19.175             271.645              20.203               0.324              -0.841
               0.000             298.518              20.842             273.390              19.784               0.233               0.734
               0.095             298.128              20.792             274.108              21.620               0.450               1.459
               0.000             296.788              20.458             275.907              27.140               1.448               2.740
               0.000             294.049              18.461             274.088              27.494               1.407               2.861
               0.085             292.356              17.021             271.416              25.054               1.933               0.491
               0.000             294.654              17.878             268.416              17.304               1.166              -0.937
               0.000             297.272              19.370             268.484              14.835               0.979              -0.723
               0.114             298.924              20.413             269.374              14.257               0.866               0.044
               0.025             297.639              20.170             272.110              19.411               1.088               1.180
               0.000             296.659              19.348             270.239              18.254               1.148               1.091
               0.000             297.950              19.919             269.568              15.578               1.354               0.777
               0.000             298.884              21.067             273.319              19.495               1.008               0.742
               0.000             298.013              20.809             274.378              22.436               1.542               1.214
               0.000             297.999              20.592             273.492              20.763               1.201               0.612
               0.000             298.726              20.607             271.053              16.801               0.979               0.535
               0.000             298.509              20.421             270.576              16.522               0.663               1.367
               0.013             297.560              20.196             272.446              20.091               1.602               2.406
               0.000             294.448              18.463             272.821              24.576               2.790               2.532
               0.000             293.468              18.184             274.246              29.060               1.492               0.715
               0.000             297.752              21.137             276.772              26.697               0.799               0.015
               0.000             300.716              22.068             273.173              17.240               0.562               0.129
               0.000             299.362              21.130             271.855              17.395               1.434               2.262
               0.061             296.414              19.028             269.195              16.904               2.128               2.896
               0.003             295.585              19.325             273.904              24.964               3.439               3.825
               0.000             290.605              16.037             271.479              28.073               3.315               1.906
               0.000             292.267              16.700             269.604              22.075               1.028               0.264
               0.000             293.875              17.687             269.754              20.766               1.138              -2.018
               0.116             296.720              19.301             269.707              17.466               0.086              -3.154
               0.000             299.068              20.309             267.536              12.719              -1.222              -2.319
               0.000             303.542              23.149             269.945              11.585              -0.135              -0.279
               0.004             302.768              23.277             273.252              15.585               1.099               1.682
               0.160             300.755              22.225             273.872              18.127               0.709               2.110
               0.025             299.013              21.629             275.651              23.068               0.929               1.576
               0.000             299.240              21.570             274.863              21.353               1.686               1.493
               3.758             299.189              22.282             278.214              27.011               2.408               1.701
               6.113             298.058              22.817             282.314              38.376               2.334               1.789
               0.000             296.047              21.784             282.769              44.283               1.765               0.044
               0.001             300.397              24.489             283.390              35.860               1.239               0.353
               0.000             303.729              26.006             282.105              27.409               1.500               0.282
