 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               5.951             277.701               9.784             277.408              98.226               1.431               6.237
              13.130             282.930              14.068             282.324              96.370               2.854               7.661
              11.333             275.988               7.817             271.920              77.009               5.364               0.806
               0.134             266.214               0.606             256.138              44.805               5.098               1.277
               0.189             267.417               1.317             256.584              42.352               5.781               1.309
               1.848             267.590               1.984             264.412              79.494              -0.282              -0.199
               3.393             271.772               5.168             270.840              93.749               0.190               0.608
              26.464             276.667               8.869             275.894              94.972               0.919               1.957
               0.000             271.261               4.515             268.218              80.158               4.695              -1.498
               0.000             268.049               1.895             260.063              54.128               4.283               0.386
               0.190             266.228               0.597             255.807              43.460               4.598              -2.959
               0.483             262.952              -1.375             253.609              46.591               1.235              -3.099
               8.717             270.098               3.880             268.592              89.682              -3.186              -1.214
              19.168             275.822               8.193             274.919              94.059              -1.190               1.172
               0.093             269.339               2.864             262.578              62.110               8.223              -1.518
               0.747             267.595               1.696             260.703              60.156               4.627               1.250
               3.109             267.684               2.008             264.033              76.961               0.685              -0.881
               0.604             269.249               3.231             267.266              86.680               2.653              -3.429
               0.090             259.891              -2.978             256.918              78.673               3.704              -8.122
               2.291             262.520              -1.265             260.442              85.170               1.255              -1.677
              64.855             272.402               5.691             271.852              96.312              -4.846               0.490
               0.189             274.494               7.090             272.993              90.234               4.741               2.639
               0.000             270.699               4.171             268.120              82.737               4.719              -1.772
               3.877             272.005               5.075             269.234              81.660              -2.283              -0.320
              51.942             275.488               7.896             274.362              92.528              -9.428              -3.834
               2.506             274.643               7.315             273.811              94.516              -1.179              -3.889
               0.020             275.086               7.520             273.507              89.869               3.249              -4.979
               0.359             275.202               7.564             273.382              88.362               2.532              -1.233
               0.267             275.485               7.711             273.277              86.121               4.247              -3.910
               0.257             274.459               6.632             270.249              73.842               7.248              -7.126
               1.709             271.659               4.830             268.894              81.723               5.164              -4.520
               0.028             268.851               2.892             266.354              82.884               4.629              -5.125
               0.006             265.021               0.259             261.673              77.037               6.552              -6.477
               0.000             266.026               0.922             262.735              77.693               5.521              -5.387
               0.000             265.409               0.478             261.504              74.401               3.871              -2.847
               0.000             267.454               1.701             262.023              66.626               7.034              -1.407
               0.038             261.448              -2.133             255.864              64.054               9.878              -5.537
               1.922             262.096              -1.667             257.744              71.045               3.473              -2.303
               4.375             267.787               2.195             265.555              84.634               1.850              -2.483
               0.133             264.108              -0.381             260.016              72.491               5.457              -3.593
               0.064             257.589              -4.429             253.827              73.576               5.216              -4.979
               0.029             255.182              -5.895             251.212              71.685               6.015              -5.474
               0.010             254.933              -6.016             251.795              77.469               3.614              -2.534
               0.000             258.633              -3.774             255.195              76.134               2.717              -5.126
               0.000             255.066              -5.955             251.422              73.680               5.929              -5.268
               0.000             257.247              -4.640             253.425              73.142               4.365              -4.179
               0.375             260.009              -2.942             256.240              73.809               2.316              -4.490
               0.092             256.205              -5.278             252.265              71.947               5.158              -7.086
               0.070             255.217              -5.855             251.820              75.556               3.481              -4.727
               0.145             263.704              -0.615             259.996              74.673              -0.728              -1.634
               0.709             266.759               1.388             263.249              76.497               2.151              -0.984
               1.451             270.064               3.775             267.875              85.308               2.692               3.968
               0.196             275.477               7.687             273.099              85.497               5.322               0.746
               0.045             273.300               6.079             270.921              84.576              -1.878              -1.189
              23.709             275.154               7.761             274.652              96.752              -1.747               1.418
               6.430             275.569               7.988             274.589              93.630              -1.727              -5.744
              38.770             272.985               6.083             272.163              94.378              -6.005              -7.474
              23.708             273.209               6.210             272.129              92.709              -0.490              -3.050
               0.000             273.828               6.397             270.927              82.133               3.428              -2.268
               0.158             274.163               6.459             270.208              75.208               0.236              -1.703
               2.799             274.402               7.098             273.366              93.096              -2.392              -0.988
               0.169             275.560               7.805             273.535              87.462              -2.610              -1.094
               0.079             276.544               8.503             274.152              86.160              -0.732               3.589
               0.992             282.788              13.589             280.788              88.824               0.748               5.692
              15.916             283.506              14.511             282.683              95.088              -0.107               5.511
               8.538             282.123              13.243             281.046              93.597               0.235               1.958
               2.392             279.530              10.723             276.724              83.888               1.358              -4.444
               0.169             277.507               8.742             272.469              71.115               1.850              -4.140
               3.442             276.910               8.546             273.467              78.717               0.042               4.305
               6.571             279.166              10.686             277.595              90.641               2.088               0.177
               0.222             271.123               3.674             260.079              43.528               8.368              -3.692
               0.000             270.939               3.494             259.088              40.433               4.693               0.266
               2.081             279.323              10.809             277.775              90.564               3.162               9.107
               0.547             274.208               6.003             265.446              56.416               6.521              -3.434
               0.000             266.797               0.826             253.703              34.724               5.348              -3.379
               0.000             272.166               4.498             263.061              50.407               0.790              -1.733
               0.019             271.258               4.022             263.602              56.244               0.888              -7.104
               0.000             273.970               6.294             269.823              74.091               0.895              -6.150
               0.333             276.204               7.824             271.318              71.961               1.249              -6.988
               0.229             279.069              10.158             275.349              78.303              -0.596              -7.423
               0.000             281.726              11.666             275.097              65.312               1.507              -2.043
               0.000             283.764              12.950             275.691              59.503               0.782               2.804
               0.739             282.349              12.749             278.552              78.571              -0.831               5.762
               7.826             284.234              14.969             282.743              91.438              -3.160               5.940
               0.322             282.712              12.984             278.456              77.292               3.826               1.317
               0.000             274.731               6.184             265.263              50.071               7.689              -0.452
               0.000             273.853               5.462             262.842              44.464               3.784              -2.913
               1.443             275.859               7.717             272.044              76.788               1.295               5.494
               2.100             279.643              11.178             278.620              93.518              -0.242              -0.824
               1.225             282.545              13.178             279.726              84.412              -0.675               1.146
               0.173             284.458              14.668             281.368              81.977              -1.568              -2.505
               8.030             277.539               9.322             275.687              88.063              -4.844               0.028
               7.723             279.501              10.987             278.126              91.486              -0.268               0.784
               0.000             279.312              10.317             275.285              77.569              -1.318              -2.452
               6.211             279.119              10.299             275.827              81.091              -0.996              -1.028
               0.100             278.959               9.532             272.226              63.349               5.505               2.817
               0.249             274.850               6.476             267.259              57.898               9.284              -2.025
               0.000             274.416               6.009             265.323              51.333               6.747              -3.394
              14.567             274.773               7.009             271.402              79.577              -1.679              -1.696
               0.721             276.344               8.227             273.342              81.977               2.641              -3.786
               0.000             277.256               8.259             270.040              61.811               5.332              -3.567
               0.127             278.671               9.020             269.847              54.830               3.504              -4.568
               0.432             278.493               9.423             273.280              69.861              -4.123              -3.824
               6.497             277.511               9.293             275.588              87.843              -3.837               0.414
               0.156             278.291               9.859             276.137              86.745              -1.190              -1.496
               2.331             277.917               9.615             276.056              88.096              -1.541              -0.893
               0.000             279.514              10.619             276.056              81.468               2.507              -0.784
               0.000             279.775              10.012             272.246              60.338               1.636              -4.272
               0.085             278.957               9.382             271.307              59.257               0.982              -3.458
               0.000             279.459               9.980             272.838              65.585               0.706              -3.132
               0.000             282.194              11.365             272.127              50.757              -0.268              -0.457
               0.114             281.315              11.570             275.791              70.367               1.228               4.528
               0.025             286.178              15.201             279.276              65.684               2.688              -0.184
               0.000             286.455              14.749             276.821              54.363               2.119              -1.520
               0.288             287.356              15.904             279.862              61.399              -0.702               1.258
               1.716             287.657              17.693             285.080              85.136              -0.438               3.959
              19.156             288.201              18.890             287.384              95.413              -3.031               6.879
               2.958             289.546              19.444             286.518              84.693              -0.921               4.107
               1.019             288.905              18.858             286.132              85.058               0.137              -0.256
               0.756             287.673              17.275             283.603              78.468               0.093              -1.608
               0.100             288.396              16.811             280.566              62.060               1.842               1.101
               0.105             282.643              12.315             275.832              64.154               4.207              -3.079
               0.494             284.022              12.960             275.177              55.810               1.455               0.243
               3.962             287.104              16.933             283.503              81.119               2.406               2.062
               0.045             286.513              15.466             279.798              65.521               3.372              -3.951
               0.000             280.971              10.879             273.352              60.138               2.824              -1.464
               0.061             284.929              13.701             276.194              56.740               2.149              -1.479
               0.003             288.593              16.462             279.358              54.613              -0.064               1.702
               0.007             293.542              22.811             288.954              77.612               3.790               3.738
               0.000             297.627              26.103             290.872              68.630               3.245              -0.150
               0.129             292.148              20.337             284.662              65.125              -3.290              -1.374
               0.440             287.064              16.351             282.045              72.380              -1.904               2.638
              14.693             288.756              18.977             286.795              88.813              -0.158               3.690
               2.366             291.581              22.096             290.196              92.445               1.305               2.053
               5.221             288.213              18.390             286.075              87.812               1.236              -0.987
               0.322             290.419              19.980             286.520              80.658               1.669               1.585
               1.105             288.927              17.953             283.640              71.919              -1.286              -4.853
               0.537             285.381              15.775             283.299              87.564              -2.348              -3.010
               1.490             286.587              17.173             285.319              92.683              -2.783              -2.147
               0.497             286.433              17.014             285.144              92.430              -2.064              -2.308
               0.110             289.563              19.788             287.532              89.158              -1.481              -0.800
               0.001             291.287              20.147             285.514              72.383               2.292              -0.325
              14.095             288.065              17.845             284.781              81.737              -1.186               2.036
              13.324             289.481              20.235             288.814              96.384              -1.759               0.160
              10.416             291.220              21.775             289.951              93.138              -1.028               3.972
               3.193             290.838              20.951             288.467              87.773              -2.410               2.527
               0.356             287.902              17.248             283.179              74.946               1.739               5.414
               1.324             289.138              18.987             286.196              83.766              -0.306               6.029
               2.014             290.111              19.809             286.662              82.289               0.564               3.993
               6.157             289.521              19.527             286.983              86.161              -1.315               0.509
               0.987             290.279              19.242             284.957              72.806               3.438               1.427
               0.140             291.175              20.104             286.086              73.149               0.368              -0.859
               0.000             289.781              19.156             285.716              77.782              -1.091               0.901
               0.183             290.463              20.457             287.938              86.250               1.553               3.852
               2.570             291.626              21.522             288.890              85.017               1.692               3.056
