 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               1.879             261.232              -2.098             258.948              83.578               1.714              -6.343
               0.000             255.540              -5.639             252.800              79.722               3.667              -0.275
               0.000             261.738              -1.799             259.116              81.267               0.197               1.484
               0.242             264.214              -0.110             262.904              90.626              -3.032              -0.369
               0.081             264.120              -0.214             262.273              86.828              -1.712              -4.802
               8.652             262.785              -1.094             260.740              85.228              -0.447              -1.156
               0.000             265.663               0.809             263.846              87.437               0.399              -3.123
               0.004             259.159              -3.428             256.279              79.253               2.908              -0.410
               0.000             263.199              -0.796             261.588              88.345               1.161               2.081
               0.519             264.291              -0.056             263.034              90.855              -2.258              -1.900
               0.082             267.400               2.027             266.133              91.006              -2.245               0.714
               0.051             271.639               5.031             270.385              91.927              -2.462               3.332
               0.833             267.598               2.062             265.339              84.330               1.286              -6.616
               0.000             258.221              -4.011             255.246              78.613               2.412              -4.511
               0.000             263.612              -0.591             261.083              82.376              -0.656               6.154
               0.000             269.728               3.531             267.438              84.827              -0.922               3.502
               0.000             274.137               6.675             271.679              84.336              -0.118               0.042
               7.106             270.663               4.372             269.827              94.329              -3.056              -0.057
               0.198             277.633               9.371             275.529              87.353               1.371               2.343
               0.131             274.356               6.726             271.115              80.201               1.309              -4.696
               0.000             273.504               5.754             267.548              65.453               4.391              -6.254
               0.000             275.345               6.864             268.021              59.687              -0.039               5.343
               0.245             272.824               5.357             267.580              68.534               2.368              -5.333
               0.000             264.934               0.235             261.929              79.746               2.946              -1.498
               2.586             270.035               3.785             268.114              86.950              -2.245               4.874
               1.458             271.862               5.158             270.387              90.258               1.170              -0.162
               0.020             268.251               2.450             265.412              80.845               3.819              -4.970
               0.251             263.765              -0.510             261.011              80.769               2.322              -2.675
               0.602             262.008              -1.599             259.840              84.379              -1.613              -2.139
               0.257             265.318               0.573             263.446              86.818               0.249              -2.850
               0.000             260.495              -2.586             257.776              80.645               2.734              -2.208
               0.028             262.804              -1.124             260.048              80.915              -1.698               3.669
               0.006             268.732               2.860             266.671              85.904               0.108               2.065
               0.000             262.784              -1.027             261.662              92.107               1.223              -2.738
               0.000             264.979               0.307             262.612              83.292              -0.641              -2.051
               0.000             260.852              -2.317             258.943              86.047              -0.194              -2.639
               1.226             267.455               2.083             266.315              92.179              -0.439               1.206
               0.000             267.791               2.238             265.926              87.288               0.679              -2.903
               0.055             267.654               2.169             266.039              88.876               1.061              -1.007
               0.025             261.616              -1.848             259.419              84.428               0.545              -0.581
               0.064             266.449               1.341             264.651              88.022              -0.381               3.512
               0.029             272.440               5.444             269.848              84.161               0.341               3.531
               0.010             273.136               5.891             270.139              81.641               0.161              -2.461
               0.000             271.844               5.013             269.324              84.102              -1.802               1.129
               0.000             275.262               7.550             272.962              86.282              -1.335               3.148
               0.000             276.333               8.070             272.414              77.025               0.250              -2.819
               0.000             261.759              -2.043             253.807              52.645               0.095              -8.817
               0.740             261.806              -1.776             258.832              79.033              -2.084              -3.588
               0.070             265.631               0.766             263.591              85.774               1.086              -0.343
               0.037             269.790               3.589             267.566              85.642              -0.489               4.705
               0.000             275.798               7.845             273.025              82.700              -0.794               6.958
               0.047             277.462               8.930             273.852              77.862               0.613               0.595
               0.000             282.773              13.479             280.381              86.755              -1.172               4.824
               0.045             280.136              10.249             272.604              59.701               1.633              -1.458
               0.057             272.740               5.401             268.235              72.916              -1.487              -5.452
               0.058             271.717               4.664             266.876              71.997               1.754              -6.150
               0.041             274.204               6.298             268.566              67.893              -0.858               0.584
               0.000             278.569               9.385             272.677              67.209              -2.949               5.074
               4.909             280.125              11.093             276.938              81.367              -0.169              -0.528
               0.000             278.140               9.464             274.425              78.637              -0.934               1.643
               9.797             282.363              12.835             278.820              80.205              -3.191               6.336
               9.025             280.935              11.907             278.486              85.509               1.117              -1.482
               0.079             274.419               6.352             268.089              64.301               5.630              -5.416
               0.000             276.976               7.839             268.423              54.792               2.581              -0.513
               0.000             280.904              10.679             272.583              56.494               2.689              -0.323
               0.222             283.537              13.049             276.975              65.003               2.368              -3.384
               0.000             279.897              10.333             273.789              66.341              -1.553               0.907
               0.000             279.905              10.708             275.623              75.857              -1.797              -4.280
               0.019             278.457               9.208             271.847              64.490               1.060              -3.255
               0.091             280.400              10.334             271.718              56.992               1.406               1.037
               0.000             285.443              13.553             274.210              47.028               0.908               3.612
               0.000             286.017              14.704             277.798              59.433               0.810               1.874
               0.029             280.776              10.601             272.172              56.861               1.132              -3.361
               0.007             279.927              10.015             271.832              57.565              -3.117              -0.609
               0.000             280.812              11.545             277.241              79.123              -1.774               4.687
               1.197             282.940              13.555             280.447              85.407              -1.455               6.102
              58.835             289.640              19.473             286.632              83.853              -3.166               7.805
               0.000             285.697              14.747             278.834              64.638               0.580               1.431
               0.117             283.790              13.684             278.997              73.680              -1.889              -2.937
               2.929             284.694              14.858             281.480              81.764              -3.485               1.043
              20.930             288.460              18.148             284.603              80.828              -1.661               5.066
               0.837             281.998              11.923             275.876              66.402               5.873              -7.094
               0.005             278.021               8.827             271.085              62.532               4.325              -6.318
               0.050             278.945               9.392             271.512              59.766               0.954              -0.704
               0.000             281.822              12.069             276.933              72.776              -3.660              -0.410
               0.000             279.996              10.693             275.386              73.680              -2.349              -2.573
               0.000             288.806              18.270             284.658              78.003               1.240               7.015
               0.000             293.719              22.973             289.120              77.420               1.279               8.736
               0.000             290.018              18.308             282.339              63.596               1.969               2.989
               0.037             282.490              12.667             277.726              74.326              -2.000              -2.374
               9.353             285.060              15.011             281.253              78.813              -2.186              -1.645
               0.000             279.719              10.529             275.260              74.922               0.712              -3.546
              12.367             276.814               8.527             273.588              80.384              -3.845              -2.744
               0.000             277.195               8.867             274.105              82.116               1.534              -1.941
               0.000             282.096              12.081             276.214              68.263               1.936               3.006
               0.000             283.467              13.031             276.999              65.747              -4.222              -0.555
               0.033             287.772              16.656             281.595              67.656              -0.652               5.620
               0.000             290.557              19.806             285.942              76.724               1.475              -0.146
               0.095             283.101              12.457             275.443              59.756              -0.763              -1.975
              21.781             284.625              14.705             280.977              79.977              -4.399               3.367
               2.471             287.850              17.431             283.083              78.436              -3.488               5.303
               0.127             284.983              13.812             276.662              58.018               3.323               3.008
               0.000             284.743              13.637             276.413              58.220               1.291              -0.727
               0.017             286.440              15.238             279.049              62.718               0.822               3.038
               0.000             290.627              18.839             283.320              63.558              -2.776               2.227
               0.095             292.691              21.283             286.757              70.112              -0.694               5.516
               0.256             293.241              22.027             287.736              72.437              -1.448               5.549
               5.036             290.104              19.802             286.728              82.299              -3.417               4.943
               1.284             292.441              22.243             289.221              83.734              -2.913               6.091
               2.091             293.209              22.924             289.798              82.507              -1.118               3.107
               0.000             289.272              18.593             284.751              76.531              -1.730              -3.889
               0.114             288.338              17.432             283.058              71.937              -2.508              -1.671
               0.025             290.374              19.643             285.883              76.856              -2.636              -0.619
               0.000             290.862              19.983             285.935              75.324              -2.008               2.419
               0.000             293.520              22.121             287.584              70.516              -0.253               3.097
               0.000             286.384              15.620             280.418              69.878               0.269              -4.256
               0.289             285.138              14.402             278.797              66.538              -0.700               0.189
               1.543             283.140              12.423             275.216              58.458               0.597               2.402
               0.000             283.882              13.765             278.694              73.793               1.294               0.498
               0.000             287.986              16.051             278.777              55.780              -0.833               3.197
               0.013             289.631              18.332             283.381              68.490              -1.972               4.971
              14.242             291.229              20.960             288.011              83.029              -1.156               3.846
              29.870             286.741              17.085             284.752              88.896              -1.525              -5.075
               5.258             282.682              13.357             280.164              85.790               0.225              -5.889
               0.000             285.208              14.250             278.091              62.771               0.142               2.267
               0.000             290.573              19.176             284.187              68.489              -0.280               7.754
               0.061             294.367              22.987             288.388              70.826               0.470               8.818
               0.003             296.499              25.516             291.074              73.902              -0.399               8.649
               0.000             296.863              26.088             291.830              75.480              -2.474               8.812
              14.274             294.330              24.021             290.762              81.661              -1.226               1.901
               1.317             285.648              14.824             279.348              66.672               1.041              -5.198
               0.116             287.118              15.675             279.210              60.849               0.605              -0.037
               0.000             290.975              18.377             280.817              53.969               2.165               2.027
               0.000             292.534              20.039             283.146              57.741               0.099               3.579
               0.004             292.987              21.507             286.308              69.452              -3.133               0.921
               0.160             294.302              21.774             284.920              59.189              -0.377               5.537
               0.478             293.342              21.799             286.738              68.919               0.577               6.238
              10.149             295.138              23.475             288.609              68.040              -0.525               6.940
               0.000             296.001              25.131             290.921              75.230              -2.516               3.438
               9.461             297.222              26.772             292.727              77.938              -3.278               0.230
               7.130             291.462              21.437             288.859              85.994              -4.501              -3.904
               0.314             291.436              21.132             287.994              82.617              -2.828              -2.564
               0.000             293.869              22.001             286.448              65.698              -1.227              -3.478
               0.000             289.075              17.357             280.926              61.697              -0.339              -3.372
               0.156             288.704              16.666             279.636              56.255              -1.982               0.722
               0.385             292.502              20.060             283.703              58.296               1.674               3.140
               1.123             296.918              24.929             289.013              64.938               0.074               2.210
               0.000             298.748              27.056             291.303              66.648              -1.617               4.289
               0.070             297.423              26.181             290.944              71.086              -3.219               4.170
               0.001             296.068              25.037             290.509              73.732              -1.575               0.859
               1.386             292.872              21.424             286.926              69.744               0.189              -3.804
               1.868             290.104              19.179             285.241              74.086              -0.662              -2.903
               1.992             289.867              19.075             285.287              75.626              -1.068              -2.095
               0.399             293.244              21.607             286.487              67.859              -0.338               1.888
               0.086             296.852              24.974             289.281              65.907               0.540               4.158
               1.695             298.632              26.926             291.338              66.609               0.009               4.130
               1.109             296.655              25.531             290.718              72.564              -0.677               4.998
               0.758             300.021              28.613             292.735              67.827              -1.379               5.848
               6.302             301.738              30.920             295.127              70.029              -1.962               3.828
              21.733             294.078              23.629             290.071              80.379               0.207              -1.528
               0.154             291.834              20.384             285.089              69.079               2.759              -3.861
               0.000             295.209              21.437             282.947              47.828               0.653               0.841
               0.046             296.478              23.155             285.518              53.152               0.937               4.002
               0.002             298.131              25.049             287.630              55.818               0.739               5.564
               0.023             300.144              26.825             288.903              54.081               0.183               6.489
               0.019             299.914              26.541             288.727              53.707              -0.433               8.910
               0.000             299.943              26.534             288.665              53.443              -0.100               8.827
               0.000             299.491              26.363             289.268              55.515              -0.950               8.203
               0.317             300.386              28.225             291.868              62.200              -1.270               8.268
               0.000             301.203              29.399             293.044              64.067              -0.468               9.695
               0.000             300.335              27.188             288.578              55.274               0.989               2.531
               2.449             303.058              30.307             292.424              56.684              -2.294               2.864
               5.519             302.853              31.609             295.316              66.002              -1.656               7.423
               3.895             301.165              29.422             293.239              64.509              -2.194               4.841
              10.964             299.304              27.779             292.225              67.554              -3.446              -1.219
               0.058             297.510              26.135             291.033              69.923              -3.158               0.853
               0.000             298.520              27.093             291.361              68.860              -1.365               3.685
               0.015             300.042              28.253             291.759              65.076              -0.116               5.183
               1.068             301.135              29.502             293.035              65.283              -0.261               4.744
               0.031             303.323              30.106             291.534              53.749              -1.224              -1.046
               0.142             302.213              28.966             290.976              54.060              -3.765               2.411
               0.000             302.385              30.445             292.662              62.179              -1.821               5.766
               0.335             303.289              29.091             290.146              47.927               0.395               6.839
               0.025             303.332              30.053             291.806              53.374               0.465               7.329
               0.019             303.546              30.200             291.538              52.876               0.081               5.361
              13.488             303.362              30.938             293.585              58.420              -1.803               3.512
               8.019             298.832              27.878             292.856              72.293              -3.262              -1.261
               0.052             298.558              27.635             292.541              72.793              -3.007              -0.102
               1.282             301.874              30.269             293.476              64.779              -0.879               3.602
               0.000             303.636              31.027             292.966              57.125              -0.087               3.443
               0.062             303.790              30.013             291.417              50.257              -0.870               2.478
               0.174             303.101              29.757             291.415              53.093              -1.063               4.340
               0.000             302.847              30.137             292.147              57.068              -0.411               4.264
               0.312             303.753              30.255             291.508              51.891               0.128               5.302
               0.000             303.200              30.650             292.585              57.791              -0.609               4.609
               0.172             303.846              31.345             293.371              57.589              -1.086               5.127
               0.470             303.597              31.609             294.245              60.779              -1.757               2.056
              29.506             301.943              30.589             294.517              66.322              -3.206               0.134
               0.476             298.522              27.544             292.887              72.388              -3.392              -1.364
               0.009             298.431              26.386             290.445              64.046              -2.476               0.118
               0.000             298.846              26.144             289.542              58.810              -1.231               2.461
               0.000             300.215              27.707             291.058              59.835              -0.784               3.864
               0.173             300.742              28.617             292.275              62.229              -1.040               4.658
              18.921             301.174              29.292             293.081              63.570              -1.822               5.252
               0.323             302.131              30.676             294.340              65.481              -0.993               4.683
              12.462             303.077              31.582             295.033              64.235              -0.689               1.597
               0.000             302.476              31.130             295.006              65.804              -2.587              -0.158
               0.029             300.153              29.277             293.816              71.503              -2.871               0.829
               0.000             302.927              30.979             293.892              61.646              -0.724               3.058
               0.061             304.476              31.904             293.829              56.677              -0.085               6.351
              14.020             304.617              31.427             293.118              53.159               0.951               6.490
              44.649             302.916              30.436             293.200              58.420              -0.418               1.848
               0.475             299.524              27.460             291.424              63.395              -0.964              -1.413
               0.000             300.221              27.689             290.854              59.668               0.113               3.666
               0.000             301.591              29.636             292.812              62.755              -0.463               4.166
               0.000             302.429              29.913             292.295              58.543              -0.087               4.353
               0.000             303.518              29.851             291.268              51.005               0.982               4.296
               0.146             303.365              29.765             291.086              51.458               0.509               5.050
               0.000             303.208              29.709             290.946              52.122               0.007               5.511
               0.000             302.939              29.620             291.288              53.314              -0.461               5.281
               0.012             302.317              29.186             291.140              54.751              -0.479               5.923
               0.469             302.078              29.273             291.981              56.927               0.726               3.679
               0.497             298.373              25.285             287.894              55.801              -0.612              -5.580
               0.079             295.877              22.317             284.175              50.538              -1.962               1.071
               0.000             297.882              24.797             287.623              55.746              -0.714               5.206
               1.884             303.377              30.879             293.552              57.969              -0.281               5.060
               1.156             297.805              25.994             290.390              66.184              -3.522              -3.432
               0.014             298.585              27.041             291.101              67.900              -2.733               1.470
               0.083             302.909              29.569             291.449              53.204               0.052               5.835
               0.000             303.289              29.514             291.050              50.444               0.980               6.062
               0.383             303.335              29.497             290.424              50.057               1.208               5.974
               0.844             303.062              28.986             289.348              48.701               1.052               5.592
               1.342             302.855              28.863             289.956              49.251               1.188               4.197
               1.530             302.665              29.927             291.784              57.012              -0.431               2.752
               4.368             301.911              27.431             288.499              46.234               0.898              -1.848
               3.604             300.253              26.412             288.458              50.377              -1.072               1.616
              15.979             299.761              27.380             290.953              60.948              -1.847               3.218
               0.595             299.664              27.623             291.492              63.487              -0.112               3.216
               0.000             300.721              28.065             291.343              58.583               0.776               2.750
               0.000             301.775              29.232             291.869              58.785              -0.137               4.562
               0.091             303.242              30.168             292.163              54.642               0.731               6.015
               0.061             302.509              29.942             292.351              58.172              -0.157               4.418
               9.453             301.683              29.935             293.619              64.028              -1.040               5.608
