 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               3.024             259.162              -3.397             256.894              83.437               2.410              -7.508
               0.000             251.165              -8.255             248.638              80.902               4.514              -1.482
               0.000             252.035              -7.729             249.843              83.252               4.150               1.177
               0.134             254.503              -6.250             252.234              82.946               4.594              -0.549
               0.189             254.706              -6.129             252.376              82.609               2.547              -0.967
               0.022             251.887              -7.822             249.521              81.916               2.954               2.486
               0.000             256.944              -4.753             254.977              85.398               2.041              -1.360
               0.004             253.893              -6.616             251.663              83.308               3.873              -0.233
               0.062             257.238              -4.575             255.211              84.994               3.940               0.054
               3.543             255.088              -5.928             251.830              76.363               2.492              -2.897
               0.968             253.751              -6.740             250.163              74.210              -0.966               0.311
               0.267             261.241              -2.058             259.541              87.599              -2.981               2.431
              14.333             264.246              -0.105             262.753              89.213              -1.636              -6.021
               0.000             253.244              -7.013             250.812              81.582               5.332              -6.468
               0.000             246.519             -10.985             244.315              82.876               1.160               1.828
               0.000             259.587              -3.096             258.004              88.226              -1.745               0.472
               0.237             261.199              -2.037             260.261              93.164               1.846               0.980
               0.086             255.733              -5.487             253.945              86.508              -0.174              -0.878
              10.350             265.602               0.840             264.648              93.142              -5.006               3.574
               0.131             265.512               0.825             265.041              96.646               3.057              -1.392
               0.000             267.144               1.859             265.928              91.429               3.645              -4.812
               0.000             261.689              -1.729             260.675              92.562               1.552              -0.080
               8.129             268.339               2.699             267.289              92.659              -1.446               2.051
               0.000             258.645              -3.701             256.733              85.777               4.991              -6.714
               0.000             253.098              -7.089             251.044              84.387               2.859              -2.460
               1.361             263.080              -0.977             259.939              78.109              -1.760              -0.799
               1.640             267.321               1.987             266.170              91.915              -0.658              -2.153
               0.251             266.069               1.118             264.718              90.355               4.137              -3.869
               0.000             259.696              -3.034             257.986              87.379               4.300              -2.365
               0.149             257.349              -4.487             255.745              88.100               1.952              -2.597
               0.089             260.409              -2.593             258.571              86.528               3.975              -3.513
               0.028             257.070              -4.677             255.061              85.181               3.093              -1.332
               0.006             260.709              -2.414             258.693              85.326              -1.990               1.883
               0.000             262.034              -1.577             259.920              84.967               1.641              -0.801
               0.000             252.635              -7.368             250.496              83.714               4.932              -2.578
               0.000             249.985              -8.959             247.188              78.876               2.325              -0.788
               0.038             256.885              -4.781             255.120              86.749               0.333               4.809
               0.000             255.072              -5.895             253.117              85.264               3.802              -3.806
               1.999             256.045              -5.308             253.958              84.384              -0.278              -4.102
               0.122             247.475             -10.426             245.238              82.616               2.350              -1.753
               0.064             256.269              -5.164             254.356              85.639              -1.394               0.948
               0.353             262.838              -1.004             261.590              90.864              -3.530               0.985
               0.010             266.011               1.069             264.528              89.594              -0.869              -3.219
               0.000             264.797               0.262             263.332              89.571              -2.185               0.921
               0.200             266.137               1.230             265.476              95.383              -2.712               3.292
               0.000             269.716               3.732             269.184              96.392              -1.472              -1.806
               0.105             258.064              -4.089             255.540              81.473               2.696              -6.858
               0.200             253.455              -6.875             251.384              84.283              -4.003              -1.819
               0.286             257.576              -4.380             255.250              82.892              -3.821              -0.867
               0.037             256.766              -4.869             254.633              84.173               0.176               2.284
               0.000             266.556               1.511             265.871              95.153              -1.247               6.752
               4.799             271.509               4.968             270.560              93.409               3.553               2.112
               1.168             267.453               2.115             266.664              94.458              -3.159               1.752
               4.365             272.229               5.517             271.396              94.310               1.701               1.651
               0.057             263.404              -0.627             262.261              91.752               0.154              -4.032
               0.058             263.092              -0.842             261.795              90.552              -1.905              -5.627
               0.041             262.516              -1.255             260.597              86.456               0.255              -3.329
               0.110             265.662               0.540             260.261              66.357              -1.817               1.292
