 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               1.771             285.474              16.170             284.291              93.093               0.302               5.251
              14.199             289.626              20.349             288.880              95.941               2.412               5.327
               0.000             270.207               3.275             261.650              53.400               5.877              -3.932
               0.134             267.894               1.789             259.623              53.712               2.796               0.413
               0.081             272.190               4.574             263.613              53.094               0.724               1.648
               0.012             275.730               7.911             273.645              86.713              -0.151               1.119
               5.445             281.631              12.911             280.900              95.546              -0.581               4.314
               4.000             286.487              16.995             284.971              91.285               3.653               1.952
               0.000             271.519               4.147             263.023              53.963               3.076              -3.124
               0.000             271.252               4.027             263.566              56.675               2.540              -0.521
               0.082             272.696               5.079             265.738              60.358              -1.563              -0.441
              12.255             271.545               4.861             269.625              87.060              -3.638              -4.076
              13.577             274.308               7.011             273.175              92.432              -2.130              -4.530
               1.348             278.736              10.310             276.977              89.652               3.844               1.593
               0.000             272.612               4.881             264.005              54.219               3.161              -3.100
               0.000             275.079               6.309             264.527              46.179               2.025               2.690
               0.000             277.317               8.124             269.292              56.321               2.237               2.498
               0.000             280.014              10.456             273.825              67.266               4.769              -1.945
               1.278             271.289               4.054             262.829              56.790              -2.167              -2.012
              21.947             272.637               5.696             270.953              88.920              -1.802               0.201
              23.599             284.832              15.280             282.569              87.382               3.235               8.145
               0.000             278.142               9.209             273.168              71.140               7.267              -0.845
               0.000             275.613               7.128             269.007              62.472              -1.090              -0.167
              10.465             282.958              13.649             280.657              87.074              -0.536               3.104
               0.000             275.223               6.754             267.934              58.754               8.627              -1.283
               0.000             274.010               5.990             267.193              61.125               5.483              -3.457
               0.236             274.415               6.497             269.323              69.900               1.486              -1.203
               2.519             275.976               7.830             272.220              77.753               5.760              -0.441
               0.000             274.883               6.776             269.397              68.097               7.019              -3.937
               0.041             273.295               5.725             268.047              70.139               4.644              -3.438
               0.089             273.440               5.783             268.209              68.403               1.138              -2.300
               0.028             271.328               4.106             263.968              58.079               6.823              -5.012
               0.006             269.904               3.164             262.389              58.084               4.534              -2.962
               0.000             271.300               4.069             263.834              57.170               1.266              -0.931
               0.000             276.385               7.860             270.930              68.855               3.008              -0.713
               0.000             272.954               4.848             260.961              43.133               4.148              -4.155
