 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             260.623              -2.577             256.527              72.000              -0.929               0.691
               0.000             259.845              -3.171             252.986              57.136               2.647              -1.157
               0.000             265.121              -0.075             254.808              44.244               0.689              -0.329
               0.134             263.120              -1.075             257.639              65.907              -0.652               1.024
               0.189             257.682              -4.300             255.670              85.156              -0.743               0.950
               0.120             262.324              -1.397             260.144              84.447               0.765              -0.597
               0.000             262.874              -1.049             260.630              84.077              -0.052               0.435
               0.004             262.299              -1.588             256.990              65.941               1.572              -1.090
               0.000             268.839               2.066             254.609              34.041               1.126              -1.098
               0.000             266.948               1.247             259.765              57.824              -0.254               0.324
               0.190             267.486               1.797             262.434              71.678               1.138              -0.696
               1.023             276.967               7.648             267.094              48.912               0.063               0.562
               3.533             267.574               1.982             264.494              80.104              -0.624               0.191
               0.000             264.455              -0.287             258.069              61.293               1.215              -0.656
               0.000             268.909               2.529             261.938              58.977               1.467              -0.315
               0.000             273.610               5.457             264.475              50.554               0.466               0.442
               0.000             274.957               6.408             266.239              52.758              -0.503              -0.007
               0.086             274.210               6.357             269.277              70.024              -0.366              -0.104
               0.198             276.492               7.637             268.791              59.025               0.832              -0.513
               0.131             274.833               6.358             266.132              53.990               1.607              -2.416
               1.675             274.152               5.606             262.474              42.515               2.560              -1.481
               0.000             276.306               7.002             264.320              42.234               0.695              -0.085
               0.353             268.206               2.150             262.020              63.831               0.848              -2.534
               0.000             268.184               2.062             261.350              59.191               1.296              -0.414
               0.210             271.746               4.529             265.937              64.778               0.250              -1.266
               4.806             268.791               2.791             265.687              79.289              -1.449              -0.928
               0.000             266.274               1.033             262.147              73.853              -0.103              -0.471
               0.251             265.327               0.332             260.101              66.878              -1.010               0.545
               2.470             264.719               0.113             262.019              81.214              -1.575               0.554
               0.052             262.889              -1.121             259.369              75.834              -0.198              -0.094
               0.000             261.690              -2.001             255.738              62.059               0.368              -0.080
               0.028             266.344               0.967             260.829              65.603               0.590               0.219
               0.006             271.232               3.652             258.751              39.045               1.091               0.971
               0.000             270.167               2.824             254.969              30.732               2.366              -0.295
               0.000             270.167               2.808             254.764              29.847               0.797              -0.617
               0.000             269.782               2.831             258.778              44.157               0.032               0.245
               0.038             273.174               4.768             259.026              33.827               1.777              -2.319
               0.000             273.416               5.203             262.310              45.428               1.021               0.552
               0.000             274.990               6.107             263.040              40.970               1.363              -1.024
               0.025             273.241               5.091             262.182              45.451               0.868               0.140
               0.064             277.839               7.705             262.765              32.959               2.403              -1.403
               0.029             279.909               8.898             262.392              29.060               1.942              -0.511
               0.010             282.511              10.643             265.580              30.188               1.168              -0.000
               0.000             284.024              11.608             266.672              29.376               1.421               0.145
               0.000             286.723              12.952             264.763              21.540               1.672               0.604
               0.000             282.747              10.750             265.273              29.119               1.258               0.217
               0.000             269.673               2.979             261.982              56.200              -2.150               2.618
               0.092             269.713               2.930             260.491              52.065              -0.042               0.436
               0.070             276.459               6.774             260.810              31.454               0.480              -0.453
               0.037             279.048               8.282             261.317              27.361               0.426               0.883
               0.000             279.533               8.826             264.229              33.583               1.051               0.062
               0.155             277.306               7.482             263.359              36.683              -1.311               2.137
               0.000             277.742               7.814             263.910              38.114               2.551               2.246
               0.153             275.971               6.444             259.983              30.740               1.803               0.866
               0.057             274.006               5.806             264.826              54.041              -1.248               1.501
               0.058             277.022               7.142             261.198              31.763               0.819              -0.652
               0.041             280.204               9.188             263.948              31.589              -0.046               0.574
               0.000             281.420              10.288             267.888              38.631               0.473              -2.224
               0.000             276.836               7.668             267.114              52.383               1.591              -1.916
               0.000             279.453               8.899             265.326              36.927              -0.017               1.741
               0.866             281.418              10.115             266.092              34.627              -0.672               2.933
               2.005             276.864               7.620             266.814              50.220              -0.027              -3.396
               0.079             274.012               5.546             262.298              43.684               0.714              -0.991
               0.000             276.757               6.816             258.500              26.706               2.315              -1.774
               0.000             280.147               9.155             263.840              31.697               2.776              -2.036
               0.222             282.849              11.283             268.970              38.988               2.781              -2.247
               0.124             285.108              12.470             268.221              31.825               1.331               0.518
               9.489             278.655               9.054             269.269              56.099              -2.133              -0.320
               0.019             275.059               6.438             265.131              51.350               0.804               0.229
               0.091             279.892               9.054             264.133              33.383               2.043              -0.928
