 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             288.419              17.570             282.941              72.914               0.070              -3.225
               0.000             285.907              14.443             276.903              56.441               0.950              -3.519
               0.000             287.519              16.231             280.390              64.392               0.770              -1.449
               0.134             290.238              18.344             282.394              61.571               0.358              -0.491
               0.621             289.823              18.181             282.747              64.172              -0.398               0.110
               0.336             290.324              18.784             283.762              66.307               0.209              -1.478
               0.000             288.178              17.100             282.036              69.085               0.630              -1.199
               0.004             287.448              16.226             280.374              65.246               0.412              -2.168
               0.000             288.831              16.738             279.488              55.791              -0.653              -1.559
               0.000             288.331              16.986             281.217              65.464               0.945              -0.567
               0.082             287.275              15.722             278.944              59.569               0.511              -2.026
               0.000             288.428              16.661             280.072              59.482               0.153              -0.584
               0.000             289.855              17.454             280.112              54.073               0.213              -0.866
               0.000             288.838              16.899             280.061              58.012               0.960              -1.627
               0.000             288.948              17.449             281.810              64.516              -0.678               1.834
               9.711             288.782              18.647             285.689              83.710              -1.297               2.770
              27.917             290.449              20.284             287.600              84.196              -1.885               4.574
               0.377             289.772              19.629             286.754              84.251               0.884               2.480
               0.090             288.219              16.925             281.566              65.962               1.261              -1.267
               0.131             285.247              14.684             279.235              70.029               1.502              -2.594
               0.000             285.597              14.735             278.800              65.828               0.851              -2.087
               1.593             288.712              18.016             283.956              75.578               0.796               1.775
               1.433             287.074              16.554             282.453              75.487               0.204               0.620
              34.117             287.809              17.808             284.908              84.746               1.232               1.017
               0.426             287.582              17.946             285.883              90.122              -0.476               4.760
               0.000             286.495              16.585             283.559              84.359               0.801               1.667
               0.000             285.446              14.730             279.255              67.931               1.436              -2.745
               0.251             285.093              14.275             278.430              64.894               0.760               0.457
               0.807             284.852              14.614             280.245              74.722               2.193               1.743
               0.041             285.232              14.474             278.695              66.459               1.098              -0.352
               0.000             284.355              13.377             275.899              58.973               0.443              -1.371
               0.352             286.945              15.413             278.602              58.892               1.230              -0.116
               8.452             286.263              15.971             282.119              77.506              -1.000               1.842
               6.858             285.800              16.335             284.247              90.787              -0.794              -0.020
               2.933             285.307              15.782             283.344              88.862              -0.927              -0.052
               0.000             286.227              15.695             281.089              73.352               1.374               0.924
               0.038             285.112              14.181             277.918              62.897               1.016              -0.937
               0.000             285.002              14.222             277.976              65.249               0.908              -2.565
               0.000             287.920              15.962             278.590              55.228               0.494              -1.705
               0.025             289.811              17.630             280.711              56.928               0.737              -1.494
               0.064             291.129              18.491             281.178              53.779               0.748              -1.052
               0.029             291.706              19.325             282.732              57.904               0.128               0.319
               0.010             293.128              19.933             282.253              50.821               0.643              -0.735
               0.000             293.578              20.185             282.115              49.392               0.700              -1.344
               0.000             294.082              20.303             281.584              46.165               0.761              -0.658
               0.000             292.294              19.799             283.117              57.423               0.193               2.122
               0.000             291.986              20.361             285.219              67.153               1.384               1.081
               0.092             290.064              17.877             281.013              57.385               1.427              -2.420
               0.070             290.349              17.623             279.557              50.962               1.450              -1.300
               0.037             292.055              18.654             279.880              46.517               0.781               0.292
               0.000             291.455              18.024             278.737              44.801               0.113               0.860
               0.047             291.541              18.107             278.962              44.980               0.330               1.479
               0.000             290.031              17.886             281.022              57.864               0.919               0.448
