 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               5.162             268.724               2.910             267.180              89.211               0.415              -8.323
               0.170             255.626              -5.590             252.804              79.206               6.642              -2.385
               0.101             253.089              -7.115             250.292              79.220               5.234               2.863
               0.209             254.933              -5.993             252.541              82.329               4.490               1.763
               0.189             254.932              -5.995             252.517              82.062               2.703               0.266
               0.012             254.012              -6.547             251.712              82.736               2.346               3.335
               0.369             257.788              -4.240             255.682              84.421               1.544              -0.371
               0.004             254.331              -6.358             251.890              81.988               3.931              -0.241
               0.062             257.292              -4.544             255.209              84.510               3.530               3.162
               0.000             253.924              -6.608             251.339              80.800               3.938              -1.574
               0.190             251.032              -8.357             247.481              73.585               1.379              -0.347
               0.375             261.147              -2.112             259.545              88.287              -1.774               1.125
              30.209             267.941               2.434             266.992              93.346              -2.831              -3.598
               3.292             263.025              -0.933             261.086              85.926               3.812              -5.716
               1.389             247.315             -10.521             244.967              81.758               2.668               2.599
               0.000             260.446              -2.573             258.522              86.085               0.141               1.569
               2.613             266.653               1.518             265.378              90.914               1.869               1.396
               0.000             256.858              -4.803             254.977              85.899               1.845              -1.358
               6.030             263.024              -0.876             261.875              91.619              -4.007               2.157
               0.455             268.122               2.628             267.780              97.678              -0.098               1.608
               0.163             270.808               4.471             269.935              94.015               0.969              -4.883
               0.000             265.798               0.936             264.439              90.297               3.441              -0.262
               0.893             266.394               1.378             265.461              93.456              -1.763               3.688
              12.841             270.950               4.537             269.802              92.191               0.842              -3.923
               0.000             260.871              -2.309             258.897              85.629               4.345              -3.516
               2.106             259.229              -3.336             257.358              86.070               2.319              -1.614
               1.964             269.110               3.266             268.300              94.353              -0.032              -1.570
               1.547             271.022               4.624             270.130              93.901               1.768              -3.446
               0.051             268.548               2.784             266.982              88.996               3.690              -1.683
               0.041             265.209               0.533             263.712              89.482               2.025              -1.031
               1.169             266.433               1.328             264.704              87.856               2.425              -2.781
               0.244             263.812              -0.465             261.245              82.126               3.112              -2.765
               0.006             262.755              -1.153             260.095              81.209               0.528               1.173
               0.000             264.011              -0.279             262.246              87.388               1.011               1.286
               0.000             258.674              -3.700             256.396              83.214               4.975              -0.176
               0.000             249.845              -9.037             247.290              80.532               3.351              -0.542
               0.038             255.846              -5.424             253.888              85.304               0.435               4.668
               0.000             264.166              -0.176             262.412              87.506               2.628              -1.144
               0.703             255.350              -5.741             252.975              82.282               2.079              -3.226
               0.133             255.092              -5.890             252.909              83.756               1.687              -2.135
               0.064             255.714              -5.524             253.196              81.506               1.812              -0.506
               3.485             261.581              -1.849             259.760              86.810              -2.371               0.592
               7.462             265.745               0.893             264.306              89.688              -2.860              -3.408
               0.302             262.149              -1.464             260.653              89.196              -1.371              -1.062
               0.275             265.473               0.704             263.960              89.133              -2.222               2.825
               0.286             268.669               2.954             267.841              94.220              -3.036              -1.650
               0.000             263.947              -0.350             261.745              84.661              -0.311              -5.681
               0.200             253.830              -6.657             251.488              82.487              -3.161              -3.436
               1.474             257.302              -4.556             254.796              81.579              -5.244              -1.544
               0.037             259.102              -3.422             257.069              85.072               0.838               0.673
               0.061             260.080              -2.771             258.745              90.223               0.310               5.256
               5.339             272.853               5.949             271.800              92.925               2.546               4.724
               0.412             267.156               1.923             266.482              95.278              -0.680               1.082
               4.581             274.112               6.999             273.746              97.600              -0.552               3.418
               0.057             266.053               1.154             265.179              93.924               0.437              -3.883
               0.274             263.624              -0.471             262.647              92.950              -2.351              -7.201
               0.041             261.977              -1.599             260.083              86.503               0.083              -6.220
               0.000             264.772               0.166             262.330              82.818               0.210              -1.215
               0.039             269.656               3.570             268.183              89.742              -1.467               0.271
               2.459             272.046               5.464             271.750              98.052              -0.482              -1.903
               0.110             269.004               3.225             268.463              96.338              -0.215               1.197
              12.913             271.036               4.737             270.869              99.040              -3.175               2.539
              12.607             274.762               7.453             274.216              96.301               0.549               3.566
               0.128             272.921               5.975             271.714              91.847               2.425               4.821
               0.148             272.225               5.397             270.511              89.041               1.922               2.804
               0.978             273.404               6.332             272.185              91.863              -0.797               1.495
               0.340             274.186               6.923             273.024              92.521              -0.456              -1.860
               0.947             274.960               7.455             273.568              90.943               0.502               2.318
               0.267             269.066               2.864             264.799              72.576               5.922              -0.890
               0.188             262.916              -1.145             258.622              71.773               4.547               0.083
               0.000             268.904               2.946             266.493              83.958               1.306               0.024
               0.000             273.329               6.107             270.894              84.863               1.298               6.187
               0.353             273.026               5.710             269.430              77.415               7.517              -1.257
               0.007             265.708               0.366             257.041              50.494               3.166              -3.849
               0.000             269.992               3.439             264.901              69.826               2.039               3.480
               0.657             273.604               6.160             270.155              79.048              -0.191               3.939
               0.019             280.086              11.244             277.675              86.002              -1.071               3.000
               9.742             285.111              15.763             283.680              91.700              -2.140               4.677
               1.845             282.525              13.488             281.119              91.469              -0.334               0.438
               0.000             277.655               9.340             275.348              85.936              -1.091              -2.673
               0.000             277.820               9.411             275.049              84.265              -3.027              -2.562
               5.902             283.944              14.632             282.255              89.855              -3.551               3.450
               4.141             278.131               9.905             276.832              91.711               1.155              -2.025
               0.590             267.898               2.217             265.134              81.211               2.631              -6.398
               0.031             268.908               2.902             266.094              81.167               3.111              -2.243
               0.000             271.410               4.492             267.210              74.008               0.776              -1.868
              12.954             271.165               4.669             269.827              91.011              -0.893               5.859
               7.966             276.313               8.518             275.132              92.397               0.270               2.091
               3.612             280.956              11.800             278.033              82.526               1.681               7.800
               0.037             279.716              10.965             277.510              86.397               0.786              -2.652
               2.128             275.567               7.829             273.690              88.094              -2.974              -4.387
               5.330             277.157               9.195             276.104              93.282              -1.911              -4.522
               0.000             276.189               7.986             272.426              77.759               1.297              -0.279
               0.928             277.375               8.871             273.784              78.061              -2.738              -4.129
               0.163             278.924              10.157             275.767              81.325               3.690               2.975
               0.000             270.678               3.530             261.722              50.693               9.551              -5.243
               0.033             272.046               4.623             265.108              59.734              -1.084               0.052
               1.843             274.994               7.267             272.276              83.153              -4.161               0.310
               0.419             274.148               6.732             271.997              86.209               0.393              -7.151
               0.000             274.336               6.553             269.962              74.133              -2.085              -2.355
              13.271             276.186               8.179             273.707              84.303              -6.287              -0.827
              15.463             284.217              14.751             281.896              87.533              -3.872               5.312
               0.216             285.915              15.679             281.747              77.666               2.886               3.359
               0.017             281.932              12.186             277.068              73.468               4.012               1.995
               0.000             280.916              11.286             275.860              70.909               4.444              -3.504
               0.095             281.167              11.435             275.823              69.870               0.562              -3.591
               0.000             280.046              10.735             275.512              73.788              -1.326              -3.438
               0.000             279.955              10.638             275.260              73.072              -2.495              -3.263
               0.085             281.449              11.611             275.743              68.922              -2.159              -0.283
               1.562             286.123              15.374             280.539              69.405              -1.631               3.917
               0.000             287.053              16.984             284.031              82.656               0.771               1.391
               0.114             284.549              14.740             281.191              81.874              -0.845              -0.541
               0.133             286.499              16.022             282.012              74.950              -1.565               2.337
               5.502             289.463              19.592             287.283              87.817              -2.123               3.390
               4.824             290.301              20.524             288.326              89.203               0.983               6.336
              22.744             286.274              16.849             284.913              92.136               2.740               0.209
               3.313             280.615              11.514             277.686              82.186              -1.385              -1.567
               0.841             278.382               9.813             275.654              83.404              -0.244              -5.314
               4.259             279.476              10.594             276.492              81.597              -2.218               2.412
               0.767             280.861              11.579             277.240              79.038               4.101               1.321
               0.013             279.670              10.525             275.413              75.825              -1.581               0.932
               2.286             284.104              14.013             279.627              75.084              -2.360               2.284
              12.374             286.538              16.983             284.849              90.302              -0.836              -4.600
               0.000             281.307              11.850             277.328              77.087              -1.944              -3.348
               0.000             282.427              12.525             277.526              72.318              -0.422               3.162
               0.000             287.073              16.594             282.586              76.138               1.559               6.200
               0.061             289.742              19.258             285.905              79.639               0.331               8.303
               0.003             294.601              24.196             290.703              80.527               1.694               8.789
               0.000             296.394              26.111             292.423              80.222               1.751               7.417
               0.000             296.994              26.558             292.639              78.286               0.276               4.624
              11.577             294.664              24.575             291.575              83.609               2.816               2.183
               1.952             282.923              13.351             279.791              81.404               1.630              -2.588
               0.113             284.600              14.498             280.381              76.500               1.906               2.578
               2.128             286.932              16.626             282.930              78.632               2.458               3.163
               0.004             287.502              16.401             281.187              67.257               1.628              -2.339
               0.160             285.763              14.656             278.259              62.111              -1.458               0.779
               0.025             287.474              16.319             280.872              66.341              -0.819               6.306
               0.105             290.771              19.772             285.760              73.728               1.481               7.183
               0.518             292.251              21.092             287.082              72.730               2.091               4.324
               0.000             289.886              19.101             285.142              75.720               0.128              -0.382
               0.000             286.071              15.455             280.839              71.525              -0.551              -5.319
               0.001             283.412              13.306             278.248              72.219              -1.953              -0.913
               0.000             287.682              16.765             282.249              70.518              -1.349              -0.830
               0.000             282.684              13.236             279.830              83.166              -0.253              -7.588
               0.156             282.493              12.605             277.519              72.927               0.170              -7.513
               0.000             283.885              13.185             276.333              62.320               1.993              -3.437
               0.248             287.246              15.677             279.231              59.227              -0.508              -1.647
               0.000             288.826              17.267             281.729              63.406               0.316              -1.235
               0.178             288.830              17.694             282.643              69.469              -0.782               0.740
               0.001             291.146              20.032             285.982              72.607              -4.256              -1.842
               0.738             293.005              22.320             288.813              78.181              -2.710               1.961
               0.140             294.104              23.046             288.956              74.110               0.900              -1.194
               0.000             291.101              19.119             283.284              61.837               1.359               1.651
               0.000             292.228              20.402             284.636              65.031               3.480               3.098
               0.086             294.157              21.665             285.418              59.446               4.006               4.079
               1.803             293.757              22.647             288.587              73.594              -0.104               0.329
               0.029             292.562              21.656             287.676              75.712              -2.698              -1.819
              10.046             297.130              26.565             292.548              77.045               0.260               5.911
               1.766             297.230              27.181             293.518              81.333               0.286               2.745
               2.293             298.578              28.826             294.912              81.942              -2.172              -0.216
               1.882             296.576              26.567             293.226              82.454               3.620               3.659
               0.000             289.209              18.231             283.530              72.289               4.011              -2.120
               0.046             291.845              19.691             283.942              60.785              -1.371              -1.440
               0.434             291.420              20.307             286.198              72.802              -4.579              -0.381
               0.023             295.535              24.397             289.994              72.972              -0.353               5.177
               0.019             296.640              25.492             290.841              72.363               3.074               7.937
               0.000             296.154              24.813             290.003              70.873               2.164               6.466
               0.000             295.343              24.418             290.399              75.070               1.117               1.496
               4.961             289.621              19.366             286.498              82.653              -3.673              -4.613
               0.128             291.492              20.897             287.660              79.106              -5.445               0.602
               4.102             297.624              27.291             293.246              78.493              -1.897               8.384
               0.505             297.589              26.424             291.447              71.621               4.766               3.482
               0.119             294.603              22.855             287.912              67.166               2.202              -2.090
               0.223             289.267              18.566             284.916              76.213              -3.110              -4.641
               0.164             287.179              16.405             281.790              71.671              -2.602              -3.996
               0.000             288.120              16.902             281.614              66.892              -2.245              -1.161
               0.000             291.216              19.213             283.288              61.743               0.250               2.984
               0.015             293.487              21.730             286.673              66.685               2.649               3.452
               0.096             296.080              25.302             291.260              76.017               0.386               1.861
              27.139             296.057              25.562             291.760              78.609              -0.257               1.739
               3.490             292.674              22.228             288.845              80.881               0.283              -5.073
               2.162             292.619              21.829             288.219              77.022               1.196              -3.784
               0.000             292.266              21.462             287.810              76.818              -0.753              -2.347
               0.457             293.176              22.200             288.319              75.007              -2.149               1.020
               2.395             293.624              23.075             289.689              79.524              -3.353              -4.385
               0.000             289.276              18.229             283.695              71.420              -2.495              -4.479
               0.027             289.761              18.390             283.282              67.707              -1.396              -2.405
               0.268             291.909              20.167             284.980              65.707              -1.536               1.349
               0.310             292.593              21.318             287.103              71.560              -2.362               2.939
               0.000             293.495              23.307             290.252              83.406              -1.511              -0.400
               0.062             295.915              24.868             290.612              73.648               0.299               0.388
               0.174             298.632              27.712             293.079              72.742               0.788               2.046
               0.000             299.105              28.559             293.963              75.123              -1.465               1.766
               1.392             298.456              27.535             292.948              72.898              -0.520               0.042
               0.373             297.739              27.677             293.863              80.596               2.334               3.616
               0.064             298.346              27.423             292.718              72.979               2.501               0.109
               0.000             295.480              24.367             290.242              73.233               0.717              -3.730
               0.022             291.005              20.311             286.781              77.705              -1.983              -5.604
               0.000             290.507              19.246             284.485              70.146              -0.193              -2.558
               0.009             292.822              20.762             285.142              62.936               0.743               1.610
               0.000             294.510              22.292             286.642              62.443               0.614               1.418
               0.000             295.723              23.466             287.922              62.507               0.529               1.329
               2.009             297.047              25.281             290.205              66.830               0.268               2.005
               0.237             299.166              27.721             292.445              68.257              -0.177               3.119
               2.375             297.388              27.423             293.746              81.841               0.806               5.627
               1.554             297.842              28.277             294.745              84.532               2.046               4.185
               0.000             296.694              26.404             292.623              79.850              -1.430              -2.105
               0.029             297.114              26.488             292.341              76.542              -1.056               0.542
               6.683             297.989              27.925             293.992              80.264               0.307               1.019
               1.249             296.101              25.491             291.674              77.529              -1.850               0.426
              11.968             297.500              27.705             294.161              83.128               0.085               4.623
               0.909             299.807              29.806             295.288              78.256               1.590               0.052
               3.607             294.484              24.580             291.782              85.614              -2.293              -4.046
               0.540             294.275              23.942             290.520              81.442               1.592              -0.721
               1.538             295.911              25.653             292.015              80.903               2.015               3.640
               3.738             297.851              27.586             293.468              78.793               2.147               3.371
               2.084             298.776              29.032             295.045              81.708               2.004               3.218
               3.386             299.334              29.409             295.188              79.505              -2.989              -1.815
               0.000             299.849              29.996             295.392              79.271               2.618               3.144
               0.000             301.142              32.013             297.433              82.126              -0.003              -0.421
              14.700             296.965              26.968             293.409              82.095              -2.197              -2.249
              12.997             298.407              28.703             294.958              82.567               2.910               1.619
               0.929             292.154              21.319             287.463              76.426              -3.435              -6.073
               0.079             290.752              19.385             284.437              69.070              -0.970              -1.142
               0.000             292.093              21.027             286.864              73.731               2.626               4.721
               0.048             292.698              21.494             287.265              72.399               3.651              -2.796
               0.000             288.461              17.351             282.552              69.168              -0.581              -4.261
               5.090             289.374              18.258             283.411              70.611              -0.260               0.063
               4.943             289.245              19.096             286.315              83.868               0.948               4.948
               9.586             296.219              26.547             293.371              85.897               1.394               2.944
               5.783             298.272              28.154             294.148              79.464              -1.659               1.438
               7.000             297.750              27.752             293.908              81.115              -3.114               0.513
               1.126             296.151              26.154             292.797              83.040              -3.697              -1.730
               3.042             296.321              26.273             292.883              82.395              -2.732               2.535
               0.804             297.083              27.131             293.533              82.343               1.028               4.418
               0.688             294.823              23.934             289.758              75.627               3.443               1.449
               0.000             292.355              21.565             287.796              76.987               1.791               0.844
               0.000             294.352              23.858             290.381              79.776              -1.626               1.049
               2.128             294.268              24.175             291.160              83.888              -0.387               3.109
               0.658             295.455              25.274             291.883              82.043              -1.538              -0.094
