 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              26.762             280.849              12.134             279.674              92.687               2.593              -2.489
               0.000             268.805               2.582             262.896              66.175               4.542              -5.823
               0.000             269.589               3.077             263.411              64.783               1.393               0.429
               0.242             272.605               4.968             265.170              58.219              -1.890               1.522
              31.120             274.393               7.017             272.911              90.250              -2.055              -0.230
              29.820             275.973               8.298             275.028              93.721              -1.388              -2.582
              11.277             277.280               9.163             275.573              89.312               1.087              -3.798
               0.004             272.151               4.941             267.200              70.863               1.601              -5.565
               0.000             270.730               3.894             265.054              67.533              -0.814              -0.427
               0.000             272.627               5.088             266.219              62.769              -2.145              -0.906
               0.082             274.845               6.977             271.028              76.491              -3.175              -2.866
               0.000             275.803               7.845             272.883              82.607              -1.682              -2.134
               0.000             280.980              12.124             279.248              89.838              -0.770               1.847
               0.000             270.596               3.642             263.579              59.246               5.682              -5.496
               0.000             270.636               3.745             263.957              63.157              -1.528              -0.274
               0.000             276.478               8.347             273.732              82.648              -2.144               2.959
               1.209             286.332              16.980             285.162              93.430               0.123               4.312
              15.443             288.006              18.508             286.701              92.532              -1.406               0.011
              34.218             289.383              20.048             288.496              95.173              -1.283               2.715
              26.807             289.825              20.343             288.576              93.139               1.653               2.337
               1.783             278.699               9.898             275.248              78.922               6.122              -4.139
               0.000             276.923               8.418             272.521              74.320               0.633               1.064
               6.941             279.534              10.942             277.795              89.604              -2.155               4.526
               0.421             273.895               6.060             268.196              66.949               7.909              -2.026
               0.426             274.051               5.968             266.732              59.168              -0.221               0.393
              37.844             273.674               6.560             272.640              93.094              -3.111               0.064
               0.992             276.001               8.090             273.690              85.947               2.326              -0.929
               0.251             273.819               6.022             268.318              67.526               3.684              -3.621
               0.000             273.837               5.977             268.041              65.261              -1.090              -1.894
              12.104             274.435               6.950             272.366              86.553              -1.231              -0.289
               0.000             273.511               6.090             270.094              78.879               3.213              -3.956
               1.000             272.429               5.009             266.406              65.298              -0.401              -2.402
               2.598             274.794               6.978             271.211              77.857              -2.074               1.705
              11.340             280.026              11.427             278.677              91.896              -0.338               0.960
               0.000             282.253              13.061             280.100              87.159              -0.532              -1.445
               2.105             276.759               8.447             273.453              79.133              -3.493              -3.747
              17.102             274.901               7.431             273.647              91.663              -3.774              -2.586
               1.922             276.643               8.650             274.810              88.499               3.475              -1.923
               0.000             276.920               8.732             274.216              84.400               0.976               1.717
