 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             280.490              10.156             270.609              50.968               1.931              -0.583
               0.000             278.032               7.589             260.012              25.894              -3.277              -3.401
               0.000             281.003               9.924             266.909              36.681              -2.439              -2.286
               0.134             285.245              12.935             271.314              38.532              -1.012              -0.674
               0.081             285.534              13.916             275.677              52.258              -1.398              -0.131
               2.744             283.918              14.177             280.638              81.330              -0.239               1.116
               0.693             285.514              14.944             280.208              70.726              -0.497               0.174
               0.004             284.729              14.096             278.693              66.980              -0.649              -0.609
               0.000             284.784              14.215             279.010              68.361              -0.622              -0.531
               1.167             282.870              13.132             278.909              77.722               0.617              -0.381
               0.082             283.595              13.019             276.757              63.491              -0.952              -0.925
               0.000             285.694              14.327             277.270              57.318               0.291               0.345
               0.000             284.707              13.794             276.981              61.674               2.200              -0.126
               0.000             284.182              12.354             271.286              41.754              -1.813              -1.488
               0.201             285.026              13.632             275.544              54.102              -0.767               0.450
               9.819             283.907              14.598             282.191              89.796              -1.802              -0.555
              26.783             284.309              14.899             282.306              88.836              -2.096               0.850
               4.957             284.921              14.591             280.004              73.251               1.010               2.193
               1.386             284.047              13.412             277.326              64.275               3.034               1.556
               0.131             280.950              10.824             273.197              59.193               1.174              -1.251
               0.055             281.863              11.380             273.379              56.476              -1.724              -1.755
               0.000             284.619              13.349             275.523              54.609               1.447               1.094
               0.000             283.058              12.247             274.457              56.065               0.660               0.355
               3.985             281.973              11.236             272.176              51.425              -1.300              -0.567
              10.578             281.840              12.636             279.245              85.293               1.021               1.165
               0.702             281.549              11.670             275.863              68.492               3.328               2.865
               0.000             279.047               9.221             270.024              53.072               1.429               0.360
               1.115             278.882               9.019             269.178              50.706              -0.763               0.149
               5.559             280.540              10.330             271.697              54.402               4.888               2.694
               0.041             277.287               7.553             264.478              39.248              -0.942              -1.084
               0.737             277.394               8.036             268.076              51.957              -3.202              -1.988
               2.123             281.008              11.340             275.769              70.517              -0.877               0.038
               0.438             282.584              11.983             274.549              57.990               1.850               1.740
               0.000             283.057              12.292             274.760              57.013              -1.417              -1.484
               0.000             282.221              11.747             274.348              58.753              -0.896              -1.580
               0.000             281.243              10.840             272.142              54.477               0.221              -1.407
               0.038             281.229              10.447             269.848              45.444               0.358              -0.553
               0.000             282.963              11.620             271.116              44.397              -0.936              -0.843
               0.000             285.482              13.377             273.100              43.392              -1.326              -1.063
               0.025             286.561              14.206             274.269              44.014              -2.328              -2.175
               0.064             287.386              14.724             274.471              42.506              -1.750              -1.863
               0.029             288.581              15.388             274.486              39.161              -1.654              -1.650
               0.010             289.324              15.943             275.032              39.196              -1.811              -1.619
               0.000             289.914              16.133             274.348              35.813              -2.087              -1.765
               0.000             290.543              16.506             274.484              34.633               0.417               0.409
               0.000             287.974              15.825             278.190              52.517               0.466               0.288
               0.000             287.439              16.219             280.741              65.247               1.541               0.928
               0.092             285.814              13.655             273.629              44.010               1.676               0.767
               0.070             286.443              13.743             271.871              37.759              -1.795              -1.782
               0.037             288.196              14.795             272.290              34.564               0.944               0.994
               0.000             287.127              14.645             274.691              44.317               0.900               1.493
               0.047             288.017              15.272             275.471              43.675               1.552               1.870
               0.000             285.195              13.700             275.528              53.005               3.398               2.743
               0.045             284.300              12.600             272.535              44.881               2.522               2.410
               0.057             284.709              12.939             273.024              45.674               0.682               0.017
               0.058             286.280              13.526             270.968              36.068              -3.138              -2.715
               0.041             289.727              15.602             271.977              30.518              -0.562              -0.571
               0.000             286.787              13.766             270.647              34.115               3.504               1.439
               0.000             287.360              14.301             272.204              36.187               0.164              -0.047
               2.470             287.218              14.357             272.810              38.677               0.035               1.454
               5.078             285.184              13.818             276.175              55.299               1.445               2.101
               0.169             284.591              12.806             272.669              44.790               2.389               1.815
               0.079             285.981              13.350             271.197              36.676               0.872              -0.428
               0.000             287.061              14.023             271.191              35.144              -1.701              -2.707
               0.000             288.662              14.706             269.878              28.447              -1.944              -2.636
               0.222             291.021              16.714             273.870              32.824              -1.742              -2.069
               0.000             292.827              17.794             274.379              29.935               0.372               0.143
               0.000             294.062              18.723             275.501              30.091               0.806               0.640
               0.019             293.738              18.434             275.008              29.592               0.323               1.036
               0.091             292.103              17.023             272.302              27.125              -2.513              -1.836
               0.000             292.982              17.287             270.958              23.106              -1.268              -1.446
               0.207             293.267              17.827             272.956              26.793               0.872               1.696
               0.029             290.745              17.414             278.025              44.228               1.807               2.305
               0.007             290.692              16.878             275.759              37.947              -0.802              -0.374
               0.000             290.445              16.346             273.727              33.498               2.984               2.636
               0.000             286.940              14.259             273.522              40.337               3.498               2.332
               0.256             285.797              13.869             274.769              47.963               0.644               0.637
               0.606             285.783              14.021             275.295              50.778               0.799               0.731
              11.133             283.298              13.675             280.057              81.688              -1.950               0.632
               6.601             283.990              13.969             279.454              76.053               0.163               1.510
               0.000             286.624              14.752             276.813              52.249               1.580               1.752
               0.000             287.678              15.260             276.255              47.417               0.515              -0.142
               0.005             288.732              15.831             275.966              43.922               0.639              -0.469
               0.050             290.391              16.325             273.863              33.750               1.034               0.272
               0.000             291.791              17.024             273.307              29.776               0.302               0.798
               2.699             290.684              16.961             275.691              39.087              -0.143               1.703
               9.714             286.720              16.092             281.563              72.964              -1.523               0.921
