 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              16.124             273.490               6.335             271.904              89.461               2.765              -7.026
               0.000             268.860               2.585             262.516              64.199               3.367              -9.523
               0.965             272.347               4.769             264.733              57.150              -0.364              -1.876
               6.290             279.183              10.742             277.866              91.790              -5.480               1.364
              16.918             284.479              15.333             283.525              94.242              -0.538               1.120
              33.103             277.355               9.157             275.369              87.314               0.096              -3.704
              16.353             278.366              10.073             276.987              91.226               2.159              -3.906
               0.004             273.932               6.186             268.928              70.894               1.344              -7.376
               0.000             274.441               6.284             267.596              61.150              -2.271              -2.506
               3.435             278.760              10.159             276.355              84.918              -5.461              -0.315
               8.614             279.650              10.937             277.526              87.046              -6.261              -2.697
               0.000             281.741              12.243             277.978              78.201              -1.414              -1.972
               0.000             284.285              14.717             281.774              85.737               1.142               1.468
               0.000             272.361               4.746             264.431              55.707               3.015              -8.846
               0.000             274.456               6.453             268.941              67.157              -3.263              -1.314
               0.315             286.368              16.922             284.945              91.898              -2.551               3.918
               0.237             289.403              19.866             288.016              92.407              -1.671               4.874
               2.246             291.819              22.318             290.303              92.110              -2.261               3.541
              15.750             292.602              23.055             290.887              91.017              -0.625               5.812
              12.011             291.247              20.677             286.915              79.350               3.115               2.783
               0.000             280.636              10.830             274.075              64.984               7.037              -5.746
               0.000             280.142              10.473             273.880              65.258              -0.554               0.816
               2.189             286.691              16.633             283.258              82.253               1.466               3.356
               0.000             276.083               7.289             267.794              56.855               3.321              -5.375
               0.318             277.894               9.020             272.635              70.942              -2.375               0.464
               7.128             287.057              17.611             285.747              92.641              -3.192               3.197
               0.000             281.391              12.111             278.085              81.626               1.300              -5.776
               0.251             276.280               7.664             269.990              64.831               0.950              -4.907
               2.514             278.102               9.340             274.102              75.847              -4.253              -2.489
               6.067             280.287              11.570             278.691              90.162              -2.782              -1.748
               0.000             275.136               7.011             269.909              70.184               1.919              -6.957
               0.028             274.789               6.466             267.587              59.056              -2.985              -2.810
               3.570             282.630              13.504             280.962              89.865              -3.752               3.032
              19.429             286.503              17.259             285.697              95.427              -0.500               0.596
               7.059             285.518              16.161             284.221              92.222              -2.571              -3.099
              31.157             282.212              13.334             281.241              93.922              -4.899              -4.214
              17.966             280.151              11.555             278.963              92.577              -1.547              -3.900
               0.000             279.314              10.596             276.824              85.014               3.812              -3.356
               0.000             281.115              11.876             277.872              81.306               0.965               2.272
               0.025             277.225               8.479             271.872              69.342               0.954              -7.102
               0.064             278.050               9.345             274.147              77.139              -3.171               0.647
               0.029             286.041              16.312             283.680              86.614              -1.760               3.163
               0.010             288.074              18.291             285.952              88.297              -0.879               3.822
               0.000             291.383              21.571             289.140              88.587              -0.159               4.427
               0.000             291.066              21.232             288.831              88.391              -0.451               5.942
               0.000             291.615              21.697             289.133              87.244              -0.276               6.462
               0.000             284.814              15.094             282.141              84.216               0.186              -4.586
              16.896             274.306               6.920             272.639              89.018              -0.332              -6.593
               4.714             273.896               6.584             271.912              87.603               0.761              -6.715
               0.037             276.501               8.359             273.487              82.486              -2.503              -3.715
               0.817             285.884              16.158             283.501              86.395              -3.476               2.780
               0.047             289.806              20.007             287.651              88.878              -1.475               3.683
               2.572             292.797              23.099             290.686              89.184              -2.701               5.458
              12.357             293.753              24.349             292.103              91.475              -1.579               5.031
               6.321             292.990              23.426             291.134              90.510              -0.751               1.637
               0.058             281.952              12.007             276.310              69.099               6.039              -6.432
               0.041             280.407              10.668             273.675              65.214               1.277              -2.950
               0.000             283.717              13.734             279.444              75.865              -1.921               3.696
               0.000             289.610              19.262             285.634              81.390              -0.535               3.573
               0.000             288.624              17.250             281.829              65.645              -1.647              -0.548
               2.162             288.402              18.475             285.896              86.416              -4.517               1.787
               3.085             292.661              22.185             288.166              80.548               1.130               2.714
               0.079             284.434              13.856             278.156              66.910               2.404              -4.280
               0.000             282.804              12.246             274.860              60.074              -0.155              -2.678
               0.000             285.311              14.134             276.851              59.221               1.415               0.667
               0.222             286.529              15.689             280.227              68.988               4.058               1.734
               0.000             288.163              16.720             280.966              63.614              -0.116               0.176
               0.720             288.890              18.786             285.932              84.255              -2.035               5.375
               2.719             288.270              18.638             286.626              90.693              -0.748              -1.042
               0.307             282.822              13.112             278.519              78.109               1.286              -4.084
               0.000             286.584              15.722             280.487              68.778               1.042               1.052
               0.000             288.243              18.087             285.123              82.894              -0.303               4.128
               0.029             289.831              19.735             286.827              84.908              -0.505              -0.331
               1.087             284.911              14.764             280.730              76.588              -3.600              -1.503
               3.338             283.906              14.418             281.640              86.263              -6.412              -0.607
               0.000             288.705              18.981             286.778              89.571              -4.388               2.955
               0.451             293.117              23.246             290.592              87.049              -4.775               5.693
               4.710             294.564              24.722             291.819              86.161              -4.053               5.128
              25.389             294.181              24.349             291.545              86.618              -3.012               2.525
              30.253             293.186              23.503             291.110              89.046              -2.490               1.235
              10.130             290.890              21.267             289.241              91.078              -1.417               1.929
               0.000             288.248              17.472             283.219              73.706               4.870              -1.544
               0.005             283.490              13.254             277.811              69.907               3.521              -3.782
               0.050             283.937              13.490             277.647              67.508               2.081              -0.713
               0.000             288.486              18.100             284.661              79.784              -1.202               4.545
               0.000             291.270              21.102             288.234              84.266              -2.140               5.309
               0.000             292.626              22.872             290.470              88.667              -3.303               5.070
               0.060             293.789              23.920             291.149              86.569              -3.455               6.307
               2.359             294.846              25.187             292.411              87.675              -3.078               6.748
               2.629             295.185              25.651             292.905              88.490              -2.478               4.490
               5.757             294.364              24.989             292.634              91.063              -3.172               5.436
              19.046             294.438              25.013             292.592              90.469              -2.199               0.947
              40.231             286.869              17.343             285.357              91.173              -3.452              -2.477
               0.000             289.523              19.501             286.692              85.772               0.314              -4.167
               0.000             286.979              16.005             280.850              67.981              -1.152              -1.331
               0.000             289.654              18.727             284.466              73.568              -2.380               1.825
               0.033             290.389              20.390             287.877              86.328              -2.953               3.283
               0.655             295.135              25.628             292.890              88.809              -1.117               5.809
               0.000             294.695              24.804             291.745              85.553              -0.806               0.801
               0.000             293.867              23.942             291.109              85.922              -4.238               3.454
               0.203             296.272              26.938             294.045              88.866              -3.580               7.789
               0.127             296.288              26.750             293.553              87.010              -1.675               2.607
               0.000             296.297              25.863             291.852              78.947               0.453              -0.857
               0.017             292.643              21.122             286.373              68.820              -0.918              -1.887
               0.000             293.963              22.550             288.016              70.448              -2.174              -0.665
               0.095             293.425              23.178             290.142              82.815              -2.848               0.607
              37.516             294.350              24.834             292.352              89.655              -3.711               2.676
              41.216             294.432              25.022             292.639              90.635              -3.094               4.569
              11.166             294.926              25.521             292.959              90.062              -2.531               3.034
              27.212             295.255              25.764             293.059              88.804              -1.821               3.410
               8.710             294.717              24.964             292.137              86.890              -0.536               0.388
               2.706             292.760              22.981             290.568              88.296               0.373              -2.825
               0.025             293.616              23.420             290.430              83.254               1.422              -0.164
