 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               8.273             296.099              26.348             293.279              85.336              -6.228               2.867
               3.194             296.899              27.173             293.856              84.519              -1.670               5.156
               3.017             286.183              15.627             281.216              72.838               2.775              -6.933
               0.890             289.581              19.475             286.830              84.657              -2.276              -6.731
               0.081             293.464              23.253             290.315              83.180              -4.445              -2.846
               0.012             294.684              24.258             290.846              80.267              -5.173              -0.627
               0.000             294.639              24.362             291.079              81.773              -4.439               3.454
               7.024             296.128              26.112             292.737              82.894              -0.598               2.730
               0.062             293.269              23.100             290.302              83.728               1.064              -5.435
               0.000             293.229              22.650             289.282              79.308              -3.425              -4.733
               1.702             294.095              23.365             289.810              77.483              -5.170              -0.203
               7.719             296.084              25.409             291.642              76.951              -5.169               5.235
               1.913             296.941              26.724             293.044              80.229               1.614               5.396
               1.996             297.314              27.444             293.758              82.738               1.877               2.375
               0.000             292.167              21.647             288.487              80.086               0.519              -5.498
               0.000             295.290              25.087             291.807              81.976              -5.641              -1.441
               0.000             294.793              24.579             291.245              82.274              -4.168              -0.658
               0.000             294.569              24.115             290.508              80.055              -1.559              -2.717
               0.090             293.977              23.186             289.405              76.892              -2.023              -1.732
               0.887             295.926              25.980             292.797              83.748              -3.789               5.260
               4.591             296.808              26.522             292.879              79.773               3.607               6.618
               0.000             291.127              20.063             286.060              73.203               4.234              -1.775
               0.000             291.058              20.245             286.661              76.269              -1.266              -0.033
               6.469             295.559              25.359             292.005              81.761               3.004               4.809
               0.000             287.660              16.678             281.558              69.465               4.907              -3.803
               0.000             288.291              16.880             281.196              64.383               3.101              -1.702
               0.884             291.508              20.557             286.819              74.814               1.755               1.386
               5.651             294.233              24.184             291.057              84.362               4.047              -1.025
               0.000             286.868              16.134             281.173              71.589               4.009              -5.105
               0.041             287.818              16.337             279.692              62.186               1.791              -3.132
               0.000             292.948              21.284             286.342              67.403               3.366               2.727
               0.028             286.015              15.303             280.004              69.720               4.455              -5.514
               0.006             283.560              13.215             277.356              67.990               1.331              -4.549
               0.000             288.721              17.438             282.264              67.154              -0.409              -1.068
               0.000             292.057              20.961             286.726              73.370               0.309               1.288
               0.000             295.157              23.842             289.422              71.391              -0.734              -1.379
               0.038             295.588              25.312             291.677              81.022              -3.254               2.079
               0.734             296.666              26.903             293.482              84.506               1.282               5.234
               0.703             292.451              21.984             288.579              80.673               2.555              -1.384
               0.025             289.233              18.194             283.408              71.467               3.842              -2.860
               0.064             287.839              17.368             283.685              77.615               0.705              -5.427
               0.677             291.409              20.518             286.766              75.497              -3.886              -3.520
               0.010             292.785              21.584             287.302              72.469              -2.363              -0.303
               0.000             291.633              19.908             284.142              65.626               2.559              -2.179
               0.000             289.871              18.526             283.327              68.235               0.417              -2.765
               0.000             293.044              22.714             289.670              82.064              -2.431               2.065
               0.000             294.345              23.449             289.399              75.708              -1.374               1.360
               0.092             295.549              24.745             290.575              76.112              -0.796              -1.226
               0.070             294.912              24.638             291.364              81.603              -4.672              -0.447
               0.577             295.602              25.255             291.630              80.345              -2.009              -0.687
               2.329             295.564              25.289             291.808              81.059              -5.820              -1.000
               0.803             295.822              25.845             292.632              83.581              -6.073               0.774
               9.268             296.805              26.891             293.470              83.012              -5.502               2.149
               0.369             296.143              26.284             293.017              84.295              -4.884               3.112
               0.381             296.873              26.779             293.157              81.369              -3.856               4.328
               2.218             297.092              27.197             293.605              82.818              -0.624               5.332
               0.797             294.079              22.768             288.125              71.518               6.646               0.150
               0.000             288.451              17.553             282.741              72.240               3.942              -3.239
               0.000             290.094              19.031             284.683              72.265              -1.835              -0.919
               0.000             294.390              23.667             289.954              77.442              -3.067               1.939
               0.110             296.137              26.084             292.662              82.556              -3.679               0.765
               0.169             295.294              25.241             291.925              83.400              -5.588               1.176
               0.187             297.426              27.373             293.683              81.059              -5.562               3.899
               2.396             296.890              26.429             292.441              78.175              -3.575               4.134
               2.956             295.279              24.048             289.683              72.166              -1.759               3.868
               4.110             294.599              23.493             289.040              73.542               1.389              -0.414
               0.000             290.655              18.990             282.826              65.169               3.735              -0.685
               0.000             292.554              21.134             285.892              69.911               1.762              -0.496
               0.019             294.645              23.338             288.817              71.545              -1.769               1.711
               0.091             295.728              25.086             290.718              77.500               2.283               1.169
               0.000             290.959              19.950             285.784              73.762              -0.505              -5.246
               0.531             294.072              23.584             290.082              79.980              -5.873              -1.523
