 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              20.185             281.919              13.101             280.976              94.289               1.378               4.877
               2.481             268.868               2.980             267.055              87.433               5.347              -2.388
               0.101             257.168              -4.724             252.377              67.064               8.002               1.300
               0.350             263.191              -1.079             256.981              61.235               7.333               2.990
               0.405             263.589              -0.717             259.378              71.930               2.787               0.093
               2.366             266.980               1.690             265.192              87.377               1.185               1.475
              10.629             267.881               2.377             266.799              92.327              -0.981              -2.326
               0.328             262.799              -1.067             261.011              87.043               3.445              -2.576
               0.000             255.738              -5.487             253.871              85.924               4.697               4.108
               0.000             257.463              -4.427             255.626              86.550               4.452               0.588
               0.190             257.853              -4.200             255.736              84.421              -0.161              -1.592
               0.267             263.170              -0.810             261.629              88.755              -2.405               0.336
               3.209             271.387               4.876             270.414              93.291              -3.491               1.733
               2.860             271.361               4.826             270.149              91.746               5.509               1.503
               0.000             257.042              -4.714             254.569              81.758               5.350               1.094
               0.000             264.306              -0.120             262.096              84.359               1.876               2.971
               0.885             271.090               4.597             269.661              90.164               2.762               3.890
               0.000             265.874               0.942             264.016              86.930               4.098              -3.170
               0.198             264.242              -0.117             262.620              88.329              -3.562               0.988
               2.075             271.833               5.238             271.085              94.936              -1.565               3.133
               2.755             272.933               6.058             272.180              94.976               0.373              -4.523
               0.405             270.337               4.059             268.910              90.172               7.093              -1.188
               0.000             269.175               3.213             267.500              88.620              -1.204               3.115
              10.789             273.645               6.363             271.509              86.050              -2.120               4.514
               1.290             267.746               2.232             266.166              88.918               8.365              -0.897
               0.486             266.534               1.424             265.116              89.898               4.719              -2.007
               2.396             269.844               3.739             268.628              91.751               0.638              -0.321
               6.191             271.335               4.856             270.472              94.151               2.354              -2.643
               0.000             269.751               3.665             268.506              91.347               7.234              -2.056
               0.041             267.709               2.211             266.165              89.170               4.903              -1.364
               1.385             266.339               1.298             264.971              90.301               2.555              -1.830
               0.438             265.164               0.461             263.175              85.986               6.668              -3.692
               0.654             263.209              -0.831             261.010              84.303               3.459              -1.540
               0.831             266.870               1.625             265.183              88.060               0.486               2.268
               0.000             266.635               1.486             265.130              89.417               5.385               0.961
               0.000             256.376              -5.112             254.131              83.352               4.914              -1.560
               0.038             258.791              -3.669             255.576              77.225               0.566               1.903
               5.162             267.346               1.911             265.265              85.624              -1.117               1.263
               0.000             261.053              -2.187             259.191              86.525               4.021              -1.107
               0.457             259.147              -3.413             256.718              82.459               1.057              -4.597
               0.172             257.066              -4.700             254.563              81.647               4.219              -0.569
