 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              13.835             281.794              13.110             281.282              96.914               1.167               5.678
              23.833             286.649              17.477             286.054              96.738               1.780               5.675
               0.425             270.613               3.688             263.562              60.978               7.858              -3.207
               0.134             265.183              -0.017             255.390              45.829               4.750               0.631
               0.081             269.089               2.559             260.699              53.906               3.295               0.335
               5.196             270.738               4.281             268.774              86.924               0.592               0.132
              24.993             271.530               5.030             270.889              95.632              -1.538               0.120
              15.988             275.917               8.248             274.912              93.472               2.794               1.567
               0.000             267.089               1.580             263.277              74.658               5.611              -2.052
               0.087             265.956               0.907             263.038              80.074               3.114              -0.180
               0.082             266.571               1.216             262.480              72.991               1.781              -2.679
               0.807             264.912               0.257             262.475              82.787              -2.111              -2.998
               6.989             272.160               5.446             271.193              93.424              -3.847              -3.242
               0.916             275.799               8.079             274.354              90.762               1.481               1.390
               0.000             269.120               2.596             261.250              54.876               7.736              -2.722
               0.423             270.712               3.607             262.389              53.476               2.888               1.894
               1.511             271.574               4.758             268.725              81.196              -0.307               0.711
               0.000             272.116               5.060             268.416              77.376               5.479              -2.717
               0.090             262.188              -1.588             258.197              73.353               2.729              -5.536
              12.983             266.223               1.163             264.239              85.998              -1.537              -0.567
              31.807             275.660               8.056             274.666              93.593              -1.647               2.059
               0.081             274.603               6.874             271.285              79.086               6.816              -0.059
               0.353             272.511               5.230             267.975              72.519               2.591              -0.026
              41.245             274.098               6.833             272.813              91.558              -4.955               1.891
               5.502             275.652               7.845             273.552              86.450               4.749               0.605
               0.270             273.541               6.224             271.011              83.445               7.557              -2.273
               0.000             275.016               7.364             272.818              86.095               4.654              -1.535
               2.087             274.116               6.717             272.025              86.526               3.501              -0.814
               0.000             274.860               7.039             271.422              78.347               7.482              -3.040
               0.041             273.389               5.873             269.143              73.537               7.136              -3.802
               1.493             272.417               5.209             268.269              74.512               5.059              -2.460
               1.432             268.664               2.590             264.386              72.353               6.909              -4.457
               0.006             266.834               1.330             261.946              68.897               7.282              -5.353
               0.021             266.776               1.394             263.171              76.107               4.989              -2.582
               0.000             269.604               3.393             266.894              81.933               3.241               0.114
               0.161             267.048               1.379             260.722              62.563               7.990              -2.695
               0.038             263.643              -0.772             257.707              63.593               6.392              -3.272
              11.102             265.705               0.778             263.183              82.850              -0.689              -2.136
               2.323             267.881               2.276             265.753              85.798               3.958              -1.740
               0.133             263.249              -0.882             259.845              76.819               2.940              -2.583
               0.172             258.988              -3.540             255.932              78.358               4.317              -2.133
               0.893             259.635              -3.171             255.884              74.083               2.836              -3.187
               2.980             259.175              -3.455             255.478              74.125               0.292              -0.374
               0.712             261.907              -1.685             259.324              81.985               0.859              -4.302
               0.934             257.582              -4.402             254.627              78.626               2.865              -2.180
               3.958             263.583              -0.611             261.066              82.244              -0.330              -1.428
               3.355             266.056               1.091             264.488              88.989              -0.781              -3.022
               0.092             258.314              -3.969             254.966              76.276               2.412              -5.751
               1.150             254.177              -6.480             250.802              75.446              -0.817              -3.099
              25.633             267.079               1.787             265.579              89.494              -3.172              -6.313
               0.925             265.142               0.474             263.493              88.239               2.543              -0.613
               3.503             267.251               1.984             266.537              94.972               0.788               2.279
               2.788             273.867               6.741             273.051              94.637               3.082               0.722
               2.097             271.518               4.917             270.144              90.646              -1.628              -1.046
              39.369             275.490               7.933             274.533              93.783              -1.310              -1.360
              14.638             276.077               8.286             274.645              90.638              -3.196              -4.743
              24.676             277.391               9.427             276.574              94.776              -5.177              -2.921
               0.920             276.405               8.544             274.946              90.951               2.017               0.959
               0.000             275.367               7.359             271.200              76.711               3.047              -1.041
               0.104             278.101               8.882             271.442              62.473               0.144               1.654
               0.758             279.473              10.703             276.811              84.564               0.069               0.217
               0.169             279.950              11.054             277.210              83.900              -2.415               0.109
               0.943             279.262              10.749             277.610              90.254              -3.035               2.514
               3.800             284.843              15.736             284.101              95.652              -1.437               4.936
              13.972             285.209              16.026             284.328              94.846              -0.290               3.775
               0.438             281.670              12.216             277.804              78.886               1.679              -1.009
               0.000             278.780               9.632             273.365              69.763               1.577              -1.588
               0.000             278.304               9.242             272.725              68.661               1.747              -0.979
               1.001             279.973              11.119             277.546              85.107               0.430               4.021
               8.720             278.611               9.962             275.637              82.617               4.198              -1.231
               0.000             271.498               3.915             260.606              43.528               7.777              -2.479
               0.000             275.275               6.871             268.442              61.676               0.915               2.912
               0.569             281.737              12.519             279.046              84.548               3.274               5.463
               0.007             273.997               5.590             262.810              45.807               6.959              -3.474
               0.000             270.758               3.342             258.408              38.521               4.274              -1.414
               0.000             275.229               6.833             268.315              61.462               2.400               0.235
               0.019             279.656               9.997             272.536              62.205               0.815              -3.360
               0.000             276.415               7.608             268.893              59.856              -0.605              -2.380
               0.117             278.493               9.056             270.870              59.422               1.503              -2.814
               0.000             279.764              10.009             272.532              60.483               0.156              -3.331
               0.000             284.374              13.739             277.763              65.601               1.602               1.060
               0.000             283.037              12.835             277.122              68.659               0.787               3.311
              20.147             283.428              14.406             282.485              94.352              -4.431               5.448
               1.810             284.133              14.643             281.708              86.860              -0.983               4.104
               0.150             277.939               9.097             273.246              72.261               5.766              -0.902
               0.000             274.606               6.516             268.772              65.618               5.521              -0.940
               0.000             275.259               6.913             268.848              63.558               1.563              -0.424
               1.140             279.398              10.634             276.840              84.264               0.496               4.098
               0.000             288.175              17.845             284.544              80.229               0.053               1.465
               0.469             289.513              19.158             285.935              81.209               1.287               1.882
               0.173             289.075              18.443             284.656              76.961               1.363              -1.199
               5.546             283.563              14.308             281.895              89.985              -5.214               1.726
               7.939             283.572              14.511             282.584              93.908              -0.118              -1.465
               3.844             279.843              11.066             277.638              86.397              -2.437              -1.677
               0.595             279.682              10.896             277.164              85.310               2.242              -0.749
               0.000             277.436               8.630             271.969              69.279               6.473               1.611
               1.977             274.311               6.161             267.276              59.804               7.767              -2.804
               0.763             275.307               6.813             267.857              58.794               2.590              -0.963
              18.131             278.460              10.125             276.969              90.600              -1.929               0.883
               1.909             278.914              10.070             275.298              79.133               6.206              -3.319
               0.000             278.569               9.260             271.796              63.655               2.245              -1.232
               6.931             281.663              11.942             276.913              72.736               1.825               0.217
               1.080             282.462              12.901             279.066              79.884              -4.787              -0.426
              19.241             279.300              10.828             277.971              91.593              -4.356              -2.166
               0.264             280.924              11.790             277.823              82.901               2.632              -1.150
               0.149             280.698              11.360             276.783              76.799               4.246              -1.793
               0.000             280.639              11.397             277.037              78.851               3.742              -2.652
               0.000             281.830              11.747             275.272              65.338               3.700              -3.764
               0.085             280.051              10.114             271.944              57.820               2.729              -3.904
               0.000             280.146              10.241             272.349              59.296               1.394              -2.781
               0.000             283.256              12.577             275.306              59.804               1.947               1.307
               0.114             284.260              14.109             279.696              74.460               0.171               3.319
               0.025             288.530              17.848             283.640              75.528               0.188              -0.277
               2.802             288.877              17.553             282.579              66.863               1.004               1.301
               6.876             286.028              16.449             284.217              89.180              -0.419               2.320
               2.699             288.587              18.953             286.939              90.823              -2.946               3.236
              10.181             290.029              20.373             288.287              90.796              -1.922               3.648
               0.000             286.499              16.339             282.876              80.201               0.915              -0.775
               1.451             286.249              16.097             282.475              79.832               1.981              -1.640
               0.000             284.103              13.624             277.962              67.546               3.177              -0.061
               0.013             285.209              14.526             278.928              67.747               3.270               0.055
               3.550             282.276              12.051             275.620              64.529               1.564              -1.508
               1.250             284.999              15.078             281.657              80.989               1.334               2.153
               2.061             289.924              19.759             286.945              84.017               3.234               1.549
               1.557             284.872              14.580             279.929              73.787               2.637              -3.544
               0.000             284.088              13.228             276.505              60.067               0.753               0.725
               0.061             286.218              15.851             281.881              76.123              -0.380               2.950
               0.003             290.085              19.932             287.092              84.238              -0.071               3.641
               0.000             293.597              23.435             290.253              83.620               2.138               3.415
               0.000             295.955              25.757             292.235              81.411               2.995               2.761
               0.993             296.063              26.058             292.746              83.070               0.115               1.674
               3.680             291.157              21.542             289.564              91.068              -2.942              -0.332
               4.973             293.279              23.526             290.992              88.203               0.153               2.380
               8.835             290.472              20.614             288.391              88.163               1.755              -1.699
               1.927             289.705              19.310             286.012              80.812              -0.034               0.561
               0.160             290.497              19.627             285.458              75.150               1.277              -0.474
               0.025             286.177              15.454             280.661              69.997              -0.504              -3.429
              13.929             286.068              16.445             284.100              88.486              -0.987              -3.516
               6.674             288.142              18.643             286.825              92.590              -5.104              -2.229
               0.173             290.394              20.453             287.892              87.079              -2.653              -0.479
               0.110             291.587              21.346             288.360              83.376               0.034               1.933
               0.109             292.647              22.082             288.675              79.555               0.557               1.251
              24.355             290.682              20.924             288.789              89.424              -0.403               3.146
              20.917             291.950              22.237             289.947              89.533               0.244               3.710
              11.172             293.400              23.511             290.813              86.661              -0.612               4.301
               1.033             290.307              19.867             286.584              80.585               0.464               4.235
               0.248             285.894              15.763             282.283              79.423               2.713               4.204
               2.879             289.263              19.140             286.385              84.234               1.211               4.227
               2.986             290.494              20.110             287.052              81.407              -0.068               1.720
               0.865             291.349              21.023             287.928              82.341               0.201               1.014
               2.402             292.958              22.618             289.577              81.986               0.166               2.366
               3.380             294.722              25.024             292.304              87.430              -1.715               0.676
               1.236             294.054              24.164             291.373              86.134              -1.195               2.204
              28.479             290.830              21.413             289.684              93.687              -0.047               2.012
              10.778             291.165              21.717             289.880              93.126              -1.614               0.564
               1.803             292.945              22.744             289.652              83.523               1.079              -0.217
               0.029             295.327              24.579             290.803              76.751              -0.032               1.073
               0.000             294.943              25.247             292.483              87.209              -2.397               1.205
               0.038             295.792              26.017             292.836              85.474              -0.913               2.785
               0.133             295.624              25.914             292.932              86.286              -0.797               2.942
               0.154             296.108              26.637             293.741              87.868              -1.220               3.135
              12.842             291.483              22.046             290.219              93.093               0.588               2.010
               0.046             287.415              16.666             282.141              72.550               4.126              -2.188
               0.002             288.467              16.915             281.120              62.716               1.933              -0.790
               0.023             288.793              17.106             281.048              61.519               1.467              -0.548
               0.019             290.554              19.525             285.460              73.168               2.754               3.162
               0.046             292.748              21.868             288.057              76.021               2.756               2.798
               0.873             292.921              22.328             289.084              79.202              -0.098               0.493
               0.000             296.191              26.205             292.758              83.090               1.954               1.552
               0.000             294.734              23.503             289.315              72.286               0.089              -3.334
               0.000             292.507              21.264             286.940              71.891              -0.684               0.422
               0.289             291.394              20.076             285.515              70.309               1.234               2.386
               2.063             290.626              20.490             287.820              84.612               0.957               2.861
               2.988             295.189              24.635             290.934              78.697               1.853               1.164
               4.808             291.499              20.408             286.479              73.124               2.080              -2.540
               0.000             288.643              17.673             283.155              71.525               0.538              -3.571
               0.000             289.927              18.199             282.620              63.212              -1.106               0.438
               0.231             289.893              19.017             284.779              74.513              -0.594               2.493
               1.500             291.916              21.152             287.403              77.205               0.022               1.839
               5.323             293.948              23.485             290.050              80.289              -0.555               2.819
               9.646             294.596              24.612             291.605              84.709              -2.546               3.669
              10.478             295.721              25.714             292.273              83.413              -0.874               2.592
               0.551             293.828              23.283             289.960              79.490               3.188               1.046
               0.025             294.027              23.104             289.140              75.507               4.318              -1.178
               8.897             289.147              18.984             286.209              83.602               1.079              -1.176
               0.096             288.378              17.879             284.036              77.990               2.465              -2.704
               0.027             289.527              18.150             283.057              67.270               2.991              -1.722
               0.052             292.565              20.534             284.946              63.012               1.883              -0.780
               0.000             293.788              21.606             286.006              62.381               1.226               1.203
               0.000             294.136              23.143             289.110              74.781               1.311               2.978
               0.062             293.759              23.159             289.644              78.937              -0.186               3.159
               0.174             294.609              24.171             290.729              80.195              -0.935               0.215
               0.000             297.480              26.784             292.601              75.623               1.523               0.464
               4.416             299.292              28.314             293.384              71.664               0.835               0.726
               5.665             300.247              30.695             296.318              80.784              -0.636               2.208
               2.764             299.018              29.859             296.144              85.800              -2.398               0.926
               4.682             297.261              27.968             294.817              87.693              -2.361              -0.779
               9.094             298.755              29.219             295.387              83.337              -0.734               0.474
              23.912             298.374              28.223             294.188              79.076              -0.666               1.769
               2.601             297.611              27.639             293.824              81.507              -1.933               0.537
               2.219             298.057              27.776             293.578              78.427              -1.282               1.581
               9.184             297.278              27.352             293.795              82.319              -0.070               2.315
               1.253             297.766              27.429             293.365              78.307               0.456               1.096
               3.585             298.658              28.912             294.994              81.859               0.583               3.112
               5.723             298.381              28.699             294.872              82.786               0.875               2.626
               1.446             299.389              29.709             295.551              81.251               1.125               3.298
               3.901             299.772              30.613             296.554              84.436               1.550               3.029
               0.677             299.504              29.290             294.794              77.105               2.475              -0.487
               3.011             297.200              26.538             292.459              76.162               2.898              -0.338
               5.029             295.805              26.310             293.591              88.060               1.476              -0.427
