 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              19.364             282.388              13.493             281.438              94.101               3.442               2.810
               0.926             266.532               1.225             262.591              75.511               6.251              -1.466
               0.101             261.113              -2.376             254.647              59.838               5.810               1.041
               0.134             266.050               0.930             262.475              77.094               3.241               1.870
               5.178             268.503               2.634             265.802              81.664              -0.926              -0.810
               2.226             269.379               3.407             268.170              91.564              -0.743              -1.098
               8.469             269.999               3.885             269.103              93.765              -1.223              -2.556
               0.004             263.721              -0.485             261.700              85.707               3.734              -1.366
               0.062             255.074              -5.888             253.267              86.541               1.679               2.630
               0.000             259.713              -3.029             257.841              86.597               1.936               0.418
               0.082             261.650              -1.839             259.294              83.061              -1.298              -1.666
               1.779             267.905               2.374             266.639              91.076              -2.465              -0.602
               1.589             273.715               6.613             272.831              94.041              -1.689               0.142
               1.780             269.682               3.569             268.040              88.707               5.685               0.718
               0.000             259.347              -3.311             256.461              79.321               2.043               0.498
               0.000             268.267               2.557             266.365              86.921               0.384               1.753
               0.000             275.598               7.962             274.371              91.969               2.344               2.807
               0.000             270.569               3.896             265.849              73.266               0.835              -1.193
               3.762             270.633               4.072             267.492              80.025              -4.121               0.594
              13.307             275.403               7.843             274.326              92.951              -0.909               0.840
               3.619             274.550               7.185             273.371              92.203               2.921              -2.100
               0.000             271.697               4.909             269.258              84.172               5.401               0.732
               1.757             272.269               5.272             269.442              82.019              -1.978               2.220
               6.793             273.309               6.137             271.286              86.699               2.515               3.308
               0.210             265.332               0.512             262.618              81.176               6.722               0.193
               0.713             264.955               0.335             263.094              86.953               1.918               0.151
               1.856             269.751               3.626             268.180              89.197              -1.208              -0.361
               0.359             270.116               3.922             268.866              91.230               5.828               0.575
               0.000             268.118               2.484             266.501              88.722               4.967               0.093
               0.052             266.857               1.624             265.234              88.615               0.980              -0.196
               1.817             268.003               2.396             266.309              88.129               2.723              -0.990
               0.028             264.461              -0.046             261.892              82.056               5.160              -0.528
               0.222             264.427              -0.087             261.603              80.350               0.067               0.308
               0.615             270.940               4.462             269.324              88.795              -0.224               1.369
               0.000             269.604               3.537             268.137              89.995               3.593              -0.192
               0.000             259.196              -3.412             256.095              78.219               1.393              -1.285
               0.038             262.198              -1.529             259.137              78.929              -2.048              -0.037
               6.134             270.932               4.501             269.620              91.053              -0.343              -1.690
               1.027             262.537              -1.244             260.594              86.126               0.967               0.042
               0.457             263.014              -0.968             260.617              83.139               0.283              -3.266
               0.064             258.902              -3.565             256.452              82.381               1.426               0.877
               0.029             265.956               0.982             263.899              85.802              -1.790               0.573
               0.010             272.105               5.281             270.288              87.766               1.283               1.750
               0.000             268.969               3.038             267.033              86.720              -1.163              -2.036
               0.000             270.894               4.383             268.844              86.462              -1.955               0.189
               5.362             276.911               8.872             275.146              89.048               0.048               2.295
               0.000             273.377               5.999             269.978              79.067               1.876              -3.094
               0.092             265.580               0.381             258.353              58.002              -6.485              -4.439
              11.842             266.881               1.450             262.783              75.181              -4.479              -0.830
               0.685             266.087               1.060             263.927              85.134               2.495              -0.136
               0.000             267.330               1.829             264.310              80.762              -2.174               0.718
              10.415             277.017               8.752             274.244              82.706               2.574               4.026
              11.752             276.586               8.741             275.500              92.864              -2.162               0.346
              12.789             284.565              15.427             283.613              94.560              -0.413               2.472
               5.781             281.904              13.099             281.015              94.541              -1.624              -2.018
              39.478             276.733               8.857             275.661              92.958              -5.499              -4.765
               1.337             271.891               5.022             269.296              82.956               2.306              -5.320
               0.056             271.826               4.895             268.354              79.232               0.918              -0.637
               1.367             275.289               7.456             272.392              82.195              -3.010               0.130
               0.191             279.203              10.668             277.490              89.364               0.866               1.753
               0.110             278.394               9.900             275.938              85.611              -1.157               0.152
               7.297             281.677              12.646             279.834              88.587              -3.908               3.239
               5.155             286.137              16.511             284.122              88.535               0.152               4.585
               0.000             277.843               9.286             274.592              80.011               3.746               1.344
               0.000             277.522               8.890             273.212              75.299               2.088               1.929
               0.330             278.006               9.104             273.067              71.011              -0.145               1.805
               0.124             278.139               9.791             276.243              88.185               2.100              -1.580
               0.806             278.648              10.079             276.192              85.130               0.901               1.607
               1.887             278.707               9.844             274.879              77.248               2.474              -1.143
               0.091             270.759               3.777             263.929              60.539               5.599              -1.425
               0.000             273.975               6.138             268.416              67.856               0.920               0.593
               0.207             278.532               9.535             273.732              72.223              -0.182               2.721
               2.405             279.495              10.320             275.031              73.908               5.757               0.963
               0.007             272.567               5.044             266.202              62.643               2.752              -2.890
               0.000             273.562               5.720             266.629              62.474              -1.236              -0.421
               0.441             278.510               9.110             271.254              60.595              -1.426               1.254
               0.019             286.140              15.521             280.928              71.658              -1.624               0.832
               1.470             286.470              16.723             284.240              87.013              -1.380               1.151
               0.333             288.814              18.992             286.594              88.227              -0.087               0.376
               0.000             288.553              18.345             285.302              82.460              -2.565              -1.709
               1.598             287.163              16.731             282.933              77.054              -3.451               0.261
              13.473             288.155              18.332             285.989              87.769              -3.534               4.306
               1.301             281.279              12.280             279.300              87.711               3.782               3.112
               0.406             272.984               5.777             270.118              81.508               4.712               1.091
               0.000             271.861               4.877             268.221              77.284               3.506              -0.044
               0.000             276.199               8.089             273.175              80.938              -0.597              -0.211
               0.210             280.189              11.174             277.175              82.144              -1.603               2.024
               0.276             286.633              16.267             282.438              77.069               3.474               4.994
               4.044             288.143              17.915             284.928              81.698               3.343               4.784
              50.905             286.779              17.365             285.565              92.897               0.764               2.323
              14.332             284.958              15.898             284.387              96.696              -0.773               1.057
              17.750             287.782              18.079             285.787              89.266               2.697               1.384
               1.243             280.158              11.216             277.507              83.830              -0.517              -2.554
              21.664             280.742              11.938             279.099              90.069              -0.461               0.479
               0.163             280.768              11.675             277.862              83.153               4.619               1.911
               0.000             276.662               8.022             271.070              67.693               5.071              -0.770
               0.033             275.413               7.122             269.870              67.187              -1.280              -0.069
               5.191             281.346              12.300             279.242              86.888              -0.132               3.436
              10.355             281.226              12.346             279.635              90.303               4.817              -0.825
               0.000             277.985               9.458             274.973              81.914              -0.762              -0.683
               7.115             281.944              12.759             279.673              86.147              -4.084               0.834
              28.315             292.749              22.830             290.304              86.744              -1.246               5.574
               8.532             290.735              20.603             287.975              84.674               1.130               2.785
               0.017             284.214              14.442             280.813              81.624               3.353               1.698
               0.000             283.916              13.863             279.447              75.167               4.067              -0.744
               0.095             282.183              12.152             276.469              68.331               1.834              -1.867
               0.000             282.827              12.704             277.333              69.398              -0.171              -1.696
               0.000             282.377              12.495             277.437              72.525              -2.367              -1.838
               0.085             283.441              13.249             277.986              70.586              -2.617              -0.787
               0.000             286.334              15.565             280.711              69.655              -3.176              -0.523
               0.000             289.686              18.681             284.516              72.554              -1.462              -0.043
               0.870             290.244              20.075             287.391              84.085              -0.556              -1.282
               0.349             291.264              21.261             288.708              86.286              -2.404               0.325
               1.074             291.299              21.116             288.391              84.082              -1.476               2.868
               2.448             291.301              21.166             288.509              84.664              -0.648               3.125
               3.023             289.274              19.457             287.271              88.495               1.277               1.278
               0.721             283.263              13.605             279.741              80.835               2.806              -1.239
               1.014             281.460              12.102             278.038              80.115               4.233               0.067
               0.000             281.718              11.816             276.166              68.879               0.621               0.749
               0.788             285.439              14.791             279.683              69.116               2.202               1.008
               0.046             283.357              13.058             277.537              68.052              -1.328              -0.851
               0.958             284.956              14.925             281.263              78.849              -2.115               1.615
              13.670             290.507              20.472             287.938              85.888               1.632               4.799
              16.469             287.456              17.902             285.944              91.290              -0.953              -2.117
               1.989             283.857              14.265             280.989              84.092              -2.255              -1.828
               0.000             288.198              17.256             282.894              71.161              -0.552               1.305
               0.061             291.632              20.622             286.684              74.178               0.262               3.689
               0.003             294.171              23.409             289.771              77.128              -0.067               4.109
               0.115             295.113              24.548             291.016              78.644              -0.355               3.236
               0.000             296.072              25.632             292.069              79.099              -0.450               2.186
               0.885             298.094              28.183             294.430              81.359               1.169               2.137
               3.896             291.275              21.495             289.310              89.013               1.232              -1.805
               0.000             286.381              16.466             283.478              84.071               1.608              -1.718
               0.000             288.120              17.301             282.994              72.843               1.734               1.044
               8.536             290.830              19.656             285.264              71.577               1.939               0.238
               0.160             288.231              16.683             280.793              62.213              -1.030              -1.321
               0.025             287.138              16.067             280.701              66.825              -3.316              -0.468
               0.000             289.529              18.068             282.860              66.119              -1.795               0.303
               0.734             293.759              21.896             286.906              65.699              -0.250               0.781
               2.549             294.605              23.933             290.334              77.860               0.745               0.132
               0.002             293.180              22.111             288.161              73.994               0.483              -2.185
               1.405             286.615              16.442             283.124              80.211              -2.019              -1.770
              10.207             291.010              21.047             288.535              86.807              -1.929              -0.734
               2.211             289.731              19.294             286.123              80.267               2.590              -2.459
               1.992             283.368              13.822             280.548              83.490               3.899              -3.389
               0.277             283.877              13.444             277.386              67.539               4.699               0.392
               3.628             288.839              18.650             285.785              82.993               3.684               2.628
               0.816             292.146              21.726             288.390              81.234               2.878               1.041
               0.070             291.353              19.602             284.264              65.000              -1.463              -1.183
              10.153             291.489              20.600             286.847              75.552              -1.951               0.681
              14.152             295.505              25.202             291.825              80.845              -0.190               2.487
               0.572             295.253              25.373             292.423              85.094               2.386               0.738
               0.000             295.156              24.210             290.208              74.946               0.489              -1.513
               0.615             291.721              21.518             288.736              83.820              -1.653              -1.691
               0.194             293.149              21.828             287.429              71.251               0.792               0.543
               0.000             294.374              22.714             288.036              67.992               1.458               1.979
               0.029             295.601              25.197             291.720              79.822               1.500               2.730
              26.894             295.693              26.028             293.143              86.624               0.349               3.055
              26.822             298.339              29.265             295.866              87.669               1.446               3.091
              40.417             299.070              29.984             296.361              86.262               0.760               2.332
               0.478             299.537              30.106             296.101              82.853               3.114               2.152
               0.098             290.561              19.445             285.169              72.062               2.957              -2.934
               0.046             292.454              20.976             286.136              69.183               2.305               0.040
               0.596             294.998              23.097             288.023              65.732               0.123               1.386
               0.023             296.457              25.018             290.290              69.886              -0.936               2.152
               0.019             296.296              24.819             290.140              69.590               0.445               2.730
               0.000             296.061              24.382             289.527              67.834              -0.612               1.134
               0.000             296.773              25.467             290.917              70.921               1.532               2.068
               0.000             298.183              28.088             294.034              79.762               2.698               1.761
               3.368             298.773              28.562             294.431              78.090              -0.047               1.158
               2.179             299.366              29.026             294.615              76.352              -0.171               3.440
               5.710             298.964              29.078             295.032              80.332               3.243               3.513
               2.711             298.415              28.431             294.379              80.338               3.453               1.491
               5.213             298.579              28.454             294.399              79.009               1.364               0.579
               9.236             291.390              21.404             288.900              86.476              -2.913              -2.883
               0.000             288.393              17.776             283.870              76.283              -3.111              -1.863
               0.000             290.364              19.317             285.115              72.751              -2.236              -0.811
               0.015             294.893              23.241             288.570              68.138               0.728               0.585
               1.176             296.697              25.399             290.883              71.017               1.202               1.860
               4.567             296.698              26.351             292.679              79.351               1.464               3.108
               5.002             295.182              24.916             291.606              81.467               3.709               0.397
               0.218             295.283              24.486             290.363              76.311               3.169               0.553
               0.000             295.977              25.223             291.247              76.310               2.503               0.224
               0.241             299.387              28.781             294.194              74.351               0.105               0.909
               1.639             299.569              29.840             295.678              80.602               2.633               0.474
               0.000             293.065              22.244             288.400              76.693              -3.586              -2.011
               0.027             291.324              20.059             285.596              70.895              -3.496              -1.529
               0.160             292.253              21.280             287.426              74.871              -4.313              -1.207
               1.066             294.109              24.029             291.099              84.146              -1.537               1.351
               1.864             295.347              25.440             292.418              84.742               0.486               2.615
               0.710             296.783              26.697             293.179              81.546               0.209               1.796
               0.174             297.929              27.692             293.814              78.929              -0.844               1.920
              17.064             295.402              25.846             293.134              88.013              -3.027               1.125
               6.036             295.088              25.707             293.084              90.078               2.664               0.985
