 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             296.974              26.412             292.265              77.218              -7.185               1.246
               0.000             298.907              27.501             291.791              68.745              -1.387               2.448
               0.000             295.714              24.347             289.808              70.767               2.770              -7.680
               0.134             293.409              22.937             289.776              80.399              -6.598              -5.715
               0.081             293.307              22.473             288.627              76.539              -7.631              -2.169
               0.012             295.230              24.331             290.257              75.361              -6.959              -2.594
               0.000             295.717              25.009             290.733              76.898              -6.655              -0.201
               0.004             298.253              27.263             292.176              72.535              -4.764               0.456
               0.000             298.355              27.433             292.867              72.986              -2.823              -1.516
               0.000             296.870              25.068             289.844              66.566              -5.491              -2.628
               0.082             296.470              25.646             291.552              75.342              -6.393               0.307
               0.000             297.412              26.450             291.592              73.443              -5.732               2.464
               0.000             298.246              27.209             291.989              72.166              -1.185               2.384
               0.000             298.900              27.222             291.348              66.660               0.679               0.031
               0.000             298.636              27.868             293.385              73.930              -1.262              -5.087
               0.000             297.235              27.234             293.344              81.734              -5.934              -2.686
               0.000             296.270              25.708             291.531              77.828              -7.159              -2.728
               0.000             295.780              25.266             291.219              78.657              -4.523              -1.888
               0.090             295.797              25.249             291.125              78.329              -4.658              -1.938
               0.131             297.051              26.676             292.529              78.748              -4.189               2.755
               0.000             298.254              27.361             292.162              73.312               3.143               4.073
               0.000             296.314              24.422             288.966              65.867               3.726              -3.340
               0.000             296.339              24.581             289.210              67.065              -3.637               2.600
               0.000             297.942              26.699             291.383              70.738               2.769               4.386
               0.000             296.113              24.995             290.463              72.911               2.436              -3.365
               0.000             295.354              23.963             289.115              70.633               0.015              -1.273
               0.000             299.133              27.316             291.047              65.462               2.327               1.545
               0.251             298.241              27.041             291.885              70.862               3.803              -0.661
               0.000             295.610              24.762             290.400              75.660               2.216              -4.275
               0.041             293.482              21.936             286.532              68.936               0.313              -1.868
               0.000             296.612              24.725             288.412              65.872               2.057              -0.306
               0.028             295.976              24.381             289.325              68.611               3.977              -5.776
               0.006             290.810              19.665             285.141              71.928              -0.649              -4.422
               0.000             293.253              22.100             287.513              73.099              -3.229              -2.379
               0.000             297.010              26.312             291.312              76.019              -2.609              -0.467
               0.000             299.181              27.545             291.276              66.805              -3.873              -0.502
               0.038             299.112              27.133             290.122              64.249              -3.916               1.633
               0.000             298.791              27.526             291.660              69.928              -0.252               2.956
               0.000             298.209              27.064             292.096              71.329               3.123              -2.020
               0.025             295.366              24.047             289.536              71.319               1.251              -3.159
               0.064             294.433              22.517             287.474              65.436              -1.299              -5.115
               0.029             294.612              23.501             289.400              73.497              -5.546              -2.979
               0.010             295.277              23.336             288.169              65.399              -7.078              -2.945
               0.000             294.696              24.005             290.291              77.634              -2.974              -2.631
               0.000             295.426              23.914             288.821              69.477              -1.411              -3.357
               0.000             296.786              25.028             289.521              66.962              -5.485               0.612
               0.000             298.134              26.132             290.227              64.497              -4.982               0.650
               0.092             298.189              26.319             290.511              65.541              -3.780              -1.782
               0.070             297.560              26.276             290.849              70.657              -6.443              -0.975
               0.037             298.735              27.192             291.369              67.814              -5.281              -0.568
               0.000             297.041              26.601             292.486              78.208              -7.286              -2.856
               0.047             297.369              26.789             292.381              76.698              -7.846              -0.798
               0.000             297.234              26.391             291.520              74.591              -6.054               0.734
               0.045             298.393              27.385             292.119              72.264              -6.910               1.026
               0.057             299.599              28.055             292.179              67.182              -6.789               1.077
               0.058             299.444              28.516             293.072              71.880              -2.751               1.921
               0.041             298.977              27.078             291.516              64.925               3.323              -0.900
               0.000             294.787              23.112             287.770              67.904               1.467              -3.637
               0.000             295.438              24.168             289.317              71.765              -3.649              -2.534
               0.000             298.492              27.272             292.060              70.520              -4.746               0.066
