 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             271.318               3.517             255.589              29.851               1.589              -2.411
               0.000             269.798               2.446             251.033              22.386              -2.297               0.118
               0.000             274.175               5.260             257.010              28.556              -3.104               0.991
               0.134             276.050               6.905             264.929              44.634              -3.010               1.555
               0.729             276.331               7.460             268.455              56.891              -2.812               1.339
               2.074             276.887               8.573             273.703              80.127               0.220               1.256
               0.000             276.225               8.107             273.113              80.906               0.646              -0.262
               0.652             275.198               7.070             270.303              70.714              -2.308               0.943
               2.222             276.113               7.848             272.039              75.010              -2.452               1.147
               0.000             275.237               7.320             271.813              78.683               0.766              -0.615
               2.717             275.462               7.395             271.523              75.592              -1.946               1.298
               0.000             276.272               7.922             271.930              73.622              -0.615               1.111
               0.000             275.644               7.030             268.225              58.291               2.938              -1.600
               0.592             273.502               5.672             267.050              62.176              -2.868               1.610
               3.549             276.136               7.750             271.374              71.126              -0.580               2.555
              20.079             276.454               8.528             274.751              89.187               0.447               0.643
              18.121             276.496               8.509             274.531              87.500              -1.982               0.689
               6.274             276.467               8.328             273.671              82.290              -0.872               2.348
               0.414             274.774               6.962             271.185              77.814               2.959              -0.933
               0.131             273.286               5.553             267.119              63.334               2.250              -1.288
               0.055             273.457               5.737             267.835              66.078              -2.761               1.419
               0.000             274.595               6.621             269.633              69.804               0.516               0.306
               0.000             272.277               4.705             264.624              56.394              -0.269              -0.530
               0.097             271.723               4.426             265.039              60.668              -3.007               1.411
               5.826             272.738               5.612             269.980              82.075              -1.802               1.250
              11.934             273.948               6.332             270.173              76.203               2.715              -0.224
               0.000             269.977               3.247             263.225              59.962               1.514              -0.622
               3.383             269.038               2.944             265.761              78.401              -2.567               0.532
               0.159             268.548               2.649             265.559              80.754               2.992              -1.102
               0.041             265.896               0.668             260.317              64.686              -1.568               1.182
               6.785             268.784               2.815             265.908              80.997              -5.165               1.455
               5.244             270.961               4.585             270.109              94.173              -0.519               1.593
               0.978             271.505               4.860             269.799              88.397               0.025               1.300
               0.000             270.620               4.082             267.754              81.021              -0.966               0.001
               0.000             270.128               3.365             263.610              60.980              -0.703               0.316
               0.000             271.688               4.440             265.410              62.461              -0.546              -0.788
               0.038             274.612               6.318             267.137              58.022               2.242              -0.615
               0.000             277.314               8.175             269.699              57.936               0.931               0.398
               0.000             278.451               8.968             270.617              57.743              -0.008               0.113
               0.025             277.850               8.633             270.674              60.389              -3.002               1.622
               0.064             278.168               9.006             271.875              64.701              -3.012               1.546
               0.029             278.713               9.268             271.534              60.966              -3.134               1.650
               0.010             279.464               9.810             272.248              60.969              -3.471               1.797
               0.000             280.782              10.659             272.848              58.165              -3.588               2.052
               0.000             282.715              11.746             272.955              50.836              -1.679               3.100
               0.000             279.341               9.566             271.147              56.806              -0.447               1.796
               0.000             278.642               9.004             270.065              54.958              -2.523               2.074
               0.092             278.791               9.006             269.432              52.088              -0.411               0.967
               0.178             278.381               8.928             270.490              58.048              -2.783               1.507
               1.009             280.196              10.084             271.365              54.392              -2.478               2.203
               1.033             279.822              10.034             272.390              60.028               0.759               0.817
               6.743             278.814               9.761             274.008              72.675              -0.566               2.971
               0.952             278.805               9.261             271.251              58.926               3.318               1.924
               0.045             277.886               8.656             270.670              60.326               0.432               2.760
               0.057             277.474               8.108             268.166              52.479               0.847              -0.596
               0.058             277.342               7.995             268.030              51.794              -4.145               1.101
               0.149             279.555               9.619             270.690              54.167              -3.550               1.411
               0.000             280.420              10.129             270.808              51.521               2.909              -1.402
               0.000             280.086               9.759             269.715              48.101              -1.073               1.038
               1.022             281.531              10.737             270.848              47.270              -2.718               2.854
               2.486             279.512              10.207             274.203              70.572               0.729               1.475
               0.169             278.661               8.758             268.217              47.650               2.596              -1.722
               0.079             280.426               9.908             269.399              45.903               1.905              -1.357
               0.000             281.546              10.782             270.910              48.050              -0.338              -1.503
               0.000             284.162              12.497             272.399              44.799               0.176              -1.413
               0.222             285.201              13.490             274.585              49.136              -1.565              -0.124
               0.000             286.749              14.567             275.561              47.646              -0.054               0.631
               0.000             287.554              14.865             274.753              42.763               1.178              -0.562
               0.019             284.426              12.086             268.693              33.357              -2.941              -0.270
               0.091             282.174              10.577             266.778              33.641              -3.869               1.230
               0.000             283.264              11.400             268.438              35.489              -2.328               1.164
               0.000             284.939              12.483             269.426              34.199              -2.595               1.506
               0.029             284.667              12.831             272.430              44.220              -3.162               0.784
               0.007             283.974              12.764             274.418              52.697              -3.126               1.809
               0.000             284.164              12.371             271.589              42.326              -1.085               3.744
               0.000             280.518               9.796             268.005              41.571               0.023               2.410
               1.207             280.547              10.294             271.455              53.377               1.428               0.490
               3.198             280.790              10.502             272.012              54.200              -3.473               1.289
              13.185             280.228              10.879             275.579              73.899              -2.950               1.941
               4.117             279.990              10.753             275.771              75.335              -0.334               1.883
               0.000             280.867              11.097             274.921              67.265               1.390               1.280
               0.000             282.350              11.814             274.218              58.105              -0.594               0.044
               0.005             283.646              12.373             273.175              49.735               0.139              -0.892
               0.050             284.914              12.909             272.180              42.360               0.538               0.471
               3.454             285.791              13.477             272.712              41.221              -0.039               1.893
              13.715             283.434              12.389             273.460              53.235              -2.451               2.842
              15.330             281.072              11.968             278.316              84.332              -0.403               3.385
               3.084             280.727              10.744             273.636              61.225               2.854               2.700
               0.113             281.151              11.228             274.868              65.245               0.839               1.072
              16.669             280.927              10.684             272.433              56.217               2.935              -1.630
               0.000             281.013              10.206             269.101              43.282               1.766              -1.467
               0.038             281.414              10.330             268.361              39.688               1.597              -1.383
               0.000             280.322               9.657             267.835              41.415               1.939              -1.701
               0.000             282.562              10.966             268.198              36.420               1.583              -0.302
               0.000             286.213              13.576             271.907              37.708              -1.035               0.907
               0.000             288.264              15.008             273.304              36.997              -2.811               2.395
               0.033             288.671              14.868             271.126              30.703              -0.524               3.201
               0.000             288.682              15.054             272.280              33.263              -1.642               0.888
               0.000             289.351              15.536             272.900              33.295               0.289               1.871
               3.205             283.602              11.665             268.902              36.164               5.893              -3.112
               0.000             279.311               8.668             264.142              33.225               4.652              -2.045
               0.127             283.749              11.895             270.086              38.736               3.649              -2.496
               0.000             285.321              13.031             271.544              39.291              -0.080               0.525
               0.017             289.589              15.875             274.043              35.578              -1.101               1.202
               0.000             291.955              17.245             274.134              30.972              -1.798               2.217
               0.095             292.495              17.222             272.291              26.206              -1.353               3.467
               0.000             291.046              15.910             269.183              22.624              -0.382               4.973
               0.000             286.283              12.946             266.855              26.267               0.905               4.003
               0.085             284.645              11.895             265.937              26.968               1.486               0.053
               0.000             286.474              13.150             267.678              27.530              -2.700               1.023
               0.000             289.475              15.095             269.487              26.023              -3.065               1.743
               0.114             291.244              15.933             268.328              21.242              -2.151               3.170
               0.025             291.272              15.897             267.845              20.575              -0.555               4.104
               0.000             290.205              15.111             266.470              19.637               2.082               2.172
               0.000             289.965              15.340             269.336              24.782               0.998               0.573
               0.000             292.454              17.193             272.269              26.214              -1.233               1.017
               0.000             292.513              17.937             275.773              34.163               0.556               1.830
               0.000             292.671              17.549             273.566              28.474               0.048               1.098
               0.000             293.866              18.166             273.189              25.808              -2.712               0.875
               0.000             294.408              18.272             271.969              22.944              -1.598               2.022
               0.013             292.154              16.735             270.259              23.380               0.389               3.439
               0.094             289.698              15.288             269.812              26.560              -0.221               2.490
               0.000             290.264              16.466             274.827              36.786               2.185              -1.767
               0.000             292.245              17.318             273.404              29.361              -1.440               0.748
               0.000             294.935              18.699             272.658              23.467              -0.150               3.772
               0.000             293.815              17.630             269.760              20.606               4.088               3.126
               4.294             290.039              15.520             270.056              26.498               4.977               2.641
              13.611             286.828              14.110             272.708              39.253               3.794               0.881
               0.000             284.105              12.181             270.350              39.456               2.157              -1.736
               0.018             285.642              12.874             269.178              32.497               1.940              -1.801
               0.000             288.563              14.780             270.936              30.531              -0.835              -0.521
               0.116             290.837              16.078             270.793              26.521              -2.575               0.038
               0.000             291.584              16.278             269.293              22.625              -3.468               0.811
               0.000             295.268              18.500             270.226              19.281              -3.312               1.549
               0.004             297.307              19.853             271.544              18.710              -2.252               2.804
               0.160             296.497              19.332             271.268              19.096              -0.872               3.087
               0.025             295.771              19.495             274.413              25.279              -0.474               1.690
               0.000             297.021              20.090             273.929              22.462              -0.720               1.291
               0.000             297.095              20.414             275.420              24.777               2.084               1.300
               0.000             296.558              20.656             277.720              30.415               1.278              -0.072
               0.000             296.196              21.203             280.384              37.884               2.499              -0.065
               0.001             298.803              22.488             279.809              30.914               0.688               0.589
               0.163             299.893              22.366             276.927              23.627              -0.723               2.216
               0.000             298.786              20.838             272.591              18.267              -0.710               3.348
               0.156             296.837              20.296             275.272              25.411              -2.766               1.318
               0.061             297.049              21.136             278.632              31.265              -2.347               0.857
               0.464             298.347              22.213             279.986              31.634               0.014               2.180
               0.000             297.826              21.612             278.826              30.133               0.454               3.641
               0.070             296.603              20.194             275.615              26.039               1.609               2.952
               0.001             296.177              19.452             273.045              22.201               2.280              -0.256
               0.090             295.247              18.079             267.487              15.392              -1.457              -1.663
               0.032             294.589              17.771             267.707              16.680              -2.921              -0.962
               0.000             296.335              19.165             270.687              18.610              -3.473              -0.714
               0.291             298.517              21.117             274.743              21.945              -1.926               1.465
               0.086             299.017              21.566             275.558              22.571              -0.814               1.090
               0.000             300.656              22.736             276.608              22.164              -0.264               0.449
               0.029             302.351              23.775             277.012              20.572               2.205               0.490
               0.000             300.638              22.309             274.623              19.295               4.212               1.219
               0.038             293.722              17.190             267.194              16.654               1.554              -4.203
               0.133             292.078              16.221             266.651              18.012              -0.709              -1.880
               0.154             295.662              18.605             269.288              17.720              -3.936               0.349
               0.000             299.412              21.329             272.992              18.609              -3.331               1.260
               0.046             302.869              23.782             275.510              18.222              -2.016               2.428
               0.002             304.787              24.955             276.131              16.794              -0.549               3.704
               0.023             304.121              24.649             276.175              17.847               3.353               2.765
               0.019             301.804              22.079             269.376              12.254               3.322               3.213
               0.000             299.725              20.585             266.769              11.537               1.681               3.668
               0.000             297.702              19.467             267.211              13.241               1.082               5.313
               0.000             292.652              16.575             267.012              17.700               4.233               1.895
               0.000             293.102              16.996             268.397              19.028               2.834              -0.835
               0.000             297.335              19.823             271.129              18.298              -0.355               2.057
               0.000             299.620              20.744             268.587              13.207              -0.270               3.255
               0.119             300.509              21.244             268.591              12.510               0.244               2.596
               0.223             301.572              22.231             270.988              14.283              -0.433               1.863
               0.164             303.179              23.298             271.897              13.952              -0.687               2.279
               0.000             303.612              23.635             272.439              14.142              -0.512               3.167
               0.000             304.552              24.102             272.028              13.040               0.459               2.990
               0.015             305.542              24.419             270.435              11.052               1.423               2.043
               0.000             305.721              25.050             273.486              13.681               1.294               2.086
               0.031             305.838              24.869             272.513              12.320               0.920               2.693
               0.000             304.917              24.944             275.559              16.217               0.928               3.928
               0.000             303.494              23.678             273.415              14.882               1.922               3.964
               0.000             300.672              21.507             269.953              13.576               0.696               4.709
               0.025             298.933              20.220             267.643              12.726              -0.873               4.187
               0.019             298.725              20.080             267.282              12.712              -1.547               3.762
               0.000             299.808              21.138             270.704              15.162              -1.005               3.599
               0.027             300.043              21.263             270.558              14.895              -0.052               3.196
               0.052             301.003              21.442             267.831              11.598               0.174               2.539
               0.000             303.007              22.701             268.639              11.068               0.616               3.003
               0.000             304.198              23.245             267.821               9.602               0.719               2.123
               0.062             305.017              23.809             268.718               9.703               2.187               2.040
               0.174             303.937              23.560             270.878              12.398               2.386               1.369
               0.000             304.316              24.123             273.122              14.084               2.168              -0.010
               0.312             305.721              25.092             274.156              13.898               2.685              -0.127
               0.000             305.638              25.754             277.396              17.651               1.988               1.461
               0.064             305.354              25.240             275.958              16.073               1.064               2.848
               0.000             306.043              25.809             276.705              16.365              -0.618               2.825
               0.022             306.716              26.623             278.458              17.876               0.801               1.206
               0.000             307.147              26.534             277.206              15.857              -1.236               0.716
               0.009             305.728              26.099             278.539              19.085              -1.521               1.198
              13.127             303.611              26.183             282.431              29.013              -0.496               2.649
               5.836             299.348              25.157             286.782              47.577               1.568               2.589
               0.000             300.016              24.691             284.611              39.674               1.239               2.183
               0.237             301.166              24.356             281.802              30.452               3.206              -0.389
               0.000             303.224              25.497             281.582              26.880               1.449              -0.738
               0.042             305.522              26.152             279.401              20.196              -0.608               0.936
               0.000             305.858              26.460             279.756              20.421               1.791               2.387
               0.029             304.958              25.453             277.788              18.800               1.639               2.679
               0.000             304.677              24.876             276.081              16.811               1.455               2.870
               0.061             304.297              24.601             275.753              16.841               1.500               2.985
               0.000             304.085              25.472             279.856              22.675               2.650               1.447
               0.153             304.596              26.125             281.106              24.029               2.980               0.230
               0.000             305.719              25.997             278.387              18.591               1.942               0.140
               0.000             306.463              25.947             276.306              15.489               3.330               0.213
               0.000             306.411              25.598             274.792              13.942               1.502               1.128
               0.000             305.742              25.815             277.314              17.559               1.716               2.270
               0.000             304.963              25.386             277.671              18.419               2.220               2.263
               0.146             304.326              26.986             284.005              30.083               1.511               2.061
               0.000             303.075              26.293             284.202              32.411               0.683               2.328
               0.000             303.345              26.105             283.395              29.892               1.020               2.122
               0.012             303.762              25.633             281.172              25.087               1.633               1.356
               0.145             304.766              25.721             279.360              21.067               1.137               0.330
               0.173             305.139              25.883             279.297              20.363               1.420               1.109
              12.715             302.385              25.922             283.947              33.851               1.272               2.867
               1.631             297.890              23.651             285.258              46.340               1.179               2.882
               0.048             297.112              23.236             285.243              48.781              -0.461               2.510
               3.100             298.141              22.891             282.658              38.410              -0.228               2.013
