 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             278.458               9.327             272.180              67.843               4.390               0.182
               0.000             273.259               4.754             258.092              31.097              -1.574              -2.901
               0.000             274.527               5.748             261.755              38.705              -0.442              -0.638
               0.134             279.441               9.083             267.153              42.024               0.023               0.611
               0.081             282.862              11.290             269.226              38.930              -0.263               1.936
               0.768             283.066              12.415             274.997              59.432               3.444               2.485
               0.000             282.022              11.707             274.650              61.171               4.530               0.947
               0.004             282.190              11.418             272.766              51.996              -0.028               1.077
               0.000             279.847              10.166             272.935              62.970              -1.262               0.930
               0.735             282.245              11.891             274.878              61.535              -0.657              -0.521
               0.730             280.790              10.785             273.383              61.077               0.984               1.296
               0.915             283.584              12.437             273.739              51.943               4.251               0.753
               0.000             284.449              12.970             273.455              49.846               5.728              -0.936
               0.000             279.627               8.945             264.875              35.074              -1.491              -0.564
               0.000             280.112               9.629             268.401              44.344              -1.327               1.864
               0.000             284.048              12.519             272.845              46.827               1.150               2.441
               2.105             283.606              13.209             277.454              67.149              -0.902               2.972
               1.889             284.296              13.158             275.427              55.641               2.329               1.434
               0.090             281.930              11.186             271.992              51.017               3.986               1.581
               0.131             279.051               9.002             268.150              47.006               5.017              -1.975
               0.000             278.722               8.722             267.424              45.461               1.258              -0.500
               0.000             281.306              10.380             268.790              42.609               2.334               1.385
               0.000             279.980               9.502             267.841              43.409               5.873              -1.394
               0.097             278.466               8.303             265.167              38.480              -0.490              -0.232
               6.582             281.238              10.945             272.773              57.028               3.454               3.302
               0.000             280.674              10.687             273.280              60.789               6.600               2.095
               0.000             278.165               8.223             266.084              41.954               5.847              -0.993
               0.251             277.554               7.806             265.257              41.636               0.349               1.823
               0.051             277.438               7.909             266.671              47.144               6.265               3.734
               0.041             276.240               6.899             263.753              40.240               4.894              -0.752
               0.000             276.237               6.621             260.502              31.028              -1.112               0.224
               0.028             279.367               8.893             265.886              38.267               1.013               1.789
               0.114             280.310               9.986             270.114              49.897               3.979               1.677
               0.075             282.120              11.069             270.608              45.373               2.085               0.669
               0.547             282.807              11.827             272.867              51.128               1.227               1.123
               4.913             280.774              10.696             273.076              59.211               0.995               1.570
               0.038             277.659               8.307             268.649              54.647               3.851              -1.386
               0.000             279.119               8.778             266.093              39.639               1.809              -1.911
               0.000             280.490               9.876             268.319              44.017               2.582              -1.487
               0.025             282.077              10.852             268.873              41.209              -2.354              -0.257
               0.064             283.824              12.022             270.380              40.209               0.204              -0.910
               0.029             285.706              12.999             269.690              33.935               0.979               0.170
               0.010             287.574              14.135             270.235              31.227               1.399              -0.527
               0.000             288.571              14.301             267.408              23.493               1.424               0.663
