 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
              17.625             279.802              11.328             278.872              94.054               1.210               4.258
               2.157             268.493               2.722             266.696              87.495               5.136              -2.266
               0.000             256.128              -5.338             251.766              69.345               8.023               1.832
               0.134             260.980              -2.327             257.436              75.321               7.129               3.310
               0.405             260.760              -2.428             257.908              79.641               3.602               0.561
               1.416             264.074              -0.216             262.577              89.267               1.730               1.781
               6.741             265.592               0.812             264.398              91.398              -0.035              -1.382
               0.328             262.135              -1.484             260.483              87.964               3.800              -1.772
               0.000             256.449              -5.059             254.434              84.955               4.521               4.413
               0.519             256.588              -4.965             254.743              86.363               4.495               0.951
               0.082             257.501              -4.440             254.817              80.600               0.485              -0.985
               0.000             261.991              -1.585             260.225              87.154              -1.987               0.920
               5.477             270.598               4.308             269.653              93.440              -3.124               2.051
               3.724             271.018               4.593             269.932              92.520               5.024               1.537
               0.000             254.948              -5.979             252.723              83.297               5.319               1.432
               0.315             262.525              -1.267             260.396              84.679               2.089               2.698
               0.993             269.582               3.529             268.212              90.367               2.226               3.997
               0.000             263.428              -0.643             261.873              88.743               4.085              -2.704
               0.198             260.789              -2.358             258.839              85.923              -3.215               0.988
               1.535             270.973               4.631             270.410              96.021              -1.704               3.732
               2.647             272.058               5.423             271.436              95.773               0.206              -4.129
               0.837             269.564               3.535             268.338              91.468               7.183              -1.444
               0.000             267.206               1.894             265.877              90.917              -0.759               3.565
               9.169             272.098               5.331             270.665              90.246              -2.796               4.451
               2.046             268.340               2.692             267.250              92.192               7.879              -1.483
               0.659             266.690               1.559             265.581              92.078               5.091              -2.296
               0.668             269.922               3.826             268.974              93.501               1.510              -0.534
               4.139             270.749               4.440             269.976              94.628               2.369              -2.824
               0.159             270.157               3.980             269.117              92.777               7.321              -2.326
               0.041             267.982               2.417             266.611              90.381               5.583              -1.577
               1.061             266.362               1.319             265.052              90.661               3.020              -1.561
               0.136             264.578               0.066             262.467              85.087               6.420              -4.653
               0.114             262.513              -1.280             260.294              84.076               3.910              -2.093
               0.183             265.245               0.529             263.450              87.185               0.902               1.946
               0.212             265.518               0.734             264.001              89.151               5.093               1.296
               0.000             254.704              -6.121             252.658              84.602               4.974              -0.718
               0.038             257.135              -4.686             253.877              76.874               1.340               2.411
               1.166             265.354               0.584             263.356              85.811              -0.652               2.495
               0.000             259.850              -2.935             258.189              87.806               4.256              -0.570
               0.057             257.288              -4.563             254.788              81.764               1.646              -3.932
               0.064             255.433              -5.697             252.842              80.944               4.454              -0.509
               0.677             257.104              -4.688             254.328              79.700              -1.390              -0.063
               3.877             263.847              -0.383             262.120              87.602              -2.799              -0.165
               0.183             259.180              -3.401             256.582              81.181              -0.224              -3.903
               0.000             259.863              -2.953             257.712              84.235              -2.678               1.174
               0.070             268.997               3.163             267.991              92.939              -1.838               0.921
               0.000             263.455              -0.639             261.708              87.481               0.681              -5.194
               0.200             254.814              -6.072             252.236              80.932              -2.260              -4.374
               1.258             255.631              -5.576             253.117              81.306              -5.301               0.487
               1.765             264.001              -0.274             262.378              88.431               1.054               1.103
               0.000             262.752              -1.124             260.550              84.341               0.929               4.182
               2.531             272.775               5.786             271.031              88.425               1.467               7.076
               1.816             270.633               4.383             270.042              95.989               1.313               0.891
              10.197             275.800               8.184             274.920              94.350              -1.969               5.437
               5.673             274.248               7.091             273.828              97.244               0.402              -1.770
              14.206             270.475               4.266             269.854              95.818              -4.561              -6.745
              11.921             268.133               2.534             266.901              91.214              -2.359              -8.379
               0.000             266.311               1.243             264.559              87.607               2.558              -3.539
               0.000             270.422               3.876             266.959              77.453               0.133               1.014
               6.941             275.804               7.938             273.610              85.770              -0.873               3.675
               0.110             275.855               8.093             274.151              89.767               1.377               0.627
               0.169             278.849              10.116             275.808              81.822              -3.043               4.952
               1.159             284.317              14.752             281.813              85.879              -2.243              10.405
               0.000             279.272              10.297             275.582              77.839               3.244               2.627
               0.000             275.842               7.725             271.993              77.502               3.974               3.677
               0.222             276.802               7.910             269.555              60.863               0.123               3.146
               0.016             277.397               8.422             271.035              63.739              -2.575              -1.303
               1.789             277.585               8.774             272.558              70.365              -0.395               1.104
               3.367             276.387               8.185             272.951              79.529               4.679               1.656
               0.091             266.470               0.880             258.313              53.227               6.956              -1.053
               0.000             268.193               2.330             264.382              75.723               4.442              -0.941
               0.000             275.275               7.038             269.724              67.637               0.930               5.962
               2.513             277.479               9.012             274.246              79.986               7.991               4.092
               0.115             266.989               1.199             258.616              52.619               6.702              -4.487
               0.000             268.695               2.630             264.251              73.482               3.731               1.306
               2.277             275.893               7.092             267.372              54.587               1.620               2.732
               0.019             281.695              11.390             274.211              59.541              -0.428               0.735
               0.390             283.900              13.609             278.621              70.427              -2.400               1.136
               0.117             283.142              12.621             276.155              62.516              -2.236               0.179
               0.000             284.108              13.085             275.671              56.983              -1.685              -1.713
               0.000             283.359              12.412             274.182              54.843              -3.059               0.479
               8.040             284.553              14.116             278.999              70.019              -3.386               6.685
               4.206             283.060              13.814             281.144              88.703              -0.748               6.274
               4.111             274.086               6.535             271.021              80.321               4.645               3.126
               0.754             269.478               3.267             266.405              79.690               6.298              -0.664
               0.000             270.660               4.103             267.652              80.641               3.304              -1.559
               5.070             272.087               4.999             268.176              75.527              -1.258               4.273
               4.920             283.703              13.895             280.125              79.311               2.408               6.174
               0.761             284.261              14.007             279.397              72.487               2.865               6.857
