 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               3.488             260.185              -2.751             258.044              84.343               2.251              -6.526
               0.000             252.977              -7.175             250.455              80.949               4.310              -0.167
               0.000             253.636              -6.770             251.428              83.275               3.010               1.893
               0.242             259.558              -3.156             257.166              82.665               0.227              -0.877
               2.003             260.057              -2.823             258.042              85.320              -0.847              -3.377
               0.022             258.504              -3.800             256.328              84.033               1.501               1.310
               0.045             263.608              -0.555             261.638              86.077               0.781              -2.229
               0.004             254.167              -6.455             251.834              82.425               3.170               0.314
               0.062             255.378              -5.695             253.780              87.939               2.684               1.708
               0.087             257.838              -4.201             255.892              85.746              -2.067              -1.972
               0.082             261.853              -1.673             260.087              87.147              -3.751               1.576
               0.375             268.506               2.818             267.486              92.857              -2.032               2.528
              14.549             266.488               1.383             264.963              89.127              -0.209              -6.047
               0.000             253.471              -6.882             250.852              80.301               4.783              -5.365
               0.093             253.862              -6.637             251.580              82.774               0.487               4.243
               0.000             261.775              -1.686             260.577              91.226              -0.661               1.555
              12.333             263.114              -0.771             262.580              96.235               1.318              -0.284
              10.562             262.608              -1.185             260.876              87.579              -2.477               0.034
               9.702             272.688               5.906             272.153              96.361              -1.565               3.704
               0.131             265.340               0.699             264.743              95.834               2.130              -2.548
               0.000             267.902               2.349             266.413              89.554               4.320              -4.590
               0.000             265.158               0.537             264.077              92.570               0.644               3.554
               0.245             269.652               3.503             267.655              86.214               1.656              -0.948
               0.097             256.786              -4.848             254.878              85.707               4.840              -4.626
               0.966             259.785              -2.979             258.041              87.309              -0.920               1.931
               7.636             270.971               4.582             270.050              93.687              -3.134               1.603
               0.452             268.602               2.884             267.572              92.767               2.120              -3.166
               0.251             262.710              -1.148             260.587              84.675               5.065              -2.991
               0.000             255.212              -5.805             253.392              86.339               2.351              -1.578
               1.013             261.381              -1.968             259.682              87.693              -0.558              -2.857
               0.000             258.722              -3.660             256.647              84.848               3.790              -2.679
               0.028             253.094              -7.107             250.496              80.462               1.122               0.916
               0.006             263.365              -0.689             261.749              88.318              -1.390               1.897
               0.000             263.370              -0.660             262.106              90.802               1.957              -1.830
               0.000             254.448              -6.270             252.556              85.816               1.555              -1.837
               0.000             256.985              -4.769             253.981              78.211              -0.571              -0.617
               0.038             260.549              -2.463             259.405              91.639               0.965               2.677
               0.302             258.518              -3.765             256.914              87.999               1.526              -3.082
               0.595             261.193              -2.093             259.410              87.017              -1.759              -2.160
               0.025             251.639              -7.964             249.470              83.366               1.751              -0.900
               0.064             262.261              -1.393             260.757              89.069               0.023               3.127
               0.029             264.698               0.257             263.958              94.786               0.542               2.922
               0.010             264.519               0.156             263.981              96.289               1.637              -2.116
