 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               4.698             293.193              23.504             291.148              88.976              -2.751               2.099
              20.658             292.688              23.188             291.117              91.464               1.433               4.156
               0.000             277.144               8.248             270.504              63.931               4.289              -5.092
               0.134             278.714               9.691             274.160              72.790              -0.338              -4.643
               0.081             288.221              18.478             286.256              89.000              -3.721              -2.061
               0.012             289.855              19.320             285.821              79.033              -3.553               0.117
               2.745             292.217              21.948             288.916              82.976              -2.739               2.892
               6.484             292.823              22.678             289.802              84.199               1.876               1.943
               0.000             283.339              13.251             278.424              72.299               1.426              -5.186
               0.000             282.893              13.326             279.636              81.402              -1.089              -3.901
               0.082             290.071              19.556             286.145              79.460              -3.766               0.109
              61.395             293.662              23.619             290.799              84.833              -3.089               4.177
               7.745             293.754              23.547             290.426              83.065               1.465               3.906
               0.592             291.650              21.641             289.033              86.145               4.091               2.689
               0.000             282.120              12.406             277.798              75.071               0.868              -4.740
               0.000             287.782              17.669             284.526              82.992              -2.128              -2.059
               0.000             292.324              21.737             288.162              79.305              -1.712              -0.292
               0.000             291.788              20.622             286.104              72.407               1.028              -1.458
               0.090             292.547              21.835             288.294              77.892              -0.725              -0.887
               5.315             294.262              23.808             290.327              80.225              -1.824               5.552
              14.527             292.113              21.646             288.452              80.695               5.237               6.906
               0.000             284.025              13.575             278.143              67.797               4.290              -0.952
               0.000             284.534              14.161             279.214              71.151              -0.147               1.139
              20.941             289.216              18.881             285.630              81.269               3.433               3.841
               0.000             280.441              10.783             274.268              67.434               4.843              -1.916
               0.000             283.151              12.581             275.735              61.547               3.299              -1.066
               1.208             287.727              17.292             283.854              78.001               2.020               2.178
               0.251             288.116              17.738             284.127              79.433               5.226               0.126
               0.000             279.719              10.410             274.586              71.800               4.198              -2.670
               0.041             284.396              13.408             276.059              58.951               2.583              -1.213
               2.465             286.222              15.745             281.442              74.293               3.758              -0.358
               0.028             279.062               9.770             273.171              67.829               4.780              -4.284
               0.006             278.287               8.805             269.635              56.412               1.612              -2.404
               0.000             283.346              12.349             273.871              53.732               1.711              -0.379
               0.000             288.378              17.569             283.447              73.448               2.036               1.632
               0.053             286.938              17.120             284.620              86.532               0.060              -2.967
               3.062             289.823              19.831             287.169              86.304              -2.539               0.989
               3.866             292.705              22.625             289.908              84.967               3.443               4.343
               0.000             286.568              16.088             281.787              75.048               3.704              -0.943
               0.025             283.608              13.526             278.747              73.483               3.673              -1.302
               0.064             279.925              10.507             274.463              70.287               1.675              -3.146
               0.029             283.331              12.887             276.137              64.997               0.179              -2.406
               0.010             285.300              14.069             276.890              58.196               0.954              -1.618
               0.000             285.610              15.046             280.053              71.126               2.984              -1.832
               0.000             287.418              16.151             280.273              64.462               0.773              -1.187
               0.000             290.068              18.122             281.729              60.580               0.410               1.497
               0.000             291.283              20.035             285.312              71.067               1.607               1.430
               0.092             291.119              20.595             287.213              79.869              -0.067              -1.750
               0.394             291.888              21.084             287.384              76.728              -5.256               1.407
               0.037             291.102              20.453             286.989              78.306              -1.366              -3.172
               0.000             289.588              19.367             286.429              83.106              -4.720              -1.648
               0.371             293.978              23.438             289.829              79.480              -3.898               3.612
               3.004             295.508              25.140             291.508              80.231              -3.007               2.196
               2.205             297.261              26.993             293.012              79.443              -3.314               4.185
              20.901             295.568              25.395             291.988              82.010              -2.018               4.498
