year,month,wateruse,elecuse,,,,,,,,,,,
2016,6,6057.513246,0.631155207,,,,,,,,,,,
2016,7,7053.618484,0.754677332,,,,,,,,,,,
2016,8,6252.821192,0.707804929,,,,,,,,,,,
2016,9,5941.032767,0.588159111,,,,,,,,,,,
2016,10,4757.223541,0.566300565,,,,,,,,,,,
2016,11,3085.514495,0.591884333,,,,,,,,,,,
2016,12,2831.411786,0.755741651,,,,,,,,,,,
2017,1,2839.375965,0.75951933,,,,,,,,,,,
2017,2,2644.111682,0.591191942,,,,,,,,,,,
2017,3,3342.293762,0.653923909,,,,,,,,,,,
2017,4,3567.936758,0.541432187,,,,,,,,,,,
2017,5,4609.975745,0.574811402,,,,,,,,,,,
2017,6,7096.163964,0.636442704,,,,,,,,,,,
2017,7,6559.0622,0.73172058,,,,,,,,,,,
2017,8,5379.45338,0.649259678,,,,,,,,,,,
2017,9,6147.415899,0.614754226,,,,,,,,,,,
2017,10,3620.841347,0.540303392,,,,,,,,,,,
2017,11,2871.368035,0.612331577,,,,,,,,,,,
2017,12,2876.293251,0.769778722,,,,,,,,,,,
2018,1,2909.942343,0.656406854,,,,,,,,,,,
2018,2,2593.527795,0.617599466,,,,,,,,,,,
2018,3,3174.212042,0.640181081,,,,,,,,,,,
2018,4,3768.982057,0.522447307,,,,,,,,,,,
2018,5,6384.14718,0.556044799,,,,,,,,,,,
2018,6,7540.311013,0.724925547,,,,,,,,,,,
2018,7,6557.117002,0.741897694,,,,,,,,,,,
2018,8,5856.083711,0.68140756,,,,,,,,,,,
2018,9,6177.264104,0.606842785,,,,,,,,,,,
2018,10,3676.509821,0.556675314,,,,,,,,,,,
2018,11,2918.358436,0.652511296,,,,,,,,,,,
2018,12,2850.407487,0.712014555,,,,,,,,,,,
